signal_idx,entry_idx,exit_idx,entry_time,exit_time,probability,entry_price,exit_price,pnl_usd,pnl_pct,bars_held,exit_reason
489,490,490,2025-05-27 08:00:00+00:00,2025-05-27 08:00:00+00:00,0.5470632704377331,3296.43,3307.967505,11.537505000000237,0.3500000000000072,1,take_profit
1654,1655,1655,2025-06-13 00:15:00+00:00,2025-06-13 00:15:00+00:00,0.3840620436026202,3402.33,3414.238155,11.908155000000079,0.3500000000000023,1,take_profit
2649,2650,2650,2025-06-29 22:30:00+00:00,2025-06-29 22:30:00+00:00,0.6056793763962467,3251.67,3263.050845,11.380845000000136,0.3500000000000042,1,take_profit
2982,2983,2983,2025-07-03 12:45:00+00:00,2025-07-03 12:45:00+00:00,0.7942041493148445,3312.46,3324.0536100000004,11.593610000000353,0.3500000000000107,1,take_profit
3803,3804,3804,2025-07-16 15:00:00+00:00,2025-07-16 15:00:00+00:00,0.5427431649506798,3338.31,3349.9940850000003,11.684085000000323,0.3500000000000097,1,take_profit
3804,3805,3805,2025-07-16 15:15:00+00:00,2025-07-16 15:15:00+00:00,0.6993000151934916,3348.94,3360.6612900000005,11.721290000000408,0.3500000000000122,1,take_profit
3805,3806,3806,2025-07-16 15:30:00+00:00,2025-07-16 15:30:00+00:00,0.6643469488248039,3363.51,3375.2822850000002,11.77228500000001,0.3500000000000003,1,take_profit
3807,3808,3808,2025-07-16 16:00:00+00:00,2025-07-16 16:00:00+00:00,0.7282685238536756,3344.07,3354.11,10.039999999999964,0.3002329496691147,1,timeout
7058,7059,7059,2025-09-04 03:15:00+00:00,2025-09-04 03:15:00+00:00,0.6765115099664836,3515.34,3527.6436900000003,12.303690000000188,0.35000000000000536,1,take_profit
7949,7950,7950,2025-09-17 19:00:00+00:00,2025-09-17 19:00:00+00:00,0.8013174236808431,3650.7,3663.47745,12.777450000000044,0.3500000000000012,1,take_profit
7950,7951,7951,2025-09-17 19:15:00+00:00,2025-09-17 19:15:00+00:00,0.5591674667887468,3651.2,3663.9792,12.779200000000401,0.35000000000001097,1,take_profit
8020,8021,8021,2025-09-18 13:45:00+00:00,2025-09-18 13:45:00+00:00,0.7048802503049632,3629.96,3641.99,12.029999999999745,0.3314086105631948,1,timeout
9404,9405,9405,2025-10-09 14:45:00+00:00,2025-10-09 14:45:00+00:00,0.3059507729340266,4012.38,4026.4233300000005,14.043330000000424,0.3500000000000105,1,take_profit
9414,9415,9415,2025-10-09 17:15:00+00:00,2025-10-09 17:15:00+00:00,0.8439739739851229,3952.58,3944.67484,-7.905159999999796,-0.19999999999999485,1,stop_loss
9417,9418,9418,2025-10-09 18:00:00+00:00,2025-10-09 18:00:00+00:00,0.6971401971509831,3950.25,3964.0758750000005,13.825875000000451,0.3500000000000114,1,take_profit
9421,9422,9422,2025-10-09 19:00:00+00:00,2025-10-09 19:00:00+00:00,0.7006868525481236,3957.9,3971.7526500000004,13.852650000000267,0.35000000000000675,1,take_profit
9522,9523,9523,2025-10-12 22:15:00+00:00,2025-10-12 22:15:00+00:00,0.4059941114728358,4023.0,4037.0805,14.080500000000029,0.35000000000000075,1,take_profit
9525,9526,9526,2025-10-12 23:00:00+00:00,2025-10-12 23:00:00+00:00,0.4882659989349536,4042.73,4056.8795550000004,14.149555000000419,0.35000000000001036,1,take_profit
9644,9645,9645,2025-10-14 05:45:00+00:00,2025-10-14 05:45:00+00:00,0.9266027676259554,4120.79,4112.54842,-8.241579999999885,-0.19999999999999724,1,stop_loss
9650,9651,9651,2025-10-14 07:15:00+00:00,2025-10-14 07:15:00+00:00,0.5902923340164556,4112.73,4127.124554999999,14.394554999999855,0.3499999999999965,1,take_profit
9653,9654,9654,2025-10-14 08:00:00+00:00,2025-10-14 08:00:00+00:00,0.4151899018167435,4126.4,4140.8423999999995,14.442399999999907,0.3499999999999978,1,take_profit
9884,9885,9885,2025-10-16 19:45:00+00:00,2025-10-16 19:45:00+00:00,0.4185424346535599,4296.68,4311.71838,15.038379999999961,0.34999999999999903,1,take_profit
9889,9890,9890,2025-10-16 22:00:00+00:00,2025-10-16 22:00:00+00:00,0.3722924279722469,4336.74,4351.91859,15.17859000000044,0.35000000000001014,1,take_profit
9890,9891,9891,2025-10-16 22:15:00+00:00,2025-10-16 22:15:00+00:00,0.5226627305178794,4350.07,4365.295245,15.225245000000541,0.35000000000001247,1,take_profit
9893,9894,9894,2025-10-16 23:00:00+00:00,2025-10-16 23:00:00+00:00,0.649382016245592,4347.2,4362.4152,15.21520000000055,0.3500000000000127,1,take_profit
9904,9905,9905,2025-10-17 01:45:00+00:00,2025-10-17 01:45:00+00:00,0.9349192541283008,4291.0,4282.418,-8.582000000000335,-0.2000000000000078,1,stop_loss
9905,9906,9906,2025-10-17 02:00:00+00:00,2025-10-17 02:00:00+00:00,0.7478771080223166,4314.49,4329.590715,15.100715000000491,0.3500000000000114,1,take_profit
9909,9910,9910,2025-10-17 03:00:00+00:00,2025-10-17 03:00:00+00:00,0.4475901568531065,4342.74,4357.93959,15.199590000000171,0.350000000000004,1,take_profit
9916,9917,9917,2025-10-17 04:45:00+00:00,2025-10-17 04:45:00+00:00,0.3983896647891304,4360.96,4376.22336,15.26335999999992,0.3499999999999982,1,take_profit
9930,9931,9931,2025-10-17 08:15:00+00:00,2025-10-17 08:15:00+00:00,0.4712153068363782,4334.27,4349.439945000001,15.169945000000553,0.3500000000000127,1,take_profit
9945,9946,9946,2025-10-17 12:00:00+00:00,2025-10-17 12:00:00+00:00,0.5521121297598863,4287.41,4302.415935,15.005935000000136,0.3500000000000032,1,take_profit
9947,9948,9948,2025-10-17 12:30:00+00:00,2025-10-17 12:30:00+00:00,0.4818711378899394,4293.82,4308.84837,15.028369999999995,0.3499999999999999,1,take_profit
9954,9955,9955,2025-10-17 14:15:00+00:00,2025-10-17 14:15:00+00:00,0.9713455312174428,4217.75,4232.512125,14.762125000000196,0.35000000000000464,1,take_profit
9955,9956,9956,2025-10-17 14:30:00+00:00,2025-10-17 14:30:00+00:00,0.653454524187324,4241.84,4233.35632,-8.483680000000277,-0.2000000000000065,1,stop_loss
9967,9968,9968,2025-10-17 17:30:00+00:00,2025-10-17 17:30:00+00:00,0.8084284230737036,4201.04,4215.743640000001,14.703640000000632,0.3500000000000151,1,take_profit
9969,9970,9970,2025-10-17 18:00:00+00:00,2025-10-17 18:00:00+00:00,0.6473577434320943,4221.43,4236.205005000001,14.77500500000042,0.3500000000000099,1,take_profit
9981,9982,9982,2025-10-19 22:00:00+00:00,2025-10-19 22:00:00+00:00,0.4499498515359239,4255.79,4270.685265,14.895265000000109,0.3500000000000026,1,take_profit
9991,9992,9992,2025-10-20 00:30:00+00:00,2025-10-20 00:30:00+00:00,0.5268841171733942,4222.46,4237.23861,14.778610000000299,0.3500000000000071,1,take_profit
10038,10039,10039,2025-10-20 12:15:00+00:00,2025-10-20 12:15:00+00:00,0.5948666082035432,4280.98,4295.96343,14.983430000000226,0.3500000000000053,1,take_profit
10039,10040,10040,2025-10-20 12:30:00+00:00,2025-10-20 12:30:00+00:00,0.6921268073028416,4293.65,4308.677775,15.027775000000474,0.3500000000000111,1,take_profit
10045,10046,10046,2025-10-20 14:00:00+00:00,2025-10-20 14:00:00+00:00,0.6225115965899214,4300.93,4315.983255,15.053254999999808,0.3499999999999955,1,take_profit
10046,10047,10047,2025-10-20 14:15:00+00:00,2025-10-20 14:15:00+00:00,0.6927371114874965,4316.41,4331.517435,15.107434999999896,0.3499999999999976,1,take_profit
10047,10048,10048,2025-10-20 14:30:00+00:00,2025-10-20 14:30:00+00:00,0.3534790862751468,4326.51,4317.8569800000005,-8.653019999999742,-0.19999999999999402,1,stop_loss
10049,10050,10050,2025-10-20 15:00:00+00:00,2025-10-20 15:00:00+00:00,0.6118355805108263,4332.56,4347.72396,15.16395999999986,0.34999999999999676,1,take_profit
