signal_idx,entry_idx,exit_idx,entry_time,exit_time,probability,entry_price,exit_price,pnl_usd,pnl_pct,bars_held,exit_reason
13572,13573,13576,2025-12-12 04:45:00+00:00,2025-12-12 05:30:00+00:00,0.3687811195850372,4267.68,4277.65,9.969999999999345,0.2336163911070967,4,timeout
13576,13577,13580,2025-12-12 05:45:00+00:00,2025-12-12 06:30:00+00:00,0.3496708571910858,4277.87,4281.33,3.4600000000000364,0.0808813732067603,4,timeout
13580,13581,13584,2025-12-12 06:45:00+00:00,2025-12-12 07:30:00+00:00,0.360958456993103,4281.82,4287.54,5.720000000000255,0.1335880536781148,4,timeout
13584,13585,13588,2025-12-12 07:45:00+00:00,2025-12-12 08:30:00+00:00,0.3421837389469147,4287.97,4304.03,16.05999999999949,0.3745362024454343,4,timeout
13588,13589,13592,2025-12-12 08:45:00+00:00,2025-12-12 09:30:00+00:00,0.3449430167675018,4304.3,4311.91,7.609999999999673,0.1767999442417971,4,timeout
13592,13593,13596,2025-12-12 09:45:00+00:00,2025-12-12 10:30:00+00:00,0.3978614807128906,4312.26,4328.17,15.909999999999854,0.3689480689939812,4,timeout
13596,13597,13600,2025-12-12 10:45:00+00:00,2025-12-12 11:30:00+00:00,0.3774884641170501,4328.26,4334.63,6.369999999999891,0.14717230480608584,4,timeout
13600,13601,13604,2025-12-12 11:45:00+00:00,2025-12-12 12:30:00+00:00,0.3610037565231323,4334.75,4328.22,-6.529999999999745,-0.15064305899993644,4,timeout
13604,13605,13608,2025-12-12 12:45:00+00:00,2025-12-12 13:30:00+00:00,0.3235555291175842,4328.31,4339.83,11.519999999999527,0.2661546885504857,4,timeout
13608,13609,13612,2025-12-12 13:45:00+00:00,2025-12-12 14:30:00+00:00,0.3548693656921386,4340.1,4339.9,-0.2000000000007276,-0.004608188751428022,4,timeout
13612,13613,13615,2025-12-12 14:45:00+00:00,2025-12-12 15:15:00+00:00,0.4067573845386505,4340.17,4322.80932,-17.360679999999775,-0.3999999999999948,3,stop_loss
13615,13616,13617,2025-12-12 15:30:00+00:00,2025-12-12 15:45:00+00:00,0.4429728388786316,4300.83,4283.62668,-17.20331999999962,-0.39999999999999114,2,stop_loss
13617,13618,13619,2025-12-12 16:00:00+00:00,2025-12-12 16:15:00+00:00,0.5213620662689209,4290.19,4273.02924,-17.160759999999755,-0.3999999999999943,2,stop_loss
13619,13620,13620,2025-12-12 16:30:00+00:00,2025-12-12 16:30:00+00:00,0.6181564927101135,4290.05,4272.8898,-17.16020000000026,-0.400000000000006,1,stop_loss
13620,13621,13624,2025-12-12 16:45:00+00:00,2025-12-12 17:30:00+00:00,0.6378921270370483,4274.16,4293.25,19.090000000000146,0.44663746794692166,4,timeout
13624,13625,13628,2025-12-12 17:45:00+00:00,2025-12-12 18:30:00+00:00,0.5463470816612244,4293.61,4292.04,-1.569999999999709,-0.036565966634130934,4,timeout
13628,13629,13632,2025-12-12 18:45:00+00:00,2025-12-12 19:30:00+00:00,0.511275589466095,4292.36,4297.37,5.010000000000218,0.11671900772535898,4,timeout
13632,13633,13636,2025-12-12 19:45:00+00:00,2025-12-12 20:30:00+00:00,0.6780415177345276,4297.73,4298.93,1.2000000000007276,0.027921716813311393,4,timeout
13636,13637,13640,2025-12-12 20:45:00+00:00,2025-12-12 21:30:00+00:00,0.8214726448059082,4299.01,4301.17,2.1599999999998545,0.050244125973185796,4,timeout
13640,13641,13644,2025-12-12 21:45:00+00:00,2025-12-14 23:30:00+00:00,0.8451516032218933,4301.15,4306.07,4.920000000000073,0.11438801250828437,4,timeout
13644,13645,13648,2025-12-14 23:45:00+00:00,2025-12-15 00:30:00+00:00,0.807742714881897,4306.31,4305.65,-0.660000000000764,-0.015326346686624139,4,timeout
13648,13649,13652,2025-12-15 00:45:00+00:00,2025-12-15 01:30:00+00:00,0.7292177677154541,4305.97,4319.82,13.849999999999454,0.3216464582892926,4,timeout
13652,13653,13656,2025-12-15 01:45:00+00:00,2025-12-15 02:30:00+00:00,0.6679699420928955,4320.15,4328.79,8.640000000000327,0.19999305579668133,4,timeout
13656,13657,13660,2025-12-15 02:45:00+00:00,2025-12-15 03:30:00+00:00,0.6252397894859314,4329.04,4327.77,-1.269999999999527,-0.02933675826510097,4,timeout
13660,13661,13664,2025-12-15 03:45:00+00:00,2025-12-15 04:30:00+00:00,0.5519356727600098,4328.11,4326.7,-1.4099999999998545,-0.032577730233285536,4,timeout
13664,13665,13668,2025-12-15 04:45:00+00:00,2025-12-15 05:30:00+00:00,0.4702829718589782,4326.95,4338.85,11.900000000000546,0.27502051098349983,4,timeout
13668,13669,13672,2025-12-15 05:45:00+00:00,2025-12-15 06:30:00+00:00,0.4291403293609619,4339.19,4345.35,6.160000000000764,0.14196197907906233,4,timeout
13672,13673,13676,2025-12-15 06:45:00+00:00,2025-12-15 07:30:00+00:00,0.4975505471229553,4345.8,4339.57,-6.230000000000473,-0.14335680427080105,4,timeout
13676,13677,13680,2025-12-15 07:45:00+00:00,2025-12-15 08:30:00+00:00,0.4479210376739502,4340.06,4345.01,4.949999999999818,0.11405372275958899,4,timeout
13680,13681,13684,2025-12-15 08:45:00+00:00,2025-12-15 09:30:00+00:00,0.3632622063159942,4345.26,4345.05,-0.21000000000003638,-0.004832852349457486,4,timeout
13684,13685,13688,2025-12-15 09:45:00+00:00,2025-12-15 10:30:00+00:00,0.3278827369213104,4345.38,4338.83,-6.550000000000182,-0.15073480340039724,4,timeout
13688,13689,13692,2025-12-15 10:45:00+00:00,2025-12-15 11:30:00+00:00,0.3230483531951904,4338.96,4340.68,1.7200000000002547,0.03964083559194495,4,timeout
13692,13693,13696,2025-12-15 11:45:00+00:00,2025-12-15 12:30:00+00:00,0.3282919228076935,4340.85,4345.56,4.710000000000036,0.10850409482013974,4,timeout
13696,13697,13700,2025-12-15 12:45:00+00:00,2025-12-15 13:30:00+00:00,0.3280040323734283,4345.77,4338.23,-7.540000000000873,-0.17350204911904846,4,timeout
13700,13701,13704,2025-12-15 13:45:00+00:00,2025-12-15 14:30:00+00:00,0.3608644008636474,4338.72,4321.36512,-17.354879999999866,-0.3999999999999969,4,stop_loss
13704,13705,13708,2025-12-15 14:45:00+00:00,2025-12-15 15:30:00+00:00,0.4272460639476776,4328.28,4323.25,-5.029999999999745,-0.11621244466623566,4,timeout
13708,13709,13710,2025-12-15 15:45:00+00:00,2025-12-15 16:00:00+00:00,0.4699293673038482,4323.49,4306.19604,-17.29395999999997,-0.3999999999999993,2,stop_loss
13710,13711,13712,2025-12-15 16:15:00+00:00,2025-12-15 16:30:00+00:00,0.469526469707489,4302.74,4285.529039999999,-17.21096000000034,-0.400000000000008,2,stop_loss
13712,13713,13716,2025-12-15 16:45:00+00:00,2025-12-15 17:30:00+00:00,0.4613234400749206,4296.68,4303.95,7.269999999999527,0.16920040589477287,4,timeout
13716,13717,13720,2025-12-15 17:45:00+00:00,2025-12-15 18:30:00+00:00,0.4263579249382019,4304.3,4309.85,5.550000000000182,0.12894082661524944,4,timeout
13720,13721,13724,2025-12-15 18:45:00+00:00,2025-12-15 19:30:00+00:00,0.41945680975914,4310.03,4311.41,1.3800000000001091,0.0320183386194553,4,timeout
13724,13725,13728,2025-12-15 19:45:00+00:00,2025-12-15 20:30:00+00:00,0.4557243585586548,4311.76,4305.77,-5.989999999999782,-0.13892238900123804,4,timeout
13728,13729,13732,2025-12-15 20:45:00+00:00,2025-12-15 21:30:00+00:00,0.4929852485656738,4305.86,4302.01,-3.8499999999994543,-0.08941303247201383,4,timeout
