run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.5_p20.6_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.5,0.6,trained,0,153.79,OK,1141,67,4934.740000000004,4.324925503943913,73.65283582089559,74.6268656716418,0.6451744377143123,0.5524524139346365,6233.461070651059
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.5_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.5,0.55,trained,0,251.75,OK,1357,69,4989.250000000002,3.6766764922623447,72.30797101449278,68.11594202898551,0.6620506389677386,0.5495457395768014,6219.9551598666585
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.5_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.5,0.55,trained,0,189.36,OK,1357,69,4989.250000000002,3.6766764922623447,72.30797101449278,68.11594202898551,0.6620506389677386,0.5495457395768014,6219.9551598666585
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f4_p10.52_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,4.0,0.52,0.5,trained,0,173.1,OK,1024,62,4919.329999999992,4.804033203124992,79.34403225806439,74.19354838709677,0.6470997744752752,0.549630488075602,6210.895971946562
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f4_p10.52_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,4.0,0.52,0.5,trained,0,209.2,OK,1024,62,4919.329999999992,4.804033203124992,79.34403225806439,74.19354838709677,0.6470997744752752,0.549630488075602,6210.895971946562
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3_p10.55_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.0,0.55,0.55,trained,0,156.02,OK,1082,66,4940.569999999995,4.566146025877999,74.85712121212114,71.21212121212122,0.6412012613986678,0.5543818466353677,6207.073058756575
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3_p10.55_p20.55_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.0,0.55,0.55,trained,0,156.4,OK,1082,66,4940.569999999995,4.566146025877999,74.85712121212114,71.21212121212122,0.6412012613986678,0.5543818466353677,6207.073058756575
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3.5_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.5,0.5,0.5,trained,0,513.73,OK,1034,61,4891.830000000013,4.730976789168291,80.19393442622972,73.77049180327869,0.6500626622076504,0.5665858772033427,6196.120795236142
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f3.5_p10.5_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,3.5,0.5,0.5,trained,0,156.86,OK,1034,61,4891.830000000013,4.730976789168291,80.19393442622972,73.77049180327869,0.6500626622076504,0.5665858772033427,6196.120795236142
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f3.5_p10.52_p20.5_sf,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,3.5,0.52,0.5,trained,0,247.63,OK,1031,61,4840.339999999985,4.694801163918511,79.34983606557351,72.1311475409836,0.6459034894945704,0.5699402260203605,6131.591701430181
