idx,is_uptrend,future_gain_pct,actual,timestamp,rf_probability,gb_probability,rf_signal,gb_signal
120,1,0.6000036363856807,1,2025-05-21 05:00:00+00:00,0.10994968340130282,0.9417249291373029,0,1
121,0,0.515630913632585,0,2025-05-21 05:15:00+00:00,0.042827222394206374,0.006894054234076037,0,0
122,0,0.23365120765071204,0,2025-05-21 05:30:00+00:00,0.039319940400236196,0.0014089087989727143,0,0
123,0,0.12845137693243092,0,2025-05-21 05:45:00+00:00,0.06736829211620386,0.0007758707865741644,0,0
124,0,0.1822213506705071,0,2025-05-21 06:00:00+00:00,0.01589673673420736,0.00012876303499738916,0,0
125,0,0.05544089066996537,0,2025-05-21 06:15:00+00:00,0.0317706701062432,0.00010739387707678675,0,0
126,0,0.0358487724054844,0,2025-05-21 06:30:00+00:00,0.032336025038139496,9.778497887050727e-05,0,0
127,0,-0.0006023824224803641,0,2025-05-21 06:45:00+00:00,0.03424790507837613,0.00011647653549728267,0,0
128,0,0.11232969369021932,0,2025-05-21 07:00:00+00:00,0.027538353994912643,0.0003762944775828236,0,0
129,0,0.08150451293507631,0,2025-05-21 07:15:00+00:00,0.02020574360261823,0.00013874154597100132,0,0
130,0,-0.006033728542547383,0,2025-05-21 07:30:00+00:00,0.018112094372544813,9.100983754152625e-05,0,0
131,0,0.07522817703094134,0,2025-05-21 07:45:00+00:00,0.02910658403777611,0.0007289731486025445,0,0
132,0,0.21389565401546476,0,2025-05-21 08:00:00+00:00,0.020140633365902435,0.00029728285005117334,0,0
133,0,0.160866015542323,0,2025-05-21 08:15:00+00:00,0.009166011713004194,0.00026020448351072776,0,0
134,0,0.09851412892053787,0,2025-05-21 08:30:00+00:00,0.006522782772782773,0.00022415162372322353,0,0
135,0,0.1556582530610161,0,2025-05-21 08:45:00+00:00,0.007228739159244494,0.00021823574496841028,0,0
136,0,0.19650938861394368,0,2025-05-21 09:00:00+00:00,0.0006140350877192982,0.00019506566660355135,0,0
137,0,0.2147517216382648,0,2025-05-21 09:15:00+00:00,0.003018575851393189,0.00016871612727602218,0,0
138,0,0.3256107847612938,0,2025-05-21 09:30:00+00:00,0.008089469739241066,0.0001171242514692284,0,0
139,0,0.14334646085132707,0,2025-05-21 09:45:00+00:00,0.009892939734033148,0.0004010105856634606,0,0
140,0,0.21048308434725346,0,2025-05-21 10:00:00+00:00,0.023141717092928758,0.0004036374982255394,0,0
141,0,0.05728931102065704,0,2025-05-21 10:15:00+00:00,0.026423986444580536,0.0004953818681754212,0,0
142,0,0.16157625946428888,0,2025-05-21 10:30:00+00:00,0.026717027651934965,0.00042095766967012796,0,0
143,0,0.1388939212773382,0,2025-05-21 10:45:00+00:00,0.00762343041948305,7.152662611550016e-05,0,0
144,0,0.09758602978942016,0,2025-05-21 11:00:00+00:00,0.011198728369781,8.801485835988644e-05,0,0
145,0,0.014489909890873415,0,2025-05-21 11:15:00+00:00,0.0034873757195185767,6.121075888476013e-05,0,0
146,0,0.147224204021908,0,2025-05-21 11:30:00+00:00,0.012422807659260071,0.00015548039302374175,0,0
147,0,0.044393708777264375,0,2025-05-21 11:45:00+00:00,0.006627639325395069,6.68020178606272e-05,0,0
148,0,0.05891719264108608,0,2025-05-21 12:00:00+00:00,0.005781314202366834,6.321840821703635e-05,0,0
149,0,0.3519481543960117,0,2025-05-21 12:15:00+00:00,0.02083332496286221,0.0004409173512595054,0,0
150,0,0.32646949162304084,0,2025-05-21 12:30:00+00:00,0.00927561358940875,6.727736735214928e-05,0,0
151,0,0.21103753561447042,0,2025-05-21 12:45:00+00:00,0.005370327362808566,5.789177877495463e-05,0,0
152,0,0.11948876956817116,0,2025-05-21 13:00:00+00:00,0.0,5.5530273676376116e-05,0,0
153,0,0.15736117415644782,0,2025-05-21 13:15:00+00:00,0.003027839869945133,5.5530273676376116e-05,0,0
154,0,0.07624510987464886,0,2025-05-21 13:30:00+00:00,0.0012195121951219512,6.2774805195983e-05,0,0
155,0,0.1265255714839298,0,2025-05-21 13:45:00+00:00,0.007015297347008978,8.99453792644598e-05,0,0
156,0,0.44136860644531384,0,2025-05-21 14:00:00+00:00,0.0031561813914755092,7.839516550450738e-05,0,0
157,0,0.2722051337888233,0,2025-05-21 14:15:00+00:00,0.0011812641723356009,7.732855861201057e-05,0,0
158,0,0.3596240294237876,0,2025-05-21 14:30:00+00:00,0.0013392857142857143,5.200209994291007e-05,0,0
159,0,0.3289493593506924,0,2025-05-21 14:45:00+00:00,0.0,5.6116770340037476e-05,0,0
160,0,0.09359253433487134,0,2025-05-21 15:00:00+00:00,0.0002040816326530612,5.991467173983426e-05,0,0
161,0,0.09058654789763719,0,2025-05-21 15:15:00+00:00,0.0018161901352019504,5.1269353814725293e-05,0,0
162,0,0.07910317529806773,0,2025-05-21 15:30:00+00:00,0.007838434542553696,0.00018364555131248866,0,0
163,0,0.08303140096618357,0,2025-05-21 15:45:00+00:00,0.002556390977443609,5.281975516869663e-05,0,0
164,0,0.033206243981365534,0,2025-05-21 16:00:00+00:00,0.0,5.1269353814725293e-05,0,0
165,0,0.17069847398585744,0,2025-05-21 16:15:00+00:00,0.006558036497552626,5.791395503634479e-05,0,0
166,0,0.29402334037133454,0,2025-05-21 16:30:00+00:00,0.010122000054491345,0.00013936058260539456,0,0
167,0,0.403551739692475,0,2025-05-21 16:45:00+00:00,0.015242631618652979,0.00046369551390110973,0,0
168,0,0.15975598707456173,0,2025-05-21 17:00:00+00:00,0.004596792503907853,0.00015624047493746455,0,0
169,0,0.17094894787870205,0,2025-05-21 17:15:00+00:00,0.0006493506493506494,6.07709700053515e-05,0,0
170,0,0.09627572885857592,0,2025-05-21 17:30:00+00:00,0.0007389162561576354,6.204952248202406e-05,0,0
171,0,0.004824464861321036,0,2025-05-21 17:45:00+00:00,0.00561491636515216,7.14787136721978e-05,0,0
172,0,0.3374401632268785,0,2025-05-21 18:00:00+00:00,0.0017857142857142857,5.610794634286899e-05,0,0
173,0,0.33282539490954405,0,2025-05-21 18:15:00+00:00,0.0,4.801188906080306e-05,0,0
174,0,0.2925758133305931,0,2025-05-21 18:30:00+00:00,0.004736842105263158,5.075665406494462e-05,0,0
175,0,0.3182955049433774,0,2025-05-21 18:45:00+00:00,0.001020408163265306,6.329232191566265e-05,0,0
176,0,0.06470193473832103,0,2025-05-21 19:00:00+00:00,0.04451303388952804,8.460342034502615e-05,0,0
