idx,timestamp,actual,lstm_probability,lstm_signal
135,2025-05-21 08:45:00+00:00,0,0.4613015055656433,0
136,2025-05-21 09:00:00+00:00,0,0.4608394205570221,0
137,2025-05-21 09:15:00+00:00,0,0.4612422287464142,0
138,2025-05-21 09:30:00+00:00,0,0.46302446722984314,0
139,2025-05-21 09:45:00+00:00,0,0.46550077199935913,0
140,2025-05-21 10:00:00+00:00,0,0.46827375888824463,0
141,2025-05-21 10:15:00+00:00,0,0.47179344296455383,0
142,2025-05-21 10:30:00+00:00,0,0.4738231301307678,0
143,2025-05-21 10:45:00+00:00,0,0.47353968024253845,0
144,2025-05-21 11:00:00+00:00,0,0.47282344102859497,0
145,2025-05-21 11:15:00+00:00,0,0.47213754057884216,0
146,2025-05-21 11:30:00+00:00,0,0.47196048498153687,0
147,2025-05-21 11:45:00+00:00,0,0.47412657737731934,0
148,2025-05-21 12:00:00+00:00,0,0.4763927459716797,0
149,2025-05-21 12:15:00+00:00,0,0.478146493434906,0
150,2025-05-21 12:30:00+00:00,0,0.4753900468349457,0
151,2025-05-21 12:45:00+00:00,0,0.4694996178150177,0
152,2025-05-21 13:00:00+00:00,0,0.4652901589870453,0
153,2025-05-21 13:15:00+00:00,0,0.46250098943710327,0
154,2025-05-21 13:30:00+00:00,0,0.46185195446014404,0
155,2025-05-21 13:45:00+00:00,0,0.4590083658695221,0
156,2025-05-21 14:00:00+00:00,0,0.45533353090286255,0
157,2025-05-21 14:15:00+00:00,0,0.4513304531574249,0
158,2025-05-21 14:30:00+00:00,0,0.4489588439464569,0
159,2025-05-21 14:45:00+00:00,0,0.4481867551803589,0
160,2025-05-21 15:00:00+00:00,0,0.4476604759693146,0
161,2025-05-21 15:15:00+00:00,0,0.44839993119239807,0
162,2025-05-21 15:30:00+00:00,0,0.4545518457889557,0
163,2025-05-21 15:45:00+00:00,0,0.46428975462913513,0
164,2025-05-21 16:00:00+00:00,0,0.47425538301467896,0
165,2025-05-21 16:15:00+00:00,0,0.4842953681945801,0
166,2025-05-21 16:30:00+00:00,0,0.4901207685470581,0
167,2025-05-21 16:45:00+00:00,0,0.4929828643798828,0
168,2025-05-21 17:00:00+00:00,0,0.4912225008010864,0
