idx,timestamp,actual,lstm_probability,lstm_signal
151,2025-05-21 12:45:00+00:00,0,0.7134619951248169,1
152,2025-05-21 13:00:00+00:00,0,0.7108842134475708,1
153,2025-05-21 13:15:00+00:00,0,0.6979938745498657,1
154,2025-05-21 13:30:00+00:00,0,0.6685320734977722,1
155,2025-05-21 13:45:00+00:00,0,0.6398992538452148,1
156,2025-05-21 14:00:00+00:00,0,0.5890378355979919,1
157,2025-05-21 14:15:00+00:00,0,0.5184380412101746,1
158,2025-05-21 14:30:00+00:00,0,0.4430599510669708,0
159,2025-05-21 14:45:00+00:00,0,0.3843276798725128,0
160,2025-05-21 15:00:00+00:00,0,0.3390848934650421,0
161,2025-05-21 15:15:00+00:00,0,0.29714760184288025,0
162,2025-05-21 15:30:00+00:00,0,0.26363858580589294,0
163,2025-05-21 15:45:00+00:00,0,0.23414914309978485,0
164,2025-05-21 16:00:00+00:00,0,0.21609745919704437,0
165,2025-05-21 16:15:00+00:00,0,0.20466285943984985,0
166,2025-05-21 16:30:00+00:00,0,0.1991443634033203,0
167,2025-05-21 16:45:00+00:00,0,0.19805891811847687,0
168,2025-05-21 17:00:00+00:00,0,0.21451613306999207,0
169,2025-05-21 17:15:00+00:00,0,0.23147377371788025,0
170,2025-05-21 17:30:00+00:00,0,0.26896852254867554,0
171,2025-05-21 17:45:00+00:00,0,0.3122941255569458,0
172,2025-05-21 18:00:00+00:00,0,0.365471750497818,0
173,2025-05-21 18:15:00+00:00,0,0.4072650074958801,0
174,2025-05-21 18:30:00+00:00,0,0.4293724298477173,0
175,2025-05-21 18:45:00+00:00,0,0.4465689957141876,0
176,2025-05-21 19:00:00+00:00,0,0.5047678351402283,1
177,2025-05-21 19:15:00+00:00,0,0.5479813814163208,1
178,2025-05-21 19:30:00+00:00,0,0.5769240260124207,1
179,2025-05-21 19:45:00+00:00,0,0.6025699377059937,1
180,2025-05-21 20:00:00+00:00,0,0.6147388219833374,1
181,2025-05-21 20:15:00+00:00,0,0.6286782026290894,1
182,2025-05-21 20:30:00+00:00,0,0.6299753785133362,1
183,2025-05-21 20:45:00+00:00,0,0.6236444711685181,1
184,2025-05-21 22:00:00+00:00,0,0.6231729984283447,1
185,2025-05-21 22:15:00+00:00,0,0.6235238313674927,1
186,2025-05-21 22:30:00+00:00,0,0.6242071986198425,1
187,2025-05-21 22:45:00+00:00,0,0.6144697666168213,1
188,2025-05-21 23:00:00+00:00,0,0.606216549873352,1
189,2025-05-21 23:15:00+00:00,0,0.6068763136863708,1
190,2025-05-21 23:30:00+00:00,0,0.6109310984611511,1
191,2025-05-21 23:45:00+00:00,0,0.6289388537406921,1
192,2025-05-22 00:00:00+00:00,0,0.6444143652915955,1
193,2025-05-22 00:15:00+00:00,0,0.6553640365600586,1
194,2025-05-22 00:30:00+00:00,0,0.6603132486343384,1
195,2025-05-22 00:45:00+00:00,0,0.6672734022140503,1
196,2025-05-22 01:00:00+00:00,0,0.6805189847946167,1
197,2025-05-22 01:15:00+00:00,0,0.701479434967041,1
198,2025-05-22 01:30:00+00:00,0,0.7191757559776306,1
199,2025-05-22 01:45:00+00:00,0,0.7188389301300049,1
200,2025-05-22 02:00:00+00:00,0,0.701511800289154,1
201,2025-05-22 02:15:00+00:00,0,0.6710466742515564,1
202,2025-05-22 02:30:00+00:00,0,0.6414791941642761,1
203,2025-05-22 02:45:00+00:00,0,0.5876238346099854,1
204,2025-05-22 03:00:00+00:00,0,0.5145846009254456,1
205,2025-05-22 03:15:00+00:00,0,0.43429479002952576,0
206,2025-05-22 03:30:00+00:00,0,0.3688293695449829,0
207,2025-05-22 03:45:00+00:00,0,0.31055963039398193,0
208,2025-05-22 04:00:00+00:00,0,0.2633494734764099,0
209,2025-05-22 04:15:00+00:00,0,0.22416183352470398,0
210,2025-05-22 04:30:00+00:00,0,0.1959906965494156,0
211,2025-05-22 04:45:00+00:00,0,0.17980381846427917,0
212,2025-05-22 05:00:00+00:00,0,0.17760787904262543,0
213,2025-05-22 05:15:00+00:00,0,0.18270033597946167,0
214,2025-05-22 05:30:00+00:00,0,0.20021843910217285,0
215,2025-05-22 05:45:00+00:00,0,0.25788432359695435,0
216,2025-05-22 06:00:00+00:00,0,0.30598923563957214,0
217,2025-05-22 06:15:00+00:00,0,0.38153281807899475,0
218,2025-05-22 06:30:00+00:00,0,0.4486507773399353,0
219,2025-05-22 06:45:00+00:00,0,0.5294143557548523,1
220,2025-05-22 07:00:00+00:00,0,0.5712453722953796,1
221,2025-05-22 07:15:00+00:00,0,0.6203231811523438,1
222,2025-05-22 07:30:00+00:00,0,0.6450375914573669,1
223,2025-05-22 07:45:00+00:00,0,0.6434939503669739,1
224,2025-05-22 08:00:00+00:00,0,0.6357903480529785,1
225,2025-05-22 08:15:00+00:00,0,0.6511896252632141,1
226,2025-05-22 08:30:00+00:00,0,0.6711799502372742,1
227,2025-05-22 08:45:00+00:00,0,0.6776187419891357,1
228,2025-05-22 09:00:00+00:00,0,0.6834580898284912,1
229,2025-05-22 09:15:00+00:00,0,0.6769911646842957,1
230,2025-05-22 09:30:00+00:00,0,0.638990044593811,1
231,2025-05-22 09:45:00+00:00,0,0.5670086741447449,1
232,2025-05-22 10:00:00+00:00,0,0.4917505979537964,0
233,2025-05-22 10:15:00+00:00,0,0.4249562621116638,0
234,2025-05-22 10:30:00+00:00,0,0.45243045687675476,0
235,2025-05-22 10:45:00+00:00,1,0.5302959680557251,1
236,2025-05-22 11:00:00+00:00,1,0.6105901002883911,1
237,2025-05-22 11:15:00+00:00,1,0.6150364875793457,1
238,2025-05-22 11:30:00+00:00,0,0.6178032755851746,1
239,2025-05-22 11:45:00+00:00,0,0.6519693732261658,1
240,2025-05-22 12:00:00+00:00,0,0.6407697200775146,1
241,2025-05-22 12:15:00+00:00,0,0.6043493151664734,1
