ts,pred,side,entry,exit,pnl
2026-02-04T15:35:00+00:00,0,down,4911.0,4914.92,-3.9200000000000728
2026-02-04T15:36:00+00:00,0,down,4900.92,4918.04,-17.11999999999989
2026-02-04T15:37:00+00:00,0,down,4912.85,4902.23,10.6200000000008
2026-02-04T15:40:00+00:00,0,down,4923.52,4920.06,3.4600000000000364
2026-02-04T15:41:00+00:00,0,down,4929.41,4920.83,8.579999999999927
2026-02-04T15:42:00+00:00,0,down,4936.65,4915.06,21.589999999999236
2026-02-04T15:43:00+00:00,0,down,4937.69,4922.14,15.549999999999272
2026-02-04T15:44:00+00:00,0,down,4944.39,4921.89,22.5
2026-02-04T15:45:00+00:00,0,down,4935.68,4919.86,15.820000000000618
2026-02-04T15:46:00+00:00,0,down,4935.39,4927.6,7.789999999999964
2026-02-04T15:47:00+00:00,0,down,4936.06,4939.19,-3.1299999999991996
2026-02-04T15:48:00+00:00,0,down,4948.74,4930.86,17.88000000000011
2026-02-04T15:49:00+00:00,0,down,4937.52,4932.48,5.040000000000873
2026-02-04T15:50:00+00:00,0,down,4940.06,4930.63,9.430000000000291
2026-02-04T15:51:00+00:00,0,down,4938.81,4921.21,17.600000000000364
2026-02-04T15:52:00+00:00,0,down,4943.94,4920.58,23.359999999999673
2026-02-04T15:53:00+00:00,0,down,4933.68,4925.33,8.350000000000364
2026-02-04T15:54:00+00:00,0,down,4938.12,4914.13,23.98999999999978
2026-02-04T15:55:00+00:00,0,down,4944.42,4910.11,34.3100000000004
2026-02-04T15:56:00+00:00,0,down,4930.79,4893.07,37.720000000000255
2026-02-04T15:57:00+00:00,0,down,4918.83,4901.66,17.170000000000073
2026-02-04T15:58:00+00:00,0,down,4923.81,4893.16,30.650000000000546
2026-02-04T15:59:00+00:00,0,down,4920.05,4901.37,18.68000000000029
2026-02-04T16:00:00+00:00,0,down,4914.92,4898.36,16.5600000000004
2026-02-04T16:01:00+00:00,0,down,4918.04,4910.75,7.289999999999964
2026-02-04T16:02:00+00:00,0,down,4902.23,4921.87,-19.640000000000327
2026-02-04T16:03:00+00:00,0,down,4903.71,4920.77,-17.0600000000004
2026-02-04T16:04:00+00:00,0,down,4910.58,4924.13,-13.550000000000182
2026-02-04T16:05:00+00:00,0,down,4920.06,4915.48,4.580000000000837
2026-02-04T16:06:00+00:00,0,down,4920.83,4917.69,3.1400000000003274
2026-02-04T16:07:00+00:00,0,down,4915.06,4926.41,-11.349999999999454
2026-02-04T16:08:00+00:00,0,down,4922.14,4927.97,-5.829999999999927
2026-02-04T16:09:00+00:00,0,down,4921.89,4925.08,-3.1899999999996
2026-02-04T16:10:00+00:00,0,down,4919.86,4922.54,-2.680000000000291
2026-02-04T16:11:00+00:00,0,down,4927.6,4918.19,9.410000000000764
2026-02-04T16:12:00+00:00,0,down,4939.19,4920.32,18.86999999999989
2026-02-04T16:13:00+00:00,0,down,4930.86,4914.58,16.279999999999745
2026-02-04T16:14:00+00:00,0,down,4932.48,4909.75,22.729999999999563
2026-02-04T16:15:00+00:00,0,down,4930.63,4904.42,26.210000000000036
2026-02-04T16:16:00+00:00,0,down,4921.21,4903.39,17.81999999999971
2026-02-04T16:17:00+00:00,0,down,4920.58,4897.06,23.519999999999527
2026-02-04T16:18:00+00:00,0,down,4925.33,4901.77,23.55999999999949
2026-02-04T16:19:00+00:00,0,down,4914.13,4896.98,17.150000000000546
2026-02-04T16:20:00+00:00,0,down,4910.11,4898.99,11.11999999999989
2026-02-04T16:21:00+00:00,0,down,4893.07,4881.09,11.979999999999563
2026-02-04T16:22:00+00:00,0,down,4901.66,4885.36,16.300000000000182
2026-02-04T16:23:00+00:00,0,down,4893.16,4863.97,29.1899999999996
2026-02-04T16:24:00+00:00,0,down,4901.37,4871.61,29.76000000000022
2026-02-04T16:25:00+00:00,0,down,4898.36,4885.21,13.149999999999636
2026-02-04T16:26:00+00:00,0,down,4910.75,4886.58,24.170000000000073
2026-02-04T16:28:00+00:00,0,down,4920.77,4900.33,20.44000000000051
