signal_idx,entry_idx,exit_idx,entry_time,exit_time,probability,entry_price,exit_price,pnl_usd,pnl_pct,bars_held,exit_reason
238,239,239,2025-05-22 11:45:00+00:00,2025-05-22 11:45:00+00:00,0.8797623359288458,3300.08,3313.28032,13.20031999999992,0.3999999999999976,1,take_profit
330,331,331,2025-05-23 11:45:00+00:00,2025-05-23 11:45:00+00:00,0.8837246690041416,3333.91,3347.2456399999996,13.335639999999785,0.3999999999999936,1,take_profit
489,490,490,2025-05-27 08:00:00+00:00,2025-05-27 08:00:00+00:00,0.8744083570258405,3296.43,3309.61572,13.185719999999947,0.39999999999999836,1,take_profit
817,818,818,2025-06-01 22:00:00+00:00,2025-06-01 22:00:00+00:00,0.7971095648360907,3299.1,3307.3,8.200000000000273,0.24855263556728419,1,timeout
1065,1066,1066,2025-06-04 14:00:00+00:00,2025-06-04 14:00:00+00:00,0.8015130689481913,3353.57,3366.98428,13.414279999999962,0.39999999999999886,1,take_profit
1067,1068,1068,2025-06-04 14:30:00+00:00,2025-06-04 14:30:00+00:00,0.8971335089414038,3369.58,3383.05832,13.478320000000167,0.40000000000000496,1,take_profit
1519,1520,1520,2025-06-11 12:30:00+00:00,2025-06-11 12:30:00+00:00,0.7883491697201777,3341.68,3355.04672,13.366719999999987,0.3999999999999997,1,take_profit
1541,1542,1542,2025-06-11 18:00:00+00:00,2025-06-11 18:00:00+00:00,0.7356227055572964,3324.5,3337.7980000000002,13.29800000000023,0.40000000000000685,1,take_profit
1615,1616,1616,2025-06-12 13:30:00+00:00,2025-06-12 13:30:00+00:00,0.8457159811568153,3383.23,3396.76292,13.532920000000104,0.400000000000003,1,take_profit
1653,1654,1654,2025-06-13 00:00:00+00:00,2025-06-13 00:00:00+00:00,0.9178027351505822,3395.95,3409.5337999999997,13.583799999999883,0.3999999999999965,1,take_profit
1737,1738,1738,2025-06-15 22:00:00+00:00,2025-06-15 22:00:00+00:00,0.8143949547315009,3442.53,3449.83,7.299999999999727,0.21205334448791227,1,timeout
2158,2159,2159,2025-06-20 13:45:00+00:00,2025-06-20 13:45:00+00:00,0.065235564837583,3364.43,3370.33,5.900000000000091,0.175364028973707,1,timeout
2159,2160,2160,2025-06-20 14:00:00+00:00,2025-06-20 14:00:00+00:00,0.079548944697685,3370.48,3370.95,0.4699999999997999,0.013944601362411288,1,timeout
