run_id,window,horizon,trend_threshold,long_target_threshold,short_target_threshold,long_adverse_limit,short_adverse_limit,min_15m_drop,min_15m_rise,max_flat_ratio,stage1_min_prob,stage2_min_prob,model_source,return_code,elapsed_s,status,trades,n_days,total_pnl,avg_trade,avg_day,positive_days_pct,stage1_balanced_accuracy,stage2_balanced_accuracy,score
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.48,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,7.06,OK,1511,74,4779.2599999999775,3.1629781601588203,64.5845945945943,72.97297297297297,0.6978678933289235,0.5316291538061844,6040.618883535892
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.48,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.33,OK,1511,74,4779.2599999999775,3.1629781601588203,64.5845945945943,72.97297297297297,0.6978678933289235,0.5316291538061844,6040.618883535892
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.5_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.5,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,4.93,OK,1485,73,4703.289999999977,3.167198653198638,64.42863013698599,76.71232876712328,0.6917635670171285,0.5324161906172662,6002.829478288477
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.5_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.5,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.26,OK,1485,73,4703.289999999977,3.167198653198638,64.42863013698599,76.71232876712328,0.6917635670171285,0.5324161906172662,6002.829478288477
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.52_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.52,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,5.23,OK,1471,72,4682.239999999973,3.183031951053687,65.03111111111075,75.0,0.6896275624651782,0.5335726794312233,5965.812679431197
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.52_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.52,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.88,OK,1471,72,4682.239999999973,3.183031951053687,65.03111111111075,75.0,0.6896275624651782,0.5335726794312233,5965.812679431197
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.5_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.5,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,5.12,OK,1498,73,4663.859999999979,3.1133911882509873,63.88849315068464,76.71232876712328,0.6957165563529366,0.5309499224688572,5961.933210140069
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.5_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.5,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.0,OK,1498,73,4663.859999999979,3.1133911882509873,63.88849315068464,76.71232876712328,0.6957165563529366,0.5309499224688572,5961.933210140069
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.48,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,6.6,OK,1360,69,4667.949999999986,3.432316176470578,67.65144927536213,75.36231884057972,0.6687577416640585,0.53455962373089,5956.132812136673
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.55,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.48,0.55,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,9.09,OK,1360,69,4667.949999999986,3.432316176470578,67.65144927536213,75.36231884057972,0.6687577416640585,0.53455962373089,5956.132812136673
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.5_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.5,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,6.85,OK,1307,69,4684.009999999981,3.5837872991583635,67.88420289855046,72.46376811594203,0.662855655292713,0.5381189346178367,5946.766615777238
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.5_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.5,0.5,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2.5_p10.48_p20.5,0,5.61,OK,1307,69,4684.009999999981,3.5837872991583635,67.88420289855046,72.46376811594203,0.662855655292713,0.5381189346178367,5946.766615777238
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.5_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.0,0.5,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2_p10.48_p20.5,0,5.27,OK,1524,74,4628.129999999985,3.036830708661407,62.54229729729709,78.37837837837837,0.700867325474021,0.5294240743911891,5941.337858174957
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.5_p20.5,150,25,0.008,0.006,0.008,15.0,18.0,15.0,15.0,2.0,0.5,0.5,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r15_f2_p10.48_p20.5,0,5.38,OK,1524,74,4628.129999999985,3.036830708661407,62.54229729729709,78.37837837837837,0.700867325474021,0.5294240743911891,5941.337858174957
w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.52_p20.6,150,25,0.008,0.006,0.008,15.0,18.0,15.0,0.0,2.5,0.52,0.6,w150_h25_thr0.008_d15_lt0.006_st0.008_ls15_ss18_r0_f2.5_p10.48_p20.5,0,5.71,OK,1281,69,4642.759999999974,3.624324746291939,67.28637681159383,73.91304347826086,0.6606083091545134,0.5408795976437837,5922.770032426366
