signal_idx,entry_idx,exit_idx,entry_time,exit_time,probability,entry_price,exit_price,pnl_usd,pnl_pct,bars_held,exit_reason
13596,13597,13600,2025-12-12 10:45:00+00:00,2025-12-12 11:30:00+00:00,0.0100492360070347,4328.26,4334.63,6.369999999999891,0.14717230480608584,4,timeout
13600,13601,13604,2025-12-12 11:45:00+00:00,2025-12-12 12:30:00+00:00,0.0103614190593361,4334.75,4328.22,-6.529999999999745,-0.15064305899993644,4,timeout
13606,13607,13610,2025-12-12 13:15:00+00:00,2025-12-12 14:00:00+00:00,0.0113379443064332,4337.22,4342.12,4.899999999999636,0.11297559266072821,4,timeout
13610,13611,13614,2025-12-12 14:15:00+00:00,2025-12-12 15:00:00+00:00,0.0116270827129483,4342.44,4343.5,1.0600000000004002,0.024410239404583606,4,timeout
13614,13615,13615,2025-12-12 15:15:00+00:00,2025-12-12 15:15:00+00:00,0.0142764095216989,4343.83,4326.45468,-17.3753200000001,-0.40000000000000235,1,stop_loss
13615,13616,13617,2025-12-12 15:30:00+00:00,2025-12-12 15:45:00+00:00,0.0289357285946607,4300.83,4283.62668,-17.20331999999962,-0.39999999999999114,2,stop_loss
13617,13618,13619,2025-12-12 16:00:00+00:00,2025-12-12 16:15:00+00:00,0.0368976406753063,4290.19,4273.02924,-17.160759999999755,-0.3999999999999943,2,stop_loss
13619,13620,13620,2025-12-12 16:30:00+00:00,2025-12-12 16:30:00+00:00,0.0383617393672466,4290.05,4272.8898,-17.16020000000026,-0.400000000000006,1,stop_loss
13620,13621,13624,2025-12-12 16:45:00+00:00,2025-12-12 17:30:00+00:00,0.0417865514755249,4274.16,4293.25,19.090000000000146,0.44663746794692166,4,timeout
13624,13625,13628,2025-12-12 17:45:00+00:00,2025-12-12 18:30:00+00:00,0.0338589809834957,4293.61,4292.04,-1.569999999999709,-0.036565966634130934,4,timeout
13628,13629,13632,2025-12-12 18:45:00+00:00,2025-12-12 19:30:00+00:00,0.0271512642502784,4292.36,4297.37,5.010000000000218,0.11671900772535898,4,timeout
13632,13633,13636,2025-12-12 19:45:00+00:00,2025-12-12 20:30:00+00:00,0.0254442133009433,4297.73,4298.93,1.2000000000007276,0.027921716813311393,4,timeout
13636,13637,13640,2025-12-12 20:45:00+00:00,2025-12-12 21:30:00+00:00,0.0395697094500064,4299.01,4301.17,2.1599999999998545,0.050244125973185796,4,timeout
13640,13641,13644,2025-12-12 21:45:00+00:00,2025-12-14 23:30:00+00:00,0.0628236085176467,4301.15,4306.07,4.920000000000073,0.11438801250828437,4,timeout
