idx,is_uptrend,future_gain_pct,actual,timestamp,rf_probability,gb_probability,rf_signal,gb_signal
120,0,0.09454602755167883,0,2025-05-21 05:00:00+00:00,0.00544399316240839,0.0038294754493895383,0,0
121,0,0.3194307773824898,0,2025-05-21 05:15:00+00:00,0.0029308654541155173,0.0038294754493895383,0,0
122,0,0.21584058587889657,0,2025-05-21 05:30:00+00:00,0.024440014279452044,0.013240227217939594,0,0
123,0,0.0301529053831982,0,2025-05-21 05:45:00+00:00,0.02544118583870158,0.034762475156870226,0,0
124,0,0.1267102107311426,0,2025-05-21 06:00:00+00:00,0.009987893458850905,0.009519050306343167,0,0
125,0,0.045798996640402004,0,2025-05-21 06:15:00+00:00,0.013848929644057569,0.008178871276971313,0,0
126,0,0.0358487724054844,0,2025-05-21 06:30:00+00:00,0.008674702645215651,0.006561839790999438,0,0
127,0,-0.0006023824224803641,0,2025-05-21 06:45:00+00:00,0.008910829431110543,0.0061977065241303345,0,0
128,0,0.06401584694174395,0,2025-05-21 07:00:00+00:00,0.008791561874459107,0.005789154561826808,0,0
129,0,0.08150451293507631,0,2025-05-21 07:15:00+00:00,0.00737929110093125,0.00446789193866,0,0
130,0,-0.006033728542547383,0,2025-05-21 07:30:00+00:00,0.004092157495460717,0.0038294754493895383,0,0
131,0,0.038973633883494924,0,2025-05-21 07:45:00+00:00,0.004047609702528636,0.004344373419512223,0,0
132,0,0.1385632383862504,0,2025-05-21 08:00:00+00:00,0.004461547545726791,0.004344373419512223,0,0
133,0,0.160866015542323,0,2025-05-21 08:15:00+00:00,0.0043084383533754335,0.004197914435033672,0,0
134,0,0.045630777506134874,0,2025-05-21 08:30:00+00:00,0.004050828921104373,0.005446525447819103,0,0
135,0,0.08916346534563138,0,2025-05-21 08:45:00+00:00,0.0030812487434126795,0.0038294754493895383,0,0
136,0,0.13302173998482617,0,2025-05-21 09:00:00+00:00,0.0032836332920469623,0.004197914435033672,0,0
137,0,0.049232813821422444,0,2025-05-21 09:15:00+00:00,0.003028650908418188,0.0038294754493895383,0,0
138,0,0.1829104222660856,0,2025-05-21 09:30:00+00:00,0.0030015721444731705,0.0038294754493895383,0,0
139,0,0.017503357325001953,0,2025-05-21 09:45:00+00:00,0.0042570344544561834,0.005136873110636888,0,0
140,0,0.19568585173172975,0,2025-05-21 10:00:00+00:00,0.0029556602695160524,0.0038294754493895383,0,0
141,0,0.05728931102065704,0,2025-05-21 10:15:00+00:00,0.004782606965027068,0.006137266515329512,0,0
142,0,0.04107359119091285,0,2025-05-21 10:30:00+00:00,0.003478695444535142,0.004466662130100033,0,0
143,0,0.1388939212773382,0,2025-05-21 10:45:00+00:00,0.0031070027384424537,0.0038294754493895383,0,0
144,0,0.08308408109006314,0,2025-05-21 11:00:00+00:00,0.004126167328513525,0.004929574745854096,0,0
145,0,0.014489909890873415,0,2025-05-21 11:15:00+00:00,0.0026848232011304684,0.0038626755068466535,0,0
