entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,exit_time,exit_price,exit_reason,pnl,side
2026-01-20 15:24:00+00:00,4731.98,4756.98,4701.98,2026-01-20 15:54:00+00:00,0,0.6182705163955688,0.06961935013532639,2026-01-20 15:54:00+00:00,4736.84,timeout,-4.860000000000582,down
2026-01-21 14:11:00+00:00,4849.27,4874.27,4814.75,2026-01-21 14:52:00+00:00,5,0.613222599029541,0.40374529361724854,2026-01-21 14:52:00+00:00,4850.37,timeout,-1.0999999999994543,down
2026-01-21 23:07:00+00:00,4809.29,4834.29,4748.65,2026-01-22 00:29:00+00:00,2,0.6854535937309265,0.04469657316803932,2026-01-22 00:29:00+00:00,4783.45,timeout,25.840000000000146,down
2026-01-28 15:09:00+00:00,5253.2,5278.2,5212.2,2026-01-28 15:48:00+00:00,6,0.6635381579399109,0.18764732778072357,2026-01-28 15:36:00+00:00,5278.2,stop_loss,-25.0,down
2026-01-28 23:07:00+00:00,5435.85,5410.85,5465.85,2026-01-28 23:37:00+00:00,0,0.5428996682167053,0.7649219036102295,2026-01-28 23:12:00+00:00,5465.85,target_hit,30.0,up
2026-01-29 01:04:00+00:00,5482.03,5507.03,5438.57,2026-01-29 01:35:00+00:00,2,0.6238561272621155,0.032905831933021545,2026-01-29 01:24:00+00:00,5507.03,stop_loss,-25.0,down
2026-01-29 03:05:00+00:00,5515.42,5490.42,5545.42,2026-01-29 03:35:00+00:00,0,0.55861896276474,0.7349554896354675,2026-01-29 03:35:00+00:00,5536.84,timeout,21.420000000000073,up
2026-01-29 08:53:00+00:00,5512.52,5537.52,5472.31,2026-01-29 09:32:00+00:00,1,0.5983352065086365,0.42916151881217957,2026-01-29 09:32:00+00:00,5515.4,timeout,-2.8799999999991996,down
2026-01-29 14:37:00+00:00,5507.2,5482.2,5537.2,2026-01-29 15:07:00+00:00,0,0.5472738742828369,0.6227909922599792,2026-01-29 14:39:00+00:00,5537.2,target_hit,30.0,up
2026-01-29 14:48:00+00:00,5494.77,5519.77,5456.44,2026-01-29 15:30:00+00:00,7,0.7468284964561462,0.04336748272180557,2026-01-29 15:02:00+00:00,5456.44,target_hit,38.33000000000084,down
2026-01-29 15:05:00+00:00,5458.75,5433.75,5488.75,2026-01-29 15:36:00+00:00,1,0.6076672077178955,0.6234504580497742,2026-01-29 15:07:00+00:00,5433.75,stop_loss,-25.0,up
2026-01-29 15:15:00+00:00,5383.74,5358.74,5413.74,2026-01-29 15:45:00+00:00,0,0.7298058271408081,0.940371036529541,2026-01-29 15:15:00+00:00,5358.74,stop_loss,-25.0,up
2026-01-29 15:16:00+00:00,5356.63,5331.63,5386.63,2026-01-29 15:46:00+00:00,0,0.7843946814537048,0.9811236262321472,2026-01-29 15:16:00+00:00,5331.63,stop_loss,-25.0,up
2026-01-29 15:17:00+00:00,5325.98,5300.98,5355.98,2026-01-29 15:47:00+00:00,0,0.7948437929153442,0.9793755412101746,2026-01-29 15:17:00+00:00,5300.98,stop_loss,-25.0,up
2026-01-29 15:18:00+00:00,5297.67,5272.67,5327.67,2026-01-29 15:48:00+00:00,0,0.6236111521720886,0.9078324437141418,2026-01-29 15:18:00+00:00,5327.67,target_hit,30.0,up
2026-01-29 15:19:00+00:00,5341.46,5316.46,5371.46,2026-01-29 15:49:00+00:00,0,0.7786276936531067,0.9697848558425903,2026-01-29 15:19:00+00:00,5316.46,stop_loss,-25.0,up
2026-01-29 15:20:00+00:00,5328.31,5303.31,5390.76,2026-01-29 15:53:00+00:00,4,0.7445564866065979,0.975498378276825,2026-01-29 15:24:00+00:00,5303.31,stop_loss,-25.0,up
