side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,matched_pattern,exit_time,exit_price,exit_reason,pnl,pattern
-1,2025-07-14 13:01:00+00:00,6763.65,6803.65,6693.65,2025-07-14 14:31:00+00:00,0,0,0.6821008920669556,0.31789910793304443,70.0,40.0,90,oil_short_impulse,2025-07-14 14:31:00+00:00,6715.25,timeout,48.399999999999636,oil_short_impulse
-1,2025-11-05 16:45:00+00:00,5980.05,6020.05,5910.05,2025-11-05 18:15:00+00:00,0,0,0.6289476156234741,0.3710523843765259,70.0,40.0,90,oil_short_impulse,2025-11-05 18:15:00+00:00,5965.05,timeout,15.0,oil_short_impulse
-1,2025-12-26 14:01:00+00:00,5778.15,5818.15,5708.15,2025-12-26 15:31:00+00:00,0,0,0.6011516451835632,0.39884835481643677,70.0,40.0,90,oil_short_impulse,2025-12-26 15:31:00+00:00,5766.05,timeout,12.099999999999454,oil_short_impulse
-1,2026-01-06 14:57:00+00:00,5811.45,5851.45,5741.45,2026-01-06 16:27:00+00:00,0,0,0.5583526492118835,0.44164735078811646,70.0,40.0,90,oil_short_impulse,2026-01-06 16:27:00+00:00,5789.75,timeout,21.699999999999818,oil_short_impulse
