os,warm,ob,cool,slk,ros,rob,n,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
-5,-30,-60,-10,0,20,15,74306,360,0.6,0.3,2.0,0.4,99,351.8829152794701,41.41414141414141,-135.78606276979917
0,-30,-60,-10,0,15,15,74306,360,0.6,0.3,2.0,0.4,99,351.8829152794701,41.41414141414141,-135.78606276979917
-5,-30,-60,-10,0,15,15,74306,360,0.6,0.3,2.0,0.4,99,351.8829152794701,41.41414141414141,-135.78606276979917
0,-30,-60,-10,0,15,15,74306,480,0.65,0.3,2.166666666666667,0.4,151,349.05250398663065,42.384105960264904,-192.6558586397614
-5,-30,-60,-10,0,20,15,74306,480,0.65,0.3,2.166666666666667,0.4,151,349.05250398663065,42.384105960264904,-192.6558586397614
0,-30,-60,-10,0,20,15,74306,480,0.65,0.3,2.166666666666667,0.4,151,349.05250398663065,42.384105960264904,-192.6558586397614
-5,-30,-60,-10,0,15,15,74306,480,0.65,0.3,2.166666666666667,0.4,151,349.05250398663065,42.384105960264904,-192.6558586397614
-5,-30,-60,-10,0,15,15,74306,360,0.6,0.35,1.7142857142857144,0.4,93,347.75070004839336,44.086021505376344,-134.03173289003098
0,-30,-60,-10,0,15,15,74306,360,0.6,0.35,1.7142857142857144,0.4,93,347.75070004839336,44.086021505376344,-134.03173289003098
0,-30,-60,-10,0,20,15,74306,360,0.6,0.35,1.7142857142857144,0.4,93,347.75070004839336,44.086021505376344,-134.03173289003098
-5,-30,-60,-10,0,20,15,74306,360,0.6,0.35,1.7142857142857144,0.4,93,347.75070004839336,44.086021505376344,-134.03173289003098
-5,-30,-60,-10,0,20,15,74306,360,0.6,0.25,2.4,0.45,106,347.62060524975186,39.62264150943396,-164.95420685159024
