pattern,fh,sh,eh,ob,cool,os,rec,slk,rob,ros,n_bars,tpx,slx,rr,pt,nt,pnl,wr,dd
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.65,0.35,1.8571428571428574,0.4,94,575.9005081347173,48.93617021276596,-292.5348843180809
F15S60,15,60,360,-5,-20,-60,-30,5,20,15,2920,0.6,0.15,4.0,0.45,53,575.5549475626826,35.84905660377358,-86.02363721242455
F60S90,60,90,360,-5,-20,-40,-30,0,15,10,1736,0.6,0.25,2.4,0.45,27,572.6190623920461,40.74074074074074,-133.44459801731455
F15S60,15,60,360,-5,-30,-40,-30,10,15,15,4457,0.6,0.15,4.0,0.4,120,571.6121087098486,34.166666666666664,-154.78089891691343
F15S60,15,60,360,-5,-20,-60,-30,5,15,15,2840,0.6,0.15,4.0,0.4,61,567.4542557376076,32.78688524590164,-85.05601784304872
F30S120,30,120,240,-5,-20,-40,-30,0,20,10,2894,0.55,0.25,2.2,0.4,41,564.8106287254213,58.536585365853654,-100.41619336563053
F15S60,15,60,360,-5,-20,-60,-30,0,20,15,4303,0.55,0.25,2.2,0.4,138,561.6665898281462,45.65217391304348,-260.35640067847453
F60S90,60,90,360,-5,-20,-40,-30,0,15,10,1736,0.6,0.25,2.4,0.4,29,561.6098988880835,41.37931034482759,-144.6213337473837
F60S90,60,90,360,-5,-20,-40,-30,10,15,15,1811,0.7,0.2,3.4999999999999996,0.45,30,561.1491955400252,40.0,-97.79613827350613
F15S60,15,60,360,-5,-20,-60,-30,0,20,15,4303,0.6,0.25,2.4,0.45,87,560.2473178866476,45.97701149425287,-86.49320507662196
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.65,0.35,1.8571428571428574,0.4,44,554.3998858104424,47.72727272727273,-128.68662488459267
F60S90,60,90,360,-5,-20,-40,-30,0,15,10,1736,0.55,0.25,2.2,0.4,41,550.5771814055947,51.21951219512195,-121.74630922549932
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.6,0.25,2.4,0.45,72,548.6379539232344,50.0,-167.12639802039212
F15S60,15,60,360,-5,-30,-40,-30,10,15,15,4457,0.55,0.25,2.2,0.4,190,545.1887490486943,41.578947368421055,-362.7922840698884
F15S60,15,60,360,-5,-20,-50,-30,10,15,15,3927,0.6,0.15,4.0,0.4,109,540.9005833891829,33.94495412844037,-222.5012066859308
F60S90,60,90,360,-5,-20,-40,-30,0,15,10,1736,0.7,0.2,3.4999999999999996,0.45,21,540.5301863355185,42.857142857142854,-123.39587436454622
F15S60,15,60,360,-5,-20,-40,-30,10,15,15,7430,0.7,0.2,3.4999999999999996,0.45,142,537.0424381027497,35.91549295774648,-299.2508765737757
F15S60,15,60,360,-5,-30,-40,-30,0,15,10,3358,0.6,0.3,2.0,0.45,76,537.0249044732377,53.94736842105263,-177.93029167116038
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.7,0.2,3.4999999999999996,0.4,63,533.9620554594098,46.03174603174603,-236.1093569951222
F15S60,15,60,360,-5,-20,-60,-30,5,15,15,2840,0.6,0.3,2.0,0.45,81,517.8559592978668,45.67901234567901,-146.2626892244989
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.7,0.2,3.4999999999999996,0.45,50,513.4094211847732,48.0,-187.7799197693007
F15S60,15,60,360,-5,-20,-60,-30,5,15,15,2840,0.6,0.25,2.4,0.4,92,503.0171796397035,41.30434782608695,-183.68403342231431
F15S60,15,60,360,-5,-30,-40,-30,5,20,15,4902,0.6,0.15,4.0,0.45,118,501.792416243823,33.05084745762712,-232.6813780640441
F60S90,60,90,360,-5,-20,-40,-30,0,15,10,1736,0.65,0.25,2.6,0.45,26,499.843207299823,50.0,-168.2148231725364
F15S60,15,60,360,-5,-20,-40,-30,5,20,10,4446,0.6,0.3,2.0,0.4,167,496.5929194752921,47.30538922155689,-300.64036926119115
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.7,0.2,3.4999999999999996,0.4,29,496.55599503955773,41.37931034482759,-140.068435554816
F15S60,15,60,360,-5,-20,-40,-30,5,15,10,4103,0.65,0.35,1.8571428571428574,0.4,122,495.3826899878136,46.72131147540984,-356.5941494284825
F60S90,60,90,360,-5,-20,-40,-30,0,15,10,1736,0.55,0.25,2.2,0.45,37,494.7134834027893,51.35135135135135,-127.57447933460753
F15S60,15,60,360,-5,-20,-60,-30,5,20,15,2920,0.6,0.25,2.4,0.4,90,494.3146567470785,42.22222222222222,-159.73212024404575
F60S90,60,90,360,-5,-20,-40,-30,0,20,15,4261,0.65,0.35,1.8571428571428574,0.45,74,492.6049232316859,48.64864864864865,-318.43337174798535
F60S90,60,90,360,-5,-20,-40,-30,0,20,15,4261,0.6,0.3,2.0,0.4,95,491.42729637958473,47.368421052631575,-369.9031396096734
F15S60,15,60,360,-5,-20,-40,-30,10,15,15,7430,0.55,0.25,2.2,0.45,241,479.62775887861017,40.24896265560166,-572.2855449705789
F15S60,15,60,360,-5,-30,-40,-30,10,15,15,4457,0.55,0.25,2.2,0.45,148,475.58518515470587,43.24324324324324,-226.47185643521607
F60S90,60,90,360,-5,-20,-40,-30,0,15,15,3256,0.7,0.2,3.4999999999999996,0.4,45,471.5206610625646,37.77777777777778,-179.20436659900906
F60S90,60,90,360,-5,-20,-40,-30,10,20,10,1205,0.55,0.25,2.2,0.4,25,469.38046973833843,64.0,-81.21306299161824
F15S60,15,60,360,-5,-20,-40,-30,5,15,10,4103,0.65,0.25,2.6,0.4,128,469.25226649500064,42.1875,-278.67807321955024
F30S120,30,120,240,-5,-20,-40,-30,5,15,15,3146,0.6,0.3,2.0,0.4,32,468.4742140951503,59.375,-69.69271622397173
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.55,0.25,2.2,0.45,56,468.37741255958827,51.78571428571429,-156.1561017357244
F30S120,30,120,240,-5,-20,-40,-30,5,15,15,3146,0.6,0.25,2.4,0.4,32,467.0496730118575,56.25,-66.96024888912325
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.65,0.35,1.8571428571428574,0.45,39,463.4028530927103,48.717948717948715,-90.8935678987923
F15S60,15,60,360,-5,-20,-40,-30,5,15,10,4103,0.7,0.2,3.4999999999999996,0.4,77,461.443507378764,42.857142857142854,-186.98120653431943
F30S120,30,120,240,-5,-20,-40,-30,5,15,15,3146,0.65,0.35,1.8571428571428574,0.4,25,456.05027176606336,60.0,-65.32170033089733
F15S60,15,60,360,-5,-20,-40,-30,10,15,10,3523,0.65,0.35,1.8571428571428574,0.4,82,455.92088525536883,53.65853658536586,-162.8233581601694
F15S60,15,60,360,-5,-20,-60,-30,5,15,15,2840,0.6,0.25,2.4,0.45,71,455.36134453980185,43.66197183098591,-157.6459254606052
F60S90,60,90,360,-5,-20,-40,-30,0,15,10,1736,0.7,0.2,3.4999999999999996,0.4,24,454.5013065980297,37.5,-152.2195143138615
F15S60,15,60,360,-5,-20,-40,-30,10,20,10,4108,0.7,0.2,3.4999999999999996,0.4,63,449.36535994464157,41.269841269841265,-222.1929298155237
F15S60,15,60,360,-5,-30,-40,-30,0,20,10,4477,0.55,0.25,2.2,0.4,179,444.6172266227245,43.01675977653631,-403.86874432799596
F15S60,15,60,360,-5,-20,-40,-20,5,20,15,3263,0.6,0.3,2.0,0.4,100,444.5708705202487,52.0,-392.810568805955
F15S60,15,60,360,-5,-30,-40,-30,0,15,10,3358,0.65,0.25,2.6,0.45,66,443.9655867776346,54.54545454545454,-160.29960185145137
F15S60,15,60,360,-5,-20,-60,-30,5,20,15,2920,0.6,0.3,2.0,0.45,76,442.4263593450014,46.05263157894737,-201.9230170850642
F15S60,15,60,360,-5,-20,-40,-30,5,20,10,4446,0.6,0.3,2.0,0.45,134,442.2107917886974,46.26865671641791,-275.3503590852315
F30S120,30,120,240,-5,-20,-50,-30,10,20,15,1084,0.55,0.25,2.2,0.45,10,441.8967337520944,60.0,-13.639999999999418
F60S90,60,90,360,-5,-20,-40,-30,10,20,15,2194,0.6,0.3,2.0,0.45,41,439.22141536208983,46.34146341463415,-104.94250677389664
F15S60,15,60,360,-5,-20,-60,-30,0,20,15,4303,0.7,0.2,3.4999999999999996,0.45,56,436.30124282878114,33.92857142857143,-170.4943458219941
F30S120,30,120,240,-5,-20,-50,-30,10,20,15,1084,0.55,0.25,2.2,0.4,10,435.4067337520937,60.0,-13.639999999999418
F15S60,15,60,360,-5,-20,-40,-30,10,20,15,8217,0.6,0.15,4.0,0.45,195,434.3308672575695,32.82051282051282,-462.5033760378592
F15S60,15,60,360,-5,-20,-60,-30,5,15,15,2840,0.6,0.3,2.0,0.4,95,434.234164472819,42.10526315789473,-146.33280312816078
F15S60,15,60,360,-5,-20,-60,-30,0,20,15,4303,0.6,0.15,4.0,0.45,70,433.901114335511,34.285714285714285,-112.0262759098764
F60S90,60,90,360,-5,-30,-40,-30,0,20,15,836,0.6,0.25,2.4,0.4,11,433.0325797217456,72.72727272727273,-59.58676941579688
F60S90,60,90,360,-5,-30,-40,-30,0,20,15,836,0.6,0.25,2.4,0.45,11,433.0325797217456,72.72727272727273,-59.58676941579688
F30S120,30,120,240,-5,-20,-40,-30,5,15,15,3146,0.6,0.25,2.4,0.45,26,428.9932681823889,57.692307692307686,-66.96024888912325
F60S90,60,90,360,-5,-20,-40,-30,0,20,10,2602,0.55,0.25,2.2,0.4,61,427.9166773499833,47.540983606557376,-284.7395781449841
F15S60,15,60,360,-5,-20,-60,-30,5,20,15,2920,0.6,0.3,2.0,0.4,94,425.98290234686556,45.744680851063826,-341.49787285898947
F60S90,60,90,360,-5,-20,-40,-30,10,15,10,862,0.55,0.25,2.2,0.4,14,423.7782906700131,71.42857142857143,-47.86865171837326
F60S90,60,90,360,-5,-20,-40,-30,0,15,15,3256,0.65,0.35,1.8571428571428574,0.45,64,422.86347830343675,42.1875,-226.61795589899248
F15S60,15,60,360,-5,-20,-60,-30,0,15,15,3958,0.6,0.25,2.4,0.45,94,419.45328546772726,42.5531914893617,-191.74274415475793
F15S60,15,60,360,-5,-20,-40,-30,5,15,10,4103,0.7,0.2,3.4999999999999996,0.45,66,419.18552797419716,43.93939393939394,-202.5778265232234
F60S90,60,90,360,-5,-20,-40,-30,0,15,15,3256,0.6,0.25,2.4,0.4,85,418.7605508367037,40.0,-265.7412363596368
F15S60,15,60,360,-5,-30,-40,-30,5,20,15,4902,0.6,0.15,4.0,0.4,139,417.8193329461501,33.81294964028777,-265.82229677340547
F15S60,15,60,360,-5,-20,-60,-30,0,20,15,4303,0.7,0.2,3.4999999999999996,0.4,66,417.44391505700514,36.36363636363637,-152.38434582199443
F30S120,30,120,240,-5,-20,-40,-30,5,15,15,3146,0.65,0.35,1.8571428571428574,0.45,23,416.75027176606227,56.52173913043478,-65.32170033089733
F60S90,60,90,360,-5,-30,-40,-30,0,20,15,836,0.6,0.3,2.0,0.45,11,415.3211943216975,72.72727272727273,-71.50412329895698
F60S90,60,90,360,-5,-30,-40,-30,0,20,15,836,0.6,0.3,2.0,0.4,11,415.3211943216975,72.72727272727273,-71.50412329895698
