tp,sl,horizon,n,wr,avg_pnl,net_pnl,gross_profit,gross_loss,profit_factor,expectancy
10,8,30,1134,0.3888888888888889,-0.2696825396825394,-305.8199999999997,5137.449999999998,5443.269999999998,0.943816860085941,-0.2696825396825394
10,8,45,1131,0.385499557913351,-0.29657824933686866,-335.4299999999985,5134.78,5470.209999999998,0.9386805990994864,-0.29657824933686866
10,8,60,1132,0.38604240282685515,-0.310088339222616,-351.02000000000135,5155.619999999998,5506.639999999999,0.9362551392500688,-0.310088339222616
10,8,90,1128,0.38386524822695034,-0.27971631205673636,-315.5199999999986,5193.650000000001,5509.169999999999,0.9427282149579703,-0.27971631205673636
10,10,30,1010,0.4415841584158416,-0.21781188118811498,-219.98999999999614,5180.130000000002,5400.119999999998,0.9592620163996363,-0.21781188118811498
10,10,45,1006,0.43538767395626243,-0.3378926441351817,-339.9199999999928,5145.300000000005,5485.2199999999975,0.9380298328964028,-0.3378926441351817
10,10,60,1006,0.4363817097415507,-0.3594632206759406,-361.61999999999625,5161.980000000003,5523.599999999999,0.9345318270693033,-0.3594632206759406
10,10,90,1006,0.43737574552683894,-0.31444333996023127,-316.32999999999265,5218.870000000006,5535.199999999999,0.9428512068217964,-0.31444333996023127
10,12,30,940,0.4723404255319149,-0.44736170212765713,-420.5199999999977,5109.9699999999975,5530.489999999995,0.9239633377874297,-0.44736170212765713
10,12,45,936,0.469017094017094,-0.5577350427350388,-522.0399999999963,5098.17,5620.209999999996,0.9071137911216847,-0.5577350427350388
10,12,60,936,0.47115384615384615,-0.5831303418803404,-545.8099999999986,5123.089999999998,5668.899999999997,0.9037185344599483,-0.5831303418803404
10,12,90,935,0.47058823529411764,-0.5418395721925064,-506.6199999999935,5190.650000000002,5697.269999999996,0.911076708669241,-0.5418395721925064
10,15,30,831,0.516245487364621,-0.42766546329723265,-355.3900000000003,4861.109999999998,5216.499999999998,0.9318719447905683,-0.42766546329723265
10,15,45,826,0.5193704600484261,-0.480351089588376,-396.7699999999986,4894.170000000002,5290.9400000000005,0.9250095446177808,-0.480351089588376
10,15,60,822,0.5231143552311436,-0.48587591240875844,-399.3899999999994,4933.24,5332.629999999999,0.9251044981556944,-0.48587591240875844
10,15,90,821,0.5261875761266748,-0.4768818514007225,-391.51999999999316,5004.240000000004,5395.7599999999975,0.9274393227274761,-0.4768818514007225
10,20,30,731,0.5677154582763337,-0.19201094391244578,-140.35999999999785,4670.959999999999,4811.319999999997,0.9708271326787663,-0.19201094391244578
10,20,45,722,0.5706371191135734,-0.3996398891966683,-288.5399999999945,4689.380000000003,4977.919999999997,0.9420360311133978,-0.3996398891966683
10,20,60,718,0.5779944289693594,-0.457855153203341,-328.7399999999989,4739.830000000001,5068.57,0.935141469882038,-0.457855153203341
10,20,90,714,0.5840336134453782,-0.5085294117646959,-363.08999999999287,4812.960000000004,5176.0499999999965,0.929851914104386,-0.5085294117646959
10,25,30,689,0.5863570391872278,-0.4367343976777897,-300.9099999999971,4531.199999999999,4832.109999999996,0.9377269971089239,-0.4367343976777897
10,25,45,679,0.5905743740795287,-0.5974815905743655,-405.68999999999414,4518.460000000003,4924.149999999997,0.9176121767208565,-0.5974815905743655
10,25,60,674,0.599406528189911,-0.6441839762611227,-434.17999999999665,4578.370000000002,5012.549999999998,0.9133814126542386,-0.6441839762611227
10,25,90,668,0.6092814371257484,-0.6840868263472936,-456.96999999999207,4676.300000000004,5133.269999999996,0.9109787718160174,-0.6840868263472936
10,30,30,633,0.6034755134281201,-0.314091627172194,-198.8199999999988,4171.160000000001,4369.98,0.9545032242710496,-0.314091627172194
10,30,45,621,0.6135265700483091,-0.3542190016102946,-219.96999999999298,4201.590000000006,4421.559999999999,0.9502505902894017,-0.3542190016102946
10,30,60,613,0.6264274061990212,-0.3334094616639391,-204.37999999999465,4257.420000000005,4461.799999999999,0.9541933748711294,-0.3334094616639391
10,30,90,609,0.638752052545156,-0.3694581280788073,-224.99999999999363,4362.8400000000065,4587.84,0.9509573132454502,-0.3694581280788073
15,8,30,867,0.3206459054209919,-0.4246828143021944,-368.20000000000255,4229.229999999996,4597.4299999999985,0.9199117767970361,-0.4246828143021944
15,8,45,851,0.3078730904817861,-0.41862514688601327,-356.24999999999727,4252.14,4608.389999999998,0.9226953447950375,-0.41862514688601327
15,8,60,852,0.30633802816901406,-0.4650469483568078,-396.22000000000025,4269.809999999999,4666.029999999999,0.9150841293347878,-0.4650469483568078
15,8,90,847,0.3010625737898465,-0.38044864226682273,-322.2399999999989,4357.410000000001,4679.65,0.9311401493701454,-0.38044864226682273
15,10,30,772,0.37176165803108807,-0.4081865284974127,-315.1200000000026,4282.829999999998,4597.950000000001,0.9314651094509504,-0.4081865284974127
15,10,45,756,0.3544973544973545,-0.5018650793650755,-379.4099999999971,4278.550000000003,4657.96,0.9185458870406794,-0.5018650793650755
15,10,60,754,0.3541114058355438,-0.5875862068965493,-443.03999999999814,4268.330000000002,4711.37,0.9059636581291646,-0.5875862068965493
15,10,90,753,0.350597609561753,-0.48184594953518883,-362.8299999999972,4382.710000000004,4745.540000000001,0.923542947694046,-0.48184594953518883
15,12,30,721,0.3925104022191401,-0.7535644937586656,-543.3199999999979,4266.119999999997,4809.439999999995,0.8870305066702155,-0.7535644937586656
