entry_time,exit_time,pnl,side,source,matched_pattern,pattern,exit_reason,entry_price,exit_price
2025-06-20 20:49:00+00:00,2025-06-22 22:02:00+00:00,13.950000000000273,1,pattern,reversal_fvg_long,reversal_fvg_long,,,
2025-09-01 13:07:00+00:00,2025-09-01 13:54:00+00:00,-2.849999999999909,-1,v16_dip_short,,v16_dip_short,,,
2025-09-03 14:24:00+00:00,2025-09-03 15:09:00+00:00,0.669999999999618,-1,v16_dip_short,,v16_dip_short,,,
2025-09-04 10:09:00+00:00,2025-09-04 10:54:00+00:00,4.0300000000002,-1,v16_dip_short,,v16_dip_short,,,
2025-09-04 13:23:00+00:00,2025-09-04 14:24:00+00:00,13.309999999999945,-1,v16_dip_short,,v16_dip_short,,,
2025-09-05 16:08:00+00:00,2025-09-05 16:54:00+00:00,2.3299999999999272,-1,v16_dip_short,,v16_dip_short,,,
2025-09-09 12:09:00+00:00,2025-09-09 12:54:00+00:00,6.25,-1,v16_dip_short,,v16_dip_short,,,
2025-09-15 15:51:00+00:00,2025-09-15 16:38:00+00:00,-5.140000000000327,-1,v16_dip_short,,v16_dip_short,,,
2025-09-23 09:10:00+00:00,2025-09-23 10:09:00+00:00,-3.550000000000182,-1,v16_dip_short,,v16_dip_short,,,
2025-09-23 16:53:00+00:00,2025-09-23 17:39:00+00:00,0.42000000000007276,-1,v16_dip_short,,v16_dip_short,,,
2025-09-25 14:23:00+00:00,2025-09-25 15:09:00+00:00,2.6599999999998545,-1,v16_dip_short,,v16_dip_short,,,
2025-09-26 14:03:00+00:00,2025-09-26 14:52:00+00:00,-5.929999999999836,-1,v16_dip_short,,v16_dip_short,,,
2025-09-29 13:39:00+00:00,2025-09-29 14:24:00+00:00,1.8599999999996726,-1,v16_dip_short,,v16_dip_short,,,
2025-09-30 10:38:00+00:00,2025-09-30 11:23:00+00:00,0.6799999999998363,-1,v16_dip_short,,v16_dip_short,,,
2025-09-30 14:06:00+00:00,2025-09-30 14:51:00+00:00,-16.009999999999764,-1,v16_dip_short,,v16_dip_short,,,
2025-09-30 15:25:00+00:00,2025-09-30 16:10:00+00:00,-4.120000000000346,-1,v16_dip_short,,v16_dip_short,,,
2025-10-01 07:52:00+00:00,2025-10-01 08:38:00+00:00,-15.449999999999818,-1,v16_dip_short,,v16_dip_short,,,
2025-10-03 13:24:00+00:00,2025-10-03 14:09:00+00:00,8.730000000000018,-1,v16_dip_short,,v16_dip_short,,,
2025-10-03 14:50:00+00:00,2025-10-03 15:35:00+00:00,-7.269999999999982,-1,v16_dip_short,,v16_dip_short,,,
2025-10-06 14:35:00+00:00,2025-10-06 15:24:00+00:00,4.550000000000182,-1,v16_dip_short,,v16_dip_short,,,
2025-10-06 16:21:00+00:00,2025-10-06 17:09:00+00:00,-3.900000000000091,-1,v16_dip_short,,v16_dip_short,,,
2025-10-07 16:24:00+00:00,2025-10-07 17:09:00+00:00,-10.900000000000091,-1,v16_dip_short,,v16_dip_short,,,
2025-10-08 15:25:00+00:00,2025-10-08 16:10:00+00:00,-4.279999999999745,-1,v16_dip_short,,v16_dip_short,,,
2025-10-08 19:52:00+00:00,2025-10-08 20:39:00+00:00,5.929999999999836,-1,v16_dip_short,,v16_dip_short,,,
2025-10-09 14:39:00+00:00,2025-10-09 15:24:00+00:00,-7.910000000000309,-1,v16_dip_short,,v16_dip_short,,,
2025-10-10 07:54:00+00:00,2025-10-10 08:54:00+00:00,-19.309999999999945,-1,v16_dip_short,,v16_dip_short,,,
2025-10-10 12:19:00+00:00,2025-10-10 13:04:00+00:00,12.360000000000127,-1,v16_dip_short,,v16_dip_short,,,
2025-10-10 13:25:00+00:00,2025-10-10 14:21:00+00:00,6.170000000000073,-1,v16_dip_short,,v16_dip_short,,,
2025-10-10 17:38:00+00:00,2025-10-10 18:23:00+00:00,-19.710000000000036,-1,v16_dip_short,,v16_dip_short,,,
2025-10-10 18:24:00+00:00,2025-10-10 19:37:00+00:00,-0.40000000000009095,-1,v16_dip_short,,v16_dip_short,,,
2025-10-13 13:55:00+00:00,2025-10-13 14:40:00+00:00,-2.3200000000001637,-1,v16_dip_short,,v16_dip_short,,,
2025-10-14 08:03:00+00:00,2025-10-14 08:53:00+00:00,-11.36999999999989,-1,v16_dip_short,,v16_dip_short,,,
2025-10-14 10:47:00+00:00,2025-10-14 13:15:00+00:00,16.969999999999345,-1,v16_momentum,,v16_momentum,,,
2025-10-14 13:37:00+00:00,2025-10-14 14:23:00+00:00,-18.48999999999978,-1,v16_dip_short,,v16_dip_short,,,
2025-10-14 16:50:00+00:00,2025-10-14 17:54:00+00:00,2.6400000000003274,-1,v16_dip_short,,v16_dip_short,,,
2025-10-15 08:47:00+00:00,2025-10-15 08:59:00+00:00,-4.9399999999996,1,v16_momentum,,v16_momentum,,,
2025-10-15 16:47:00+00:00,2025-10-15 17:12:00+00:00,-6.269999999999527,1,v16_momentum,,v16_momentum,,,
2025-10-15 17:41:00+00:00,2025-10-16 05:41:00+00:00,17.029999999999745,1,v16_momentum,,v16_momentum,,,
2025-10-16 14:53:00+00:00,2025-10-16 15:39:00+00:00,-9.420000000000073,-1,v16_dip_short,,v16_dip_short,,,
2025-10-16 17:37:00+00:00,2025-10-16 18:22:00+00:00,8.359999999999673,-1,v16_dip_short,,v16_dip_short,,,
2025-10-16 22:06:00+00:00,2025-10-16 22:09:00+00:00,20.0,1,pattern,uptrend_retrace,uptrend_retrace,,,
2025-10-16 22:15:00+00:00,2025-10-16 22:18:00+00:00,20.0,1,pattern,uptrend_retrace,uptrend_retrace,,,
2025-10-16 23:02:00+00:00,2025-10-16 23:08:00+00:00,20.0,1,pattern,uptrend_retrace,uptrend_retrace,,,
2025-10-16 23:37:00+00:00,2025-10-16 23:50:00+00:00,24.229999999999563,1,pattern,uptrend_retrace,uptrend_retrace,,,
2025-10-17 01:18:00+00:00,2025-10-17 02:09:00+00:00,-3.369999999999891,-1,pattern,reversal_fvg_short,reversal_fvg_short,,,
2025-10-17 02:24:00+00:00,2025-10-17 02:31:00+00:00,20.0,1,pattern,uptrend_retrace,uptrend_retrace,,,
2025-10-17 03:02:00+00:00,2025-10-17 03:15:00+00:00,20.0,1,pattern,uptrend_retrace,uptrend_retrace,,,
2025-10-17 06:35:00+00:00,2025-10-17 06:50:00+00:00,-11.429999999999382,-1,pattern,downtrend_retrace,downtrend_retrace,,,
2025-10-17 07:06:00+00:00,2025-10-17 07:20:00+00:00,40.07999999999993,-1,pattern,downtrend_retrace,downtrend_retrace,,,
2025-10-17 08:19:00+00:00,2025-10-17 09:08:00+00:00,1.139999999999418,-1,v16_dip_short,,v16_dip_short,,,
