entry,exit,pnl,type,_leg,side
2025-09-01 13:07:00+00:00,2025-09-01 13:54:00+00:00,-2.849999999999909,v16_dip_short,v16_dip_short,-1
2025-09-03 14:24:00+00:00,2025-09-03 15:09:00+00:00,0.669999999999618,v16_dip_short,v16_dip_short,-1
2025-09-04 10:09:00+00:00,2025-09-04 10:54:00+00:00,4.0300000000002,v16_dip_short,v16_dip_short,-1
2025-09-04 13:23:00+00:00,2025-09-04 14:24:00+00:00,13.309999999999945,v16_dip_short,v16_dip_short,-1
2025-09-05 16:08:00+00:00,2025-09-05 16:54:00+00:00,2.3299999999999272,v16_dip_short,v16_dip_short,-1
2025-09-09 12:09:00+00:00,2025-09-09 12:54:00+00:00,6.25,v16_dip_short,v16_dip_short,-1
2025-09-15 15:51:00+00:00,2025-09-15 16:38:00+00:00,-5.140000000000327,v16_dip_short,v16_dip_short,-1
2025-09-23 09:10:00+00:00,2025-09-23 10:09:00+00:00,-3.550000000000182,v16_dip_short,v16_dip_short,-1
2025-09-23 16:53:00+00:00,2025-09-23 17:39:00+00:00,0.42000000000007276,v16_dip_short,v16_dip_short,-1
2025-09-25 14:23:00+00:00,2025-09-25 15:09:00+00:00,2.6599999999998545,v16_dip_short,v16_dip_short,-1
2025-09-26 14:03:00+00:00,2025-09-26 14:52:00+00:00,-5.929999999999836,v16_dip_short,v16_dip_short,-1
2025-09-29 13:39:00+00:00,2025-09-29 14:24:00+00:00,1.8599999999996726,v16_dip_short,v16_dip_short,-1
2025-09-30 10:38:00+00:00,2025-09-30 11:23:00+00:00,0.6799999999998363,v16_dip_short,v16_dip_short,-1
2025-09-30 14:06:00+00:00,2025-09-30 14:51:00+00:00,-16.009999999999764,v16_dip_short,v16_dip_short,-1
2025-09-30 15:25:00+00:00,2025-09-30 16:10:00+00:00,-4.120000000000346,v16_dip_short,v16_dip_short,-1
2025-10-01 07:52:00+00:00,2025-10-01 08:38:00+00:00,-15.449999999999818,v16_dip_short,v16_dip_short,-1
2025-10-03 13:24:00+00:00,2025-10-03 14:09:00+00:00,8.730000000000018,v16_dip_short,v16_dip_short,-1
2025-10-03 14:50:00+00:00,2025-10-03 15:35:00+00:00,-7.269999999999982,v16_dip_short,v16_dip_short,-1
2025-10-06 14:35:00+00:00,2025-10-06 15:24:00+00:00,4.550000000000182,v16_dip_short,v16_dip_short,-1
2025-10-06 16:21:00+00:00,2025-10-06 17:09:00+00:00,-3.900000000000091,v16_dip_short,v16_dip_short,-1
2025-10-07 16:24:00+00:00,2025-10-07 17:09:00+00:00,-10.900000000000091,v16_dip_short,v16_dip_short,-1
2025-10-08 15:25:00+00:00,2025-10-08 16:10:00+00:00,-4.279999999999745,v16_dip_short,v16_dip_short,-1
2025-10-08 19:52:00+00:00,2025-10-08 20:39:00+00:00,5.929999999999836,v16_dip_short,v16_dip_short,-1
2025-10-09 14:39:00+00:00,2025-10-09 15:24:00+00:00,-7.910000000000309,v16_dip_short,v16_dip_short,-1
2025-10-10 07:54:00+00:00,2025-10-10 08:54:00+00:00,-19.309999999999945,v16_dip_short,v16_dip_short,-1
2025-10-10 12:19:00+00:00,2025-10-10 13:04:00+00:00,12.360000000000127,v16_dip_short,v16_dip_short,-1
2025-10-10 13:25:00+00:00,2025-10-10 14:21:00+00:00,6.170000000000073,v16_dip_short,v16_dip_short,-1
