mode,ml_label,tp,sl,horizon,trades,wr,net,avg,tp_hit,sl_hit,timeout
ml,scaleout,30.0,15.0,30,365,46.8,508.9,1.39,56,121,188
ml,scaleout,30.0,15.0,45,357,42.9,458.5,1.28,66,139,152
ml,scaleout,30.0,15.0,60,352,40.9,304.0,0.86,70,149,133
ml,scaleout,30.0,20.0,15,353,50.4,560.6,1.59,37,52,264
ml,scaleout,30.0,20.0,20,349,51.6,601.8,1.72,45,61,243
ml,scaleout,30.0,20.0,30,343,51.3,774.2,2.26,58,69,216
ml,scaleout,30.0,20.0,45,334,48.2,708.4,2.12,69,87,178
ml,scaleout,30.0,20.0,60,326,47.5,531.9,1.63,72,102,152
ml,scaleout,30.0,25.0,15,340,51.2,535.4,1.57,35,36,269
ml,scaleout,30.0,25.0,20,336,52.4,596.4,1.77,44,41,251
ml,scaleout,30.0,25.0,30,329,53.2,713.0,2.17,57,49,223
ml,scaleout,30.0,25.0,45,317,50.2,622.9,1.97,66,58,193
ml,scaleout,30.0,25.0,60,307,49.5,475.8,1.55,70,68,169
ml,scaleout,30.0,30.0,15,333,52.6,584.9,1.76,33,23,277
ml,scaleout,30.0,30.0,20,329,53.5,625.9,1.9,42,27,260
ml,scaleout,30.0,30.0,30,317,54.6,804.8,2.54,54,32,231
ml,scaleout,30.0,30.0,45,304,51.6,788.5,2.59,66,38,200
ml,scaleout,30.0,30.0,60,294,51.7,641.0,2.18,70,46,178
ml,scaleout,30.0,35.0,15,328,53.0,613.9,1.87,33,17,278
ml,scaleout,30.0,35.0,20,323,54.2,625.1,1.94,40,20,263
ml,scaleout,30.0,35.0,30,311,55.3,863.0,2.77,53,22,236
ml,scaleout,30.0,35.0,45,296,52.7,858.9,2.9,65,27,204
ml,scaleout,30.0,35.0,60,285,53.0,715.1,2.51,69,30,186
ml,scaleout,35.0,15.0,15,373,46.1,257.4,0.69,18,94,261
ml,scaleout,35.0,15.0,20,369,46.1,340.0,0.92,27,102,240
ml,scaleout,35.0,15.0,30,361,46.5,579.1,1.6,42,121,198
ml,scaleout,35.0,15.0,45,353,41.6,524.7,1.49,52,140,161
ml,scaleout,35.0,15.0,60,348,39.7,324.6,0.93,54,151,143
ml,scaleout,35.0,20.0,15,352,50.0,514.6,1.46,21,52,279
ml,scaleout,35.0,20.0,20,347,51.0,611.7,1.76,31,61,255
ml,scaleout,35.0,20.0,30,340,50.9,850.0,2.5,46,69,225
ml,scaleout,35.0,20.0,45,330,47.3,831.0,2.52,57,87,186
ml,scaleout,35.0,20.0,60,322,46.6,635.1,1.97,60,103,159
ml,scaleout,35.0,25.0,15,339,50.7,505.2,1.49,21,36,282
ml,scaleout,35.0,25.0,20,334,51.8,610.6,1.83,31,41,262
ml,scaleout,35.0,25.0,30,325,52.6,753.5,2.32,43,49,233
ml,scaleout,35.0,25.0,45,312,49.0,712.4,2.28,53,58,201
ml,scaleout,35.0,25.0,60,302,48.3,559.2,1.85,57,68,177
ml,scaleout,35.0,30.0,15,332,52.1,533.8,1.61,18,23,291
ml,scaleout,35.0,30.0,20,326,52.8,614.4,1.88,28,27,271
ml,scaleout,35.0,30.0,30,313,54.3,826.4,2.64,40,32,241
ml,scaleout,35.0,30.0,45,300,50.3,811.8,2.71,50,39,211
ml,scaleout,35.0,30.0,60,290,50.3,675.1,2.33,56,47,187
ml,scaleout,35.0,35.0,15,327,52.6,562.8,1.72,18,17,292
ml,scaleout,35.0,35.0,20,321,53.6,628.9,1.96,27,20,274
ml,scaleout,35.0,35.0,30,308,55.2,888.7,2.89,39,22,247
ml,scaleout,35.0,35.0,45,292,51.7,917.8,3.14,50,27,215
ml,scaleout,35.0,35.0,60,281,52.0,784.7,2.79,56,30,195
ml,scaleout,40.0,15.0,15,373,46.1,337.7,0.91,17,94,262
ml,scaleout,40.0,15.0,20,369,46.1,415.6,1.13,23,102,244
ml,scaleout,40.0,15.0,30,360,46.7,616.3,1.71,31,120,209
ml,scaleout,40.0,15.0,45,351,41.0,546.2,1.56,42,141,168
ml,scaleout,40.0,15.0,60,346,39.0,369.8,1.07,45,152,149
ml,scaleout,40.0,20.0,15,352,50.0,572.7,1.63,17,52,283
ml,scaleout,40.0,20.0,20,347,51.0,639.7,1.84,23,61,263
ml,scaleout,40.0,20.0,30,338,50.6,812.1,2.4,33,70,235
ml,scaleout,40.0,20.0,45,327,45.9,759.3,2.32,45,90,192
ml,scaleout,40.0,20.0,60,319,45.1,596.7,1.87,49,106,164
ml,scaleout,40.0,25.0,15,339,50.7,574.0,1.69,17,36,286
ml,scaleout,40.0,25.0,20,334,51.8,670.9,2.01,25,41,268
ml,scaleout,40.0,25.0,30,325,52.3,740.0,2.28,33,50,242
ml,scaleout,40.0,25.0,45,312,48.1,665.2,2.13,44,60,208
ml,scaleout,40.0,25.0,60,302,47.4,526.7,1.74,48,71,183
ml,scaleout,40.0,30.0,15,332,52.1,576.9,1.74,14,23,295
ml,scaleout,40.0,30.0,20,326,52.8,638.5,1.96,21,27,278
ml,scaleout,40.0,30.0,30,313,54.0,829.2,2.65,31,33,249
ml,scaleout,40.0,30.0,45,300,49.7,789.2,2.63,41,40,219
ml,scaleout,40.0,30.0,60,287,49.8,671.2,2.34,46,47,194
ml,scaleout,40.0,35.0,15,327,52.6,619.8,1.9,15,17,295
ml,scaleout,40.0,35.0,20,321,53.6,669.2,2.08,21,20,280
ml,scaleout,40.0,35.0,30,308,54.9,881.4,2.86,30,23,255
ml,scaleout,40.0,35.0,45,292,51.0,890.2,3.05,41,28,223
ml,scaleout,40.0,35.0,60,279,51.3,760.6,2.73,46,31,202
ml,scaleout,50.0,15.0,15,373,45.8,191.2,0.51,7,95,271
ml,scaleout,50.0,15.0,20,367,45.2,230.5,0.63,9,103,255
ml,scaleout,50.0,15.0,30,358,45.5,394.6,1.1,17,122,219
ml,scaleout,50.0,15.0,45,346,39.9,414.1,1.2,26,143,177
ml,scaleout,50.0,15.0,60,341,37.2,185.6,0.54,28,154,159
