tp,sl,horizon,n,wr,avg_pnl,net_pnl,gross_profit,gross_loss,profit_factor,expectancy
10,8,30,2733,0.38565678741309917,-0.4412733260153674,-1205.999999999999,11994.279999999997,13200.279999999995,0.908638301611784,-0.4412733260153674
10,8,45,2728,0.38269794721407624,-0.4411473607038111,-1203.4499999999966,12082.89,13286.339999999995,0.9094220078667266,-0.4411473607038111
10,8,60,2729,0.3836570172224258,-0.4207475265665085,-1148.2200000000016,12176.689999999995,13324.909999999996,0.9138290615096086,-0.4207475265665085
10,8,90,2724,0.38252569750367105,-0.39328193832599123,-1071.3000000000002,12277.689999999999,13348.989999999998,0.9197467373936156,-0.39328193832599123
10,10,30,2487,0.438681141938078,-0.4321391234418949,-1074.7299999999927,12353.130000000005,13427.859999999997,0.9199626746182942,-0.4321391234418949
10,10,45,2481,0.4349052801289803,-0.4659089076985032,-1155.9199999999864,12420.680000000006,13576.599999999991,0.9148593904217561,-0.4659089076985032
10,10,60,2481,0.4365175332527207,-0.45152760983474216,-1120.2399999999952,12525.020000000002,13645.259999999998,0.9179026269928168,-0.45152760983474216
10,10,90,2480,0.4375,-0.4078588709677387,-1011.489999999992,12683.650000000005,13695.139999999996,0.9261424125638736,-0.4078588709677387
10,12,30,2321,0.4786729857819905,-0.474536837570011,-1101.3999999999955,12472.47,13573.869999999995,0.918858807399806,-0.474536837570011
10,12,45,2314,0.4762316335350043,-0.5102981849611008,-1180.8299999999872,12595.100000000002,13775.92999999999,0.9142831010320183,-0.5102981849611008
10,12,60,2313,0.47946389969736275,-0.4925162127107633,-1139.1899999999955,12724.519999999997,13863.709999999994,0.9178293544801501,-0.4925162127107633
10,12,90,2310,0.4805194805194805,-0.4478874458874425,-1034.6199999999922,12898.79,13933.409999999993,0.9257453846545826,-0.4478874458874425
10,15,30,2094,0.5286532951289399,-0.317564469914039,-664.9799999999977,12364.300000000001,13029.279999999999,0.948962644136898,-0.317564469914039
10,15,45,2090,0.5301435406698565,-0.2862057416267884,-598.1699999999878,12587.640000000003,13185.80999999999,0.9546353238822652,-0.2862057416267884
10,15,60,2084,0.5369481765834933,-0.24898272552782982,-518.8799999999974,12781.129999999997,13300.009999999997,0.9609864954988756,-0.24898272552782982
10,15,90,2081,0.5386833253243632,-0.25445939452186,-529.5299999999907,12951.620000000003,13481.149999999994,0.9607207100284477,-0.25445939452186
10,20,30,1888,0.5794491525423728,-0.18750529661016238,-354.0099999999866,12065.560000000005,12419.56999999999,0.9714957925274397,-0.18750529661016238
10,20,45,1874,0.5827107790821772,-0.27168089647811033,-509.12999999997874,12254.390000000007,12763.519999999986,0.9601105337712497,-0.27168089647811033
10,20,60,1867,0.5913229780396357,-0.2623567220139215,-489.8199999999915,12473.390000000003,12963.209999999994,0.9622146057959416,-0.2623567220139215
10,20,90,1862,0.5961331901181526,-0.27089151450052784,-504.3999999999828,12670.420000000006,13174.819999999989,0.9617148469580622,-0.27089151450052784
10,25,30,1758,0.6035267349260524,-0.34157565415243707,-600.4899999999843,11637.770000000002,12238.259999999987,0.9509333843209749,-0.34157565415243707
10,25,45,1738,0.6087456846950517,-0.35694476409664944,-620.3699999999767,11790.210000000006,12410.579999999982,0.9500128116494172,-0.35694476409664944
10,25,60,1729,0.6205899363794101,-0.34930595720068813,-603.9499999999898,12024.260000000002,12628.209999999992,0.9521745362169309,-0.34930595720068813
10,25,90,1721,0.6275421266705404,-0.37295177222544024,-641.8499999999826,12263.080000000005,12904.929999999988,0.9502631939886553,-0.37295177222544024
10,30,30,1654,0.6251511487303507,-0.1502116082224831,-248.44999999998709,11207.730000000001,11456.17999999999,0.9783130153332098,-0.1502116082224831
10,30,45,1631,0.6345800122624157,-0.13416922133658793,-218.82999999997492,11404.310000000009,11623.139999999981,0.9811729016427598,-0.13416922133658793
10,30,60,1617,0.6487322201607916,-0.11581941867655435,-187.27999999998838,11613.600000000002,11800.87999999999,0.9841299970849642,-0.11581941867655435
10,30,90,1614,0.6567534076827757,-0.1555576208178341,-251.06999999998425,11867.920000000007,12118.98999999999,0.9792829270426014,-0.1555576208178341
15,8,30,2153,0.31862517417556896,-0.549498374361357,-1183.0700000000015,10289.909999999996,11472.979999999996,0.8968820655139292,-0.549498374361357
15,8,45,2126,0.30997177798682973,-0.5038852304797733,-1071.259999999998,10441.629999999996,11512.889999999994,0.9069512520314188,-0.5038852304797733
15,8,60,2125,0.30776470588235294,-0.49583529411764776,-1053.6500000000015,10554.959999999995,11608.609999999997,0.9092354726362586,-0.49583529411764776
15,8,90,2116,0.30151228733459357,-0.4835113421550102,-1023.1100000000015,10668.119999999999,11691.23,0.9124891050813302,-0.4835113421550102
15,10,30,1955,0.36879795396419435,-0.5240358056266,-1024.490000000003,10738.609999999997,11763.1,0.9129064617320262,-0.5240358056266
15,10,45,1929,0.35821669258683253,-0.5152203214100564,-993.8599999999988,10878.449999999997,11872.309999999996,0.9162875632459059,-0.5152203214100564
