model,prob,signals,trades,wr,net,avg,train_secs
lgb,0.5,1674,1334,57.8,10991.5,8.24,10.6
gbc,0.5,1491,1199,59.5,10444.2,8.71,54.5
logreg,0.5,1924,1477,49.5,8936.6,6.05,6.3
