eh,tpx,slx,rr,pt,nt,pnl,wr,dd
240,0.5,0.35,1.4285714285714286,0.55,48,233.9221286421248,50.0,-207.7596001913007
480,0.6,0.3,2.0,0.45,132,233.05653098072298,43.18181818181818,-751.466273903955
360,0.65,0.15,4.333333333333334,0.5,50,228.24167388406522,30.0,-220.92870154152524
240,0.45,0.2,2.25,0.45,102,228.1867839390584,41.17647058823529,-307.5268516523288
240,0.7,0.4,1.7499999999999998,0.45,24,227.961330874321,54.166666666666664,-72.53160770930663
480,0.65,0.15,4.333333333333334,0.4,88,225.55019940810826,28.40909090909091,-385.9330864035596
360,0.65,0.4,1.625,0.5,71,223.61482536383437,47.88732394366197,-266.55794978045606
360,0.65,0.2,3.25,0.45,65,221.14588280940006,35.38461538461539,-243.818440410344
480,0.6,0.3,2.0,0.5,106,217.2902984518937,44.339622641509436,-584.0093210259624
240,0.5,0.4,1.25,0.5,68,210.85769274322956,47.05882352941176,-290.5149682869969
240,0.5,0.4,1.25,0.4,104,210.3063570029085,48.07692307692308,-324.40279076105753
240,0.5,0.4,1.25,0.45,85,208.24560986482675,48.23529411764706,-319.723247778707
240,0.75,0.3,2.5,0.4,9,206.79751226033204,66.66666666666666,-26.412928077937977
240,0.65,0.25,2.6,0.55,20,206.44556243768238,40.0,-102.91385681021256
240,0.45,0.3,1.5,0.5,80,206.28072592333865,48.75,-303.9702400331071
480,0.45,0.15,3.0,0.4,245,205.95948793724392,25.71428571428571,-479.75187760204426
360,0.45,0.15,3.0,0.55,93,204.18775320723307,34.40860215053764,-251.03658333543353
480,0.5,0.3,1.6666666666666667,0.5,169,201.2550204965578,39.64497041420118,-418.68740168815884
240,0.65,0.15,4.333333333333334,0.4,35,199.9799731541425,48.57142857142857,-94.91647421743073
240,0.65,0.35,1.8571428571428574,0.55,24,196.75096407747606,45.83333333333333,-79.17198087148108
360,0.65,0.2,3.25,0.5,53,192.91079640762155,35.84905660377358,-182.5048507018255
240,0.7,0.4,1.7499999999999998,0.5,17,192.20856831157244,52.94117647058824,-42.4399999999996
360,0.65,0.15,4.333333333333334,0.45,56,187.55746977830995,26.785714285714285,-269.1553588089191
240,0.55,0.25,2.2,0.5,52,187.43833018742998,46.15384615384615,-147.16518269766902
480,0.75,0.2,3.75,0.55,14,185.93607675863996,35.714285714285715,-80.4440461308177
480,0.55,0.4,1.375,0.55,121,184.79365262391957,45.45454545454545,-396.0298154748075
480,0.5,0.35,1.4285714285714286,0.45,202,182.76552858628247,44.05940594059406,-449.9495495025585
240,0.5,0.2,2.5,0.55,37,182.50446126629004,51.35135135135135,-127.34219021843683
240,0.45,0.4,1.125,0.45,99,180.64617844861505,52.52525252525253,-313.0136223998961
360,0.55,0.15,3.666666666666667,0.55,60,179.7768540858633,36.666666666666664,-197.18183917408442
240,0.65,0.15,4.333333333333334,0.5,19,176.22115497364257,57.89473684210527,-33.98813314434028
360,0.7,0.15,4.666666666666667,0.4,54,175.85092272738711,37.03703703703704,-230.86062434814085
240,0.65,0.4,1.625,0.5,27,174.55067776464603,37.03703703703704,-83.70011250465404
360,0.6,0.4,1.4999999999999998,0.55,67,174.08051475830098,52.23880597014925,-340.6235521990543
480,0.7,0.25,2.8,0.55,58,173.83657972354285,41.37931034482759,-380.71985871931474
240,0.45,0.3,1.5,0.4,130,172.06198842363438,51.53846153846153,-402.24792897075986
240,0.55,0.2,2.75,0.55,30,171.8169324760688,53.333333333333336,-126.10228930635276
240,0.55,0.25,2.2,0.45,58,170.85293525696397,43.103448275862064,-149.7651826976694
240,0.7,0.2,3.4999999999999996,0.4,24,168.70703489240805,41.66666666666667,-91.80186362167024
480,0.6,0.25,2.4,0.55,81,168.43058523548507,37.03703703703704,-476.8679216188566
240,0.7,0.2,3.4999999999999996,0.45,15,167.65015075607516,40.0,-60.19861139510704
360,0.7,0.3,2.3333333333333335,0.5,51,161.35000905972493,50.98039215686274,-190.3012355247638
360,0.7,0.2,3.4999999999999996,0.45,50,161.1252253671346,40.0,-201.6961226414487
480,0.55,0.3,1.8333333333333335,0.55,100,160.87079995879867,45.0,-375.83543104569435
360,0.75,0.25,3.0,0.45,33,159.69439833580282,39.39393939393939,-232.6825665457186
240,0.45,0.25,1.8,0.5,84,158.38488650376758,44.047619047619044,-290.21161502541827
360,0.5,0.15,3.3333333333333335,0.55,79,156.1025282430719,37.9746835443038,-216.47138747920872
240,0.55,0.15,3.666666666666667,0.4,55,155.66516428081286,43.63636363636363,-137.0034051643879
480,0.6,0.2,2.9999999999999996,0.55,71,155.15054136284243,36.61971830985916,-274.84132047083403
240,0.75,0.3,2.5,0.5,6,154.98751226033164,50.0,-35.44292807793772
240,0.45,0.2,2.25,0.55,54,152.6169857086993,37.03703703703704,-189.71738859833158
240,0.7,0.15,4.666666666666667,0.5,12,152.4168328126616,58.333333333333336,-27.709686471241184
