retrace_sl_pct,target_offset,horizon,trades,wr,net,avg,max_dd,sl_med,tp_med,tp_hit,sl_hit,timeout,invalid_skip
1.25,100.0,90,549,29.7,282.9,0.52,-298.2,6.2,56.8,59,374,116,677
1.25,100.0,120,520,26.7,147.9,0.28,-330.8,6.2,57.7,61,374,85,706
1.25,100.0,150,505,24.2,54.4,0.11,-405.2,6.2,58.0,62,376,67,721
1.25,120.0,60,656,33.7,336.9,0.51,-277.7,6.2,71.8,55,403,198,570
1.25,120.0,90,586,29.7,486.3,0.83,-309.9,6.3,75.1,56,399,131,640
1.25,120.0,120,555,26.5,321.9,0.58,-387.8,6.3,76.4,56,400,99,671
1.25,120.0,150,539,24.1,259.2,0.48,-415.9,6.4,76.6,57,402,80,687
1.25,140.0,60,684,32.9,344.3,0.5,-243.6,6.4,90.4,45,426,213,542
1.25,140.0,90,610,28.7,492.4,0.81,-246.9,6.4,92.8,46,420,144,616
1.25,140.0,120,577,25.0,291.9,0.51,-299.8,6.4,95.0,48,423,106,649
1.25,140.0,150,558,22.2,263.6,0.47,-357.1,6.5,95.7,49,425,84,668
1.25,160.0,60,689,31.5,322.3,0.47,-265.3,6.4,110.2,28,439,222,537
1.25,160.0,90,607,26.7,508.5,0.84,-281.6,6.4,112.9,29,430,148,619
1.25,160.0,120,566,23.0,303.8,0.54,-321.0,6.4,115.7,30,426,110,660
1.25,160.0,150,544,20.2,323.4,0.59,-351.0,6.4,116.5,30,425,89,682
1.5,40.0,60,259,46.7,-51.1,-0.2,-232.8,7.1,15.1,86,122,51,967
1.5,40.0,90,249,46.2,-3.6,-0.01,-239.0,7.1,15.1,88,127,34,977
1.5,40.0,120,247,44.9,25.1,0.1,-238.8,7.1,15.2,94,128,25,979
1.5,40.0,150,246,44.3,21.7,0.09,-248.9,7.1,15.1,96,132,18,980
1.5,60.0,60,430,43.3,73.6,0.17,-284.2,7.3,24.5,107,217,106,796
1.5,60.0,90,410,42.2,99.0,0.24,-308.9,7.3,24.6,110,225,75,816
1.5,60.0,120,397,39.5,65.5,0.17,-293.8,7.3,25.5,112,226,59,829
1.5,60.0,150,389,39.1,38.1,0.1,-323.9,7.3,25.2,112,229,48,837
1.5,80.0,60,527,41.6,151.6,0.29,-284.2,7.4,37.0,92,273,162,699
1.5,80.0,90,487,37.4,153.7,0.32,-338.7,7.4,38.3,97,287,103,739
1.5,80.0,120,468,34.2,34.8,0.07,-361.6,7.4,38.8,98,293,77,758
1.5,80.0,150,454,33.0,-26.6,-0.06,-414.3,7.4,38.7,98,294,62,772
1.5,100.0,60,568,38.6,232.3,0.41,-278.8,7.4,56.0,59,309,200,658
1.5,100.0,90,512,34.2,295.9,0.58,-353.9,7.5,56.9,63,318,131,714
1.5,100.0,120,484,30.6,97.6,0.2,-418.0,7.5,57.9,64,321,99,742
1.5,100.0,150,465,28.4,12.4,0.03,-499.0,7.5,58.2,64,323,78,761
1.5,120.0,60,608,39.0,492.0,0.81,-245.1,7.5,72.7,56,328,224,618
1.5,120.0,90,538,34.6,609.7,1.13,-293.5,7.6,76.1,57,331,150,688
1.5,120.0,120,509,30.8,396.8,0.78,-397.4,7.6,76.7,59,336,114,717
1.5,120.0,150,489,28.8,324.1,0.66,-423.8,7.7,76.7,60,338,91,737
1.5,140.0,60,634,38.2,483.1,0.76,-228.7,7.6,91.2,45,346,243,592
1.5,140.0,90,560,33.4,577.8,1.03,-283.8,7.7,94.8,46,351,163,666
1.5,140.0,120,528,29.0,356.0,0.67,-341.4,7.7,96.0,48,356,124,698
1.5,140.0,150,505,26.5,313.8,0.62,-401.6,7.8,96.4,49,358,98,721
1.5,160.0,60,638,37.0,471.1,0.74,-287.3,7.7,111.1,29,357,252,588
1.5,160.0,90,555,31.5,600.5,1.08,-309.5,7.7,115.0,30,358,167,671
1.5,160.0,120,515,27.4,382.9,0.74,-346.6,7.7,116.6,31,355,129,711
1.5,160.0,150,490,24.7,352.6,0.72,-394.0,7.8,116.7,31,356,103,736
2.0,40.0,60,248,50.0,-102.5,-0.41,-314.8,9.5,14.7,89,97,62,978
2.0,40.0,90,237,50.2,-56.0,-0.24,-311.0,9.5,14.9,91,105,41,989
2.0,40.0,120,235,49.8,-26.5,-0.11,-310.8,9.5,15.1,97,108,30,991
2.0,40.0,150,234,49.1,-30.5,-0.13,-318.6,9.5,15.0,99,110,25,992
2.0,60.0,60,413,47.5,25.0,0.06,-387.5,9.7,23.8,114,166,133,813
2.0,60.0,90,390,47.4,44.5,0.11,-450.2,9.7,24.0,118,180,92,836
2.0,60.0,120,377,45.9,19.9,0.05,-449.1,9.7,24.9,119,182,76,849
2.0,60.0,150,367,45.8,8.4,0.02,-473.2,9.7,24.9,119,183,65,859
2.0,80.0,60,504,44.6,-63.6,-0.13,-465.2,9.8,37.0,91,216,197,722
2.0,80.0,90,458,41.7,-6.3,-0.01,-470.0,9.8,38.3,97,228,133,768
2.0,80.0,120,438,40.0,-31.2,-0.07,-443.4,9.8,39.1,100,233,105,788
2.0,80.0,150,420,39.5,-92.3,-0.22,-517.0,9.8,39.0,100,236,84,806
2.0,100.0,60,541,42.1,28.6,0.05,-415.7,9.8,56.1,60,241,240,685
2.0,100.0,90,479,39.2,164.7,0.34,-434.7,9.9,57.0,64,249,166,747
2.0,100.0,120,442,37.1,138.3,0.31,-383.2,9.9,58.8,65,246,131,784
2.0,100.0,150,418,35.4,38.7,0.09,-470.3,9.9,59.2,65,251,102,808
2.0,120.0,60,579,42.3,182.7,0.32,-468.3,10.0,72.9,55,258,266,647
2.0,120.0,90,504,39.5,401.5,0.8,-500.8,10.0,76.4,56,260,188,722
2.0,120.0,120,465,37.4,359.9,0.77,-506.7,10.1,77.6,59,257,149,761
2.0,120.0,150,435,36.1,340.3,0.78,-496.3,10.1,78.2,61,259,115,791
2.0,140.0,60,604,41.4,271.3,0.45,-325.9,10.1,91.4,44,274,286,622
2.0,140.0,90,525,38.1,469.7,0.89,-327.8,10.2,95.0,45,278,202,701
2.0,140.0,120,482,35.3,421.0,0.87,-308.5,10.2,96.7,47,275,160,744
2.0,140.0,150,450,33.3,413.4,0.92,-347.0,10.3,97.0,48,278,124,776
2.0,160.0,60,608,40.3,218.6,0.36,-352.7,10.2,111.2,29,282,297,618
2.0,160.0,90,519,36.4,467.3,0.9,-358.9,10.2,115.4,30,283,206,707
2.0,160.0,120,470,33.8,424.8,0.9,-322.1,10.2,117.0,31,274,165,756
2.0,160.0,150,436,31.7,432.2,0.99,-360.0,10.3,118.1,31,276,129,790
