h,tpx,slx,rr,pt,hr_mask,nt,pnl,wr,dd,n_cycles
360,0.4,0.12,3.33,0.4,29.3,578,-6.2,22.7,-753.5,27
120,0.7,0.12,5.83,0.5,1.9,15,-21.0,33.3,-156.3,21
180,0.4,0.1,4.0,0.45,14.5,367,-21.7,24.0,-594.0,26
120,0.7,0.1,7.0,0.4,1.9,23,-21.8,26.1,-158.7,21
120,0.55,0.25,2.2,0.4,4.0,51,-24.5,41.2,-220.3,26
180,0.5,0.25,2.0,0.4,8.9,135,-26.2,40.7,-495.0,26
120,0.7,0.15,4.67,0.45,1.9,17,-32.1,35.3,-146.4,21
120,0.6,0.25,2.4,0.45,3.1,33,-33.6,39.4,-249.8,21
480,0.5,0.1,5.0,0.4,26.5,528,-37.7,16.3,-931.9,27
120,0.5,0.25,2.0,0.4,5.3,97,-40.4,40.2,-379.7,26
240,0.4,0.1,4.0,0.4,19.6,524,-41.9,21.9,-805.4,27
120,0.5,0.25,2.0,0.45,5.3,84,-45.6,40.5,-423.2,26
180,0.4,0.12,3.33,0.5,14.5,307,-50.9,27.0,-635.6,26
240,0.35,0.1,3.5,0.4,25.3,624,-52.4,22.6,-962.7,27
120,0.7,0.12,5.83,0.4,1.9,22,-53.0,27.3,-188.1,21
120,0.7,0.1,7.0,0.45,1.9,20,-57.3,25.0,-176.9,21
120,0.5,0.1,5.0,0.45,5.3,122,-64.3,19.7,-312.0,26
120,0.5,0.15,3.33,0.4,5.3,115,-85.6,27.0,-388.6,26
480,0.5,0.12,4.17,0.4,26.5,468,-87.0,19.4,-957.7,27
180,0.4,0.2,2.0,0.5,14.5,238,-93.6,37.8,-670.0,26
120,0.7,0.12,5.83,0.45,1.9,20,-104.2,25.0,-219.5,21
240,0.35,0.12,2.92,0.4,25.3,555,-104.8,25.8,-984.3,27
480,0.4,0.12,3.33,0.4,36.5,655,-104.8,20.5,-984.6,27
180,0.4,0.1,4.0,0.5,14.5,342,-112.6,23.1,-746.4,26
480,0.4,0.1,4.0,0.4,36.5,735,-119.9,17.6,-1043.6,27
120,0.35,0.12,2.92,0.5,12.7,313,-146.7,30.7,-578.7,26
120,0.35,0.1,3.5,0.5,12.7,350,-158.0,26.9,-619.0,26
120,0.35,0.12,2.92,0.4,12.7,405,-168.6,30.6,-614.5,26
120,0.5,0.12,4.17,0.4,5.3,124,-192.3,23.4,-413.6,26
120,0.4,0.12,3.33,0.45,9.3,263,-203.1,27.0,-551.7,26
180,0.4,0.15,2.67,0.45,14.5,305,-212.2,30.8,-602.8,26
180,0.4,0.15,2.67,0.5,14.5,277,-212.6,30.7,-704.5,26
120,0.4,0.1,4.0,0.45,9.3,292,-233.2,22.3,-492.5,26
120,0.4,0.12,3.33,0.4,9.3,293,-234.8,28.7,-587.1,26
120,0.5,0.1,5.0,0.4,5.3,142,-239.0,19.0,-447.7,26
120,0.35,0.1,3.5,0.45,12.7,399,-258.1,27.1,-739.0,26
120,0.4,0.1,4.0,0.4,9.3,332,-406.5,22.3,-671.4,26
120,0.35,0.1,3.5,0.4,12.7,462,-475.0,26.0,-885.6,26
