
======================================================================
  GOLD v16 COMBINED (merged portfolio)
  Period: 2025-06-01 → 2026-06-25
======================================================================
  Total Trades: 912
  Net PnL     : +6906.64 pts
  Win Rate    : 53.0%
  Avg/trade   : +7.57
  Max DD      : -262.18

  By source:
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    pattern             :  332 trades  PnL=+3345.5  WR=55%  avg=+10.08
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By leg:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    energetic           :  241 trades  PnL=+729.7  WR=54%  avg=+3.03
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23
    v16_dip_short       :  221 trades  PnL=+686.3  WR=50%  avg=+3.11
    v16_momentum        :  118 trades  PnL=+2145.1  WR=50%  avg=+18.18

  By matched_pattern:
    breakthrough_long   :    5 trades  PnL=+246.8  WR=100%  avg=+49.35
    breakthrough_short  :    3 trades  PnL=+172.5  WR=100%  avg=+57.50
    downtrend_retrace   :   41 trades  PnL=+702.9  WR=63%  avg=+17.14
    reversal_fvg_long   :   71 trades  PnL=+395.5  WR=52%  avg=+5.57
    reversal_fvg_short  :   18 trades  PnL=+231.1  WR=33%  avg=+12.84
    uptrend_retrace     :  194 trades  PnL=+1596.8  WR=55%  avg=+8.23

  LONG total :  402  PnL=+3042.7  WR=54%
  SHORT total:  510  PnL=+3863.9  WR=52%

────────────────────────────────────────────────────────────
  ALL TRADES (HKT)
────────────────────────────────────────────────────────────
  entry_hkt exit_hkt  dir entry_price exit_price     pnl exit_reason            pattern
10-22 18:49    19:07 down        None       None  19.790              downtrend_retrace
10-22 20:39    21:24 down        None       None -11.300                  v16_dip_short
10-22 21:24    21:39   up        None       None  21.960                uptrend_retrace
10-22 22:19    22:39 down        None       None  35.000                  v16_dip_short
10-22 23:49    00:02   up        None       None  -9.020                   v16_momentum
10-23 00:18    06:15   up        None       None  65.030                   v16_momentum
10-23 17:02    17:05   up        None       None  -3.380                   v16_momentum
10-23 17:55    18:40 down        None       None   4.090                  v16_dip_short
10-23 22:07    23:38 down        None       None   8.110                  v16_dip_short
10-24 00:32    00:42   up        None       None  -7.650                   v16_momentum
10-24 01:38    02:24 down        None       None  -5.170                  v16_dip_short
10-24 20:52    21:07   up        None       None  25.580                uptrend_retrace
10-24 21:59    22:12   up        None       None  20.470                uptrend_retrace
10-25 01:32    06:05 down        None       None  40.580                   v16_momentum
10-27 06:08    06:14 down        None       None -25.000                      energetic
10-27 06:48    07:18 down        None       None -13.350                      energetic
10-27 16:56    17:29 down        None       None  -8.730                      energetic
10-27 18:09    19:24 down        None       None  17.320                  v16_dip_short
10-28 00:39    01:24 down        None       None  -5.120                  v16_dip_short
10-28 19:23    20:09 down        None       None  -5.510                  v16_dip_short
10-28 21:25    22:39 down        None       None -15.020                  v16_dip_short
10-29 16:01    16:22   up        None       None   5.000              reversal_fvg_long
10-29 18:24    19:09 down        None       None   3.030                  v16_dip_short
10-30 01:39    02:36 down        None       None  35.000                  v16_dip_short
10-30 12:32    12:48   up        None       None  10.790              reversal_fvg_long
10-30 17:06    17:24   up        None       None   7.160              reversal_fvg_long
10-30 20:07    20:52 down        None       None   8.180                  v16_dip_short
10-30 21:06    21:54 down        None       None -14.490                  v16_dip_short
10-31 20:23    21:08 down        None       None  -8.450                  v16_dip_short
11-04 03:54    04:39 down        None       None  -3.360                  v16_dip_short
11-04 16:23    17:08 down        None       None   4.530                  v16_dip_short
11-04 21:10    21:55 down        None       None  14.240                  v16_dip_short
11-05 21:24    22:09 down        None       None  -2.330                  v16_dip_short
11-08 00:35    01:20 down        None       None  23.450                  v16_dip_short
11-10 20:55    21:40 down        None       None   2.390                  v16_dip_short
11-10 23:22    00:08 down        None       None   3.870                  v16_dip_short
11-11 16:07    16:52 down        None       None  -0.610                  v16_dip_short
11-12 22:09    22:54 down        None       None  -6.020                  v16_dip_short
11-12 23:17    00:35 down        None       None -26.860                  v16_dip_short
11-13 16:16    16:46   up        None       None   1.400                      energetic
