pattern,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.25,1.4,0.5,305,53.0558465322506,44.26229508196721,-598.3062877452185
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.25,1.4,0.55,46,52.26133307901409,50.0,-187.12815272982516
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.2,2.75,0.45,20,51.99943492778357,40.0,-193.2935960161858
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.1,5.999999999999999,0.55,9,51.77521916347223,33.33333333333333,-29.06233269860968
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.1,6.5,0.4,15,51.30110257843853,26.666666666666668,-88.39224092368795
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.1,4.5,0.4,198,50.56630296763069,23.232323232323232,-279.31114362943254
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.3,1.1666666666666667,0.5,67,49.84815928665921,52.23880597014925,-248.2802209460733
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.3,1.8333333333333335,0.55,125,48.55893353540341,44.0,-370.6591690772175
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.1,2.9999999999999996,0.4,354,48.229130304820956,26.27118644067797,-516.6090867685339
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.1,5.5,0.55,63,48.18779422199805,23.809523809523807,-226.5601749963571
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.1,6.5,0.45,11,47.88791659230219,27.27272727272727,-68.67995439165361
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.35,1.2857142857142858,0.4,30,47.855141583891054,50.0,-131.85388271767897
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.35,1.8571428571428574,0.45,20,46.40005171649955,50.0,-145.41605254454498
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.35,1.8571428571428574,0.4,20,46.40005171649955,50.0,-145.41605254454498
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.1,3.4999999999999996,0.4,34,45.89724740621614,26.47058823529412,-76.1998235343317
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.4,1.125,0.4,30,45.81671283752439,50.0,-127.36082231521505
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.35,2.0,0.5,6,45.491029443468506,50.0,-54.335846186402705
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.1,5.5,0.45,10,45.45994527072162,30.0,-31.96638487459768
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.3,2.3333333333333335,0.5,62,44.84016616045756,46.774193548387096,-315.77737099113347
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.3,1.8333333333333335,0.45,176,44.65527593709476,42.04545454545455,-599.595772913819
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,0.55,27,44.591586353660205,37.03703703703704,-145.78010646009534
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.1,5.999999999999999,0.4,16,43.327018565736125,25.0,-59.84127041294596
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.15,4.0,0.5,16,41.16026771117504,43.75,-95.40389653164857
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.2,2.0,0.55,12,40.898720203328594,33.33333333333333,-51.274667256785506
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.15,3.666666666666667,0.45,14,39.17746121384516,35.714285714285715,-94.59360113340881
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.4,1.4999999999999998,0.45,134,37.78221516261374,47.01492537313433,-497.21155731725275
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.15,2.666666666666667,0.5,12,36.98087509977995,25.0,-42.551408320679
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.2,3.25,0.45,96,35.8447632118241,36.45833333333333,-212.10607347391942
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.1,5.5,0.4,11,35.77132729401001,27.27272727272727,-41.65500285130929
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.35,1.5714285714285716,0.5,24,35.00225140072962,50.0,-199.03189873094652
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.1,4.5,0.55,6,34.352929612997286,33.33333333333333,-14.017239483995581
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.3,2.3333333333333335,0.55,4,34.07931811036815,50.0,-3.100000000000364
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.15,3.3333333333333335,0.45,172,33.90656591342622,30.813953488372093,-358.97569492317734
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.4,1.375,0.5,23,33.23104338235498,52.17391304347826,-230.12074140679852
F30S120,30,120,-20,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,0.4,31,32.44952474314687,41.935483870967744,-142.61734620352217
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.15,4.0,0.55,15,32.32026771117535,40.0,-95.40389653164857
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.4,1.7499999999999998,0.5,6,32.226323222057545,50.0,-62.09810992731764
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.3,2.166666666666667,0.5,16,31.948962264551938,43.75,-137.50392873469355
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.1,3.4999999999999996,0.55,141,31.72510704857632,26.95035460992908,-248.11732817023494
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.1,5.999999999999999,0.5,12,29.549858302929806,25.0,-41.03331563674419
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.3,1.8333333333333335,0.5,152,28.76359076357903,43.42105263157895,-581.9107446651155
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.35,2.0,0.55,4,28.57687562987121,50.0,-3.100000000000364
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.2,3.4999999999999996,0.45,5,28.072354317301688,40.0,-48.48161867604358
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.25,2.2,0.45,20,27.84788528020772,50.0,-122.54421337924668
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,0.5,34,26.246098436904504,35.294117647058826,-173.917995226725
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.1,4.5,0.5,7,26.218906737773068,28.57142857142857,-14.017239483995581
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,0.5,44,25.59118693557548,40.909090909090914,-231.2878502152953
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.15,3.3333333333333335,0.5,135,25.077494964907146,28.888888888888886,-289.20733840436606
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.25,1.6,0.4,355,24.425408925453212,40.28169014084507,-867.013208494021
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.3,1.5,0.55,18,24.244826774193825,38.88888888888889,-81.85599675970388
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.25,2.2,0.5,129,23.874568203126273,38.759689922480625,-395.30859181876076
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.4,1.7499999999999998,0.55,4,23.07443314937518,50.0,-3.100000000000364
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.3,2.3333333333333335,0.45,8,22.7912805397973,50.0,-87.2580375705711
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.25,2.4,0.55,89,22.425396496308622,43.82022471910113,-365.6483828103492
F30S120,30,120,-20,-40,-70,-50,5,240,0.55,0.1,5.5,0.55,7,21.661530349701934,28.57142857142857,-14.017239483995581
F30S120,30,120,-20,-40,-70,-50,5,240,0.55,0.1,5.5,0.5,7,21.661530349701934,28.57142857142857,-14.017239483995581
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.1,5.0,0.4,24,21.645181304278594,25.0,-76.88369787522151
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.1,5.0,0.55,15,19.917445953426977,26.666666666666668,-71.73172169444751
F30S120,30,120,-20,-40,-70,-50,5,240,0.6,0.1,5.999999999999999,0.4,10,19.104196721308654,30.0,-19.139118054818937
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.2,2.5,0.4,40,18.554724933833768,42.5,-223.9601103807163
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.4,1.125,0.55,24,18.500247061355367,41.66666666666667,-98.03263218821667
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.25,1.2,0.55,58,18.264384823154614,51.724137931034484,-277.9903768176164
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.35,1.2857142857142858,0.45,29,18.120485680724414,48.275862068965516,-131.85388271767897
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.35,2.0,0.45,8,17.751029443468724,50.0,-86.79584618640274
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.25,1.4,0.45,65,16.522888438290465,46.15384615384615,-208.53696522563314
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.4,1.125,0.45,29,16.08205693435775,48.275862068965516,-127.36082231521505
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.1,6.999999999999999,0.55,16,15.548570832614132,25.0,-68.67676606477653
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.1,5.0,0.5,100,14.729288647731664,21.0,-260.36944533445876
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.35,1.2857142857142858,0.55,24,14.378902041847141,41.66666666666667,-108.68546635655548
F30S120,30,120,-20,-40,-70,-50,5,240,0.5,0.1,5.0,0.55,8,13.698654218658703,25.0,-21.025859225993372
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.1,2.9999999999999996,0.45,285,12.833209818320029,26.31578947368421,-390.1735973945206
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.25,2.8,0.5,45,12.36702593580776,44.44444444444444,-158.00840137780324
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.3,1.1666666666666667,0.45,29,10.656549474169879,51.724137931034484,-202.28782506532207
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.2,3.4999999999999996,0.55,4,9.43235431730136,25.0,-48.48161867604358
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.2,3.4999999999999996,0.5,4,9.43235431730136,25.0,-48.48161867604358
F30S120,30,120,-20,-40,-70,-50,5,240,0.6,0.1,5.999999999999999,0.5,8,8.782412294883216,25.0,-19.139118054818937
F30S120,30,120,-20,-40,-70,-50,5,240,0.6,0.1,5.999999999999999,0.55,8,8.782412294883216,25.0,-19.139118054818937
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.3,2.3333333333333335,0.4,11,8.666257168205448,45.45454545454545,-87.2580375705711
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.1,5.5,0.55,6,7.381134135227967,33.33333333333333,-41.085721674087836
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.25,2.2,0.5,18,7.028142906896846,50.0,-171.27670644589307
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.45,278,6.755262955121452,31.654676258992804,-485.36825962109106
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.1,5.999999999999999,0.45,14,6.750474728607969,21.428571428571427,-52.82781425007397
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.35,1.2857142857142858,0.5,28,6.570485680723323,46.42857142857143,-131.85388271767897
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.1,3.4999999999999996,0.45,28,6.270558857689593,25.0,-124.54279393905017
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.25,1.2,0.45,83,4.663014935798856,48.19277108433735,-282.9418611247165
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.4,1.625,0.55,13,4.566277706281198,46.15384615384615,-161.55263147948062
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.4,1.125,0.5,28,4.53205693435666,46.42857142857143,-127.36082231521505
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.4,1.7499999999999998,0.45,8,4.486323222057763,50.0,-94.55810992731767
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.35,1.8571428571428574,0.5,16,4.480796863153046,43.75,-145.41605254454498
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.3,1.3333333333333335,0.45,65,2.5404509542340747,49.23076923076923,-376.2285068981364
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.15,3.666666666666667,0.5,12,2.439359844235696,33.33333333333333,-94.59360113340881
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.35,2.0,0.55,44,1.766902742289858,47.72727272727273,-286.0231239884479
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,0.4,474,1.321018759143044,39.24050632911392,-742.3628404026126
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.25,1.6,0.4,65,1.1817701302907153,44.61538461538462,-294.90474143031497
F30S120,30,120,-20,-40,-70,-50,5,240,0.5,0.1,5.0,0.5,9,0.8195361638399845,22.22222222222222,-21.025859225993372
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.25,2.8,0.45,5,0.7704418862913371,40.0,-41.911318704573205
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.25,2.2,0.55,17,-0.22185709310360835,47.05882352941176,-176.83670644589347
F30S120,30,120,-20,-40,-70,-50,5,240,0.6,0.1,5.999999999999999,0.45,9,-0.8458032786911645,22.22222222222222,-19.139118054818937
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.2,2.25,0.4,296,-1.3839780973403322,36.14864864864865,-664.6364093362176
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.15,3.3333333333333335,0.45,30,-3.0345969674303888,33.33333333333333,-178.18570126833765
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.3,1.1666666666666667,0.4,81,-3.2671053019771534,51.85185185185185,-287.16380535168173
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.35,1.5714285714285716,0.45,173,-3.700474908516753,42.77456647398844,-569.6605564829229
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.1,2.9999999999999996,0.55,23,-4.646967270693494,26.08695652173913,-102.35703594145798
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.1,4.5,0.45,10,-4.93953759989472,20.0,-26.413349158073288
F30S120,30,120,-20,-40,-70,-50,5,240,0.45,0.1,4.5,0.4,10,-4.93953759989472,20.0,-26.413349158073288
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.3,1.1666666666666667,0.45,79,-5.261624101737198,50.63291139240506,-320.42531064811465
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.35,2.0,0.4,11,-5.383164490056515,45.45454545454545,-86.79584618640274
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.2,3.4999999999999996,0.4,6,-5.424906458779333,33.33333333333333,-81.9788794521246
F15S60,15,60,-10,-40,-70,-50,10,360,0.7,0.35,2.0,0.5,61,-6.334511756526354,44.26229508196721,-308.8268234861607
F60S90,60,90,-20,-40,-70,-50,5,360,0.6,0.15,4.0,0.4,23,-6.387713125560822,34.78260869565217,-153.82658713282717
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.15,3.3333333333333335,0.4,37,-6.4173889152421,35.13513513513514,-225.5695380866282
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.1,3.4999999999999996,0.4,301,-6.5766894367570785,25.249169435215947,-566.0885225165994
F30S120,30,120,-20,-40,-70,-50,5,240,0.7,0.1,6.999999999999999,0.55,1,-7.008619741997791,0.0,0.0
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,0.5,46,-7.299776741818732,36.95652173913043,-298.2047426725021
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.3,1.3333333333333335,0.4,72,-7.600967446522191,48.61111111111111,-321.95923350965313
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.25,2.8,0.5,4,-8.409558113708044,25.0,-41.911318704573205
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.25,2.8,0.55,4,-8.409558113708044,25.0,-41.911318704573205
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.1,4.5,0.4,27,-9.063273672105879,25.925925925925924,-63.80737620581567
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.1,6.999999999999999,0.45,6,-9.265750542587739,16.666666666666664,-44.81575054258701
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.1,5.0,0.5,18,-9.560282374774033,22.22222222222222,-88.48035208248803
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.4,1.625,0.5,16,-10.631823663328305,43.75,-161.55263147948062
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.4,1.375,0.45,30,-11.235235717233081,50.0,-208.03586883156913
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.15,3.666666666666667,0.55,6,-11.270555084363878,33.33333333333333,-48.689921049112854
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.5,264,-12.499499499891954,32.57575757575758,-491.85525143572886
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.15,4.666666666666667,0.5,4,-12.859736804805834,25.0,-48.40973680480511
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.2,2.25,0.55,39,-13.200290392698207,38.46153846153847,-224.68800218287834
