pattern,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.1,4.0,0.45,9,-28.2543889383478,11.11111111111111,-41.761628422343165
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.1,4.5,0.45,145,-28.915150556564186,20.689655172413794,-459.13949753478846
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.1,2.9999999999999996,0.5,220,-28.967803919013477,25.454545454545453,-378.4225321582544
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.3,1.1666666666666667,0.4,31,-29.013450525830194,51.61290322580645,-202.28782506532207
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.15,3.0,0.5,38,-29.018637949417098,34.21052631578947,-226.81982180354134
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.3,1.8333333333333335,0.55,20,-30.92263898972351,50.0,-195.29353703400102
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.25,2.4,0.45,134,-32.0239275478466,41.04477611940299,-669.868030410792
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.1,3.4999999999999996,0.55,8,-32.225803673645714,12.5,-42.738733286642855
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,0.45,45,-32.48831720211183,33.33333333333333,-295.1801438815464
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.1,6.5,0.5,7,-33.12691409094532,14.285714285714285,-62.05202912995355
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.1,5.0,0.45,20,-34.43144288871099,20.0,-88.48035208248803
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.35,1.7142857142857144,0.5,127,-34.76615720045447,41.732283464566926,-278.00635930456156
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.2,2.5,0.55,22,-35.1702302634485,36.36363636363637,-217.70016549964294
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.35,1.2857142857142858,0.45,48,-35.258460758077035,47.91666666666667,-366.738346567352
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.1,2.9999999999999996,0.45,34,-36.972249789316265,26.47058823529412,-132.16967961530827
F60S90,60,90,-20,-40,-70,-50,5,360,0.5,0.15,3.3333333333333335,0.5,25,-37.45601288155058,28.000000000000004,-165.11127848404976
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.1,5.999999999999999,0.55,55,-38.3436826923089,20.0,-226.77340610441388
F30S120,30,120,-20,-40,-70,-50,5,240,0.65,0.1,6.5,0.4,4,-38.467285328566504,0.0,-31.458665586568713
F30S120,30,120,-20,-40,-70,-50,5,240,0.65,0.1,6.5,0.55,4,-38.467285328566504,0.0,-31.458665586568713
F30S120,30,120,-20,-40,-70,-50,5,240,0.65,0.1,6.5,0.5,4,-38.467285328566504,0.0,-31.458665586568713
F30S120,30,120,-20,-40,-70,-50,5,240,0.65,0.1,6.5,0.45,4,-38.467285328566504,0.0,-31.458665586568713
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.1,6.999999999999999,0.5,4,-39.19946868639545,0.0,-36.099468686395085
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.1,6.999999999999999,0.55,4,-39.19946868639545,0.0,-36.099468686395085
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.4,1.125,0.55,38,-39.21577064527446,50.0,-417.15743534530793
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.1,3.4999999999999996,0.5,9,-39.234423415643505,11.11111111111111,-42.738733286642855
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.2,2.9999999999999996,0.5,106,-40.27375127216055,38.67924528301887,-237.73803373701094
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.15,4.666666666666667,0.45,6,-40.4618047068725,16.666666666666664,-61.484159589093
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.1,3.4999999999999996,0.5,174,-42.27833487309408,25.862068965517242,-372.09007158686927
F30S120,30,120,-20,-40,-70,-50,5,240,0.3,0.1,2.9999999999999996,0.45,13,-46.81973131091854,15.384615384615385,-48.972290506018
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.15,2.3333333333333335,0.45,54,-47.56405633210488,37.03703703703704,-326.7367506235705
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.1,4.0,0.55,7,-47.637757197064275,0.0,-47.12775719706406
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.1,4.0,0.5,7,-47.637757197064275,0.0,-47.12775719706406
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.1,3.4999999999999996,0.45,10,-47.885534124918195,10.0,-51.389843995917545
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.1,3.4999999999999996,0.5,20,-48.346731227878536,20.0,-137.502140340398
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.1,2.9999999999999996,0.4,39,-48.57062961066049,28.205128205128204,-126.50210667347073
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.25,2.2,0.45,159,-49.346016394782964,38.36477987421384,-674.3556368658487
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.2,3.25,0.45,15,-50.48123982522884,26.666666666666668,-142.38125313317505
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.15,4.666666666666667,0.55,3,-51.50973680480547,0.0,-48.40973680480511
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.1,4.0,0.45,22,-51.74791917849643,22.727272727272727,-187.31109139760702
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.3,1.5,0.4,55,-52.48436025288538,43.63636363636363,-407.883932610529
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.2,2.9999999999999996,0.45,133,-52.970234617695496,36.84210526315789,-274.27577033685657
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.35,1.142857142857143,0.5,48,-54.074075682011426,50.0,-313.4725003809499
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.1,4.5,0.5,19,-54.30620521705123,21.052631578947366,-78.10780078143307
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.1,3.4999999999999996,0.45,244,-54.96902112587759,25.0,-467.8813980191667
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.35,1.5714285714285716,0.5,144,-55.533842576258394,43.75,-584.8246837835668
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,0.4,85,-56.44521044788962,42.35294117647059,-303.1695882708136
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.4,1.4999999999999998,0.4,167,-56.77548520698929,44.91017964071856,-635.1190134085127
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.1,2.9999999999999996,0.5,28,-57.11728821705765,25.0,-146.1110750316302
F30S120,30,120,-20,-40,-70,-50,5,240,0.4,0.1,4.0,0.4,11,-58.11614457201904,9.090909090909092,-71.6233840560144
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.15,3.0,0.45,47,-59.37309413532421,31.914893617021278,-294.46762844062687
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.35,1.5714285714285716,0.55,121,-60.13535144504158,43.80165289256198,-500.28880188430094
F30S120,30,120,-20,-40,-70,-50,5,240,0.3,0.1,2.9999999999999996,0.4,17,-61.23187157953089,17.647058823529413,-73.9897512125035
F60S90,60,90,-20,-40,-70,-50,5,360,0.7,0.15,4.666666666666667,0.4,8,-61.50217319548938,12.5,-82.52452807770987
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.15,3.0,0.4,53,-61.54494080498171,32.075471698113205,-279.08212536092924
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.15,4.333333333333334,0.4,16,-64.14891968105621,25.0,-194.34300152052947
F30S120,30,120,-20,-40,-70,-50,5,240,0.35,0.1,3.4999999999999996,0.4,11,-64.61369217197262,9.090909090909092,-68.11800204297197
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.25,1.6,0.45,57,-64.66085394294305,40.35087719298245,-288.79080907571915
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.15,4.333333333333334,0.5,13,-66.43770567402407,23.076923076923077,-171.05621029778558
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.35,1.2857142857142858,0.4,55,-67.06569973704745,45.45454545454545,-398.1883465673518
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.2,1.7499999999999998,0.4,61,-68.8220952646011,36.0655737704918,-243.0664491446978
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.2,2.9999999999999996,0.55,79,-69.7809207521932,37.9746835443038,-171.65743983463744
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.2,3.25,0.4,19,-70.57921223974427,26.31578947368421,-151.3039596966214
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,0.45,51,-72.4470787731284,37.254901960784316,-329.2537976361609
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.4,1.375,0.4,36,-74.1875784467129,47.22222222222222,-285.1703903837315
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.2,2.25,0.5,47,-74.60640985934924,36.17021276595745,-255.73705714653715
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.35,1.5714285714285716,0.55,20,-76.38047889598784,50.0,-230.6566717885671
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.1,5.0,0.45,127,-76.51472914874512,20.47244094488189,-326.3922333824221
F60S90,60,90,-20,-40,-70,-50,5,360,0.35,0.1,3.4999999999999996,0.55,19,-80.4925699262867,15.789473684210526,-137.502140340398
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.55,184,-83.75588346164659,30.978260869565215,-358.4244682892763
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.2,2.5,0.45,197,-84.46397248937228,35.53299492385787,-616.6615220025719
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.1,4.0,0.4,27,-89.05809630430349,22.22222222222222,-206.21636869051054
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.35,1.142857142857143,0.4,344,-90.3659295995185,43.02325581395349,-647.3024382899503
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.2,3.25,0.5,14,-90.41123982522913,21.428571428571427,-142.38125313317505
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.1,6.5,0.45,71,-91.51247589986997,19.718309859154928,-185.70561421319508
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.15,3.0,0.45,231,-91.7190340099396,29.004329004329005,-446.5035446966249
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,0.45,77,-98.64745946057246,42.857142857142854,-316.7927335273416
F60S90,60,90,-20,-40,-70,-50,5,360,0.65,0.15,4.333333333333334,0.45,15,-102.79891968105585,20.0,-194.34300152052947
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.5,295,-103.54797464518197,38.64406779661017,-642.070363397087
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.15,2.3333333333333335,0.55,213,-111.53732469090892,31.455399061032864,-516.2998280305951
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.25,2.4,0.5,115,-113.78206498572263,42.608695652173914,-628.783306627517
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.25,1.4,0.45,349,-115.46346556360504,43.26647564469914,-835.8969909054085
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.3,1.3333333333333335,0.5,52,-115.56913243066538,46.15384615384615,-361.5469229298378
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.4,1.375,0.45,172,-117.89015650430701,43.02325581395349,-706.4190651574563
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.1,5.5,0.45,110,-118.50706876170443,18.181818181818183,-350.71494967172566
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.45,299,-119.46341592926547,37.12374581939799,-647.9604910948701
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.2,2.25,0.4,62,-119.53870746187795,33.87096774193548,-322.37307081729614
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,0.55,35,-120.02045871791643,34.285714285714285,-262.8473900694871
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.1,4.5,0.5,116,-120.45242461755606,20.689655172413794,-336.0656273189529
F60S90,60,90,-20,-40,-70,-50,5,360,0.3,0.25,1.2,0.4,99,-121.2243497124714,45.45454545454545,-308.1712554949445
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.1,5.999999999999999,0.4,110,-126.28328532621799,20.909090909090907,-323.5844143371387
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.1,4.0,0.55,15,-127.30162327308562,13.333333333333334,-157.95120305523596
F60S90,60,90,-20,-40,-70,-50,5,360,0.55,0.4,1.375,0.55,19,-127.34181464224275,47.368421052631575,-269.6633023831241
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.5,226,-129.29556549046492,31.41592920353982,-476.84168903419913
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.1,6.5,0.55,46,-131.16891119822776,15.217391304347828,-189.23765565325448
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.1,5.999999999999999,0.5,68,-131.99151577528573,19.11764705882353,-319.59458792182795
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.2,3.25,0.5,68,-133.6438084855149,32.35294117647059,-276.66988461014535
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.1,5.999999999999999,0.45,89,-134.91382413790052,20.224719101123593,-299.8380412207898
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.2,2.0,0.4,58,-134.94366062737436,34.48275862068966,-343.20416002749243
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.35,1.142857142857143,0.55,44,-141.04004819265901,47.72727272727273,-305.1444119600501
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.1,4.0,0.55,120,-149.56828847101042,22.5,-351.3914118528178
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.35,1.142857142857143,0.45,59,-151.3367742578448,45.76271186440678,-418.0454628729708
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.25,1.6,0.5,48,-154.0091470179882,37.5,-350.2259469778628
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.15,3.0,0.55,34,-160.5646892425666,29.411764705882355,-259.14202427270993
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.1,4.0,0.5,19,-163.27639448987748,10.526315789473683,-194.72225612821967
F60S90,60,90,-20,-40,-70,-50,5,360,0.45,0.2,2.25,0.45,56,-170.25944677404777,33.92857142857143,-333.40148039587984
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.15,2.666666666666667,0.4,330,-174.95547997770564,28.78787878787879,-640.8517485300599
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.2,2.25,0.5,193,-175.66644554337563,34.196891191709845,-410.0028080515294
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.35,1.7142857142857144,0.45,144,-178.3868632918702,41.66666666666667,-552.3587799368179
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.25,2.6,0.5,81,-185.8808841147661,34.5679012345679,-437.8615342248013
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.15,2.666666666666667,0.4,56,-190.33035210384287,30.357142857142854,-415.235455998235
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.35,1.7142857142857144,0.4,165,-199.67543028039108,43.03030303030303,-769.728282907286
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.3,2.0,0.45,157,-207.58662465788439,42.675159235668794,-714.8546159185012
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.3,2.166666666666667,0.55,69,-211.56857983644886,43.47826086956522,-505.62819739408815
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.15,3.3333333333333335,0.55,109,-213.95883923409292,24.770642201834864,-408.59196642569077
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.1,6.5,0.5,56,-216.70798061924188,12.5,-257.1458770453173
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,0.55,239,-217.7348630889046,38.49372384937239,-672.6126066222782
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.25,1.6,0.55,43,-223.1757552012191,37.2093023255814,-384.0144537914839
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.35,1.142857142857143,0.4,70,-225.26316897985726,47.14285714285714,-512.8218575949836
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.15,3.0,0.4,290,-230.54228201651495,29.310344827586203,-599.6072899582164
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.2,2.0,0.55,215,-231.57282924132915,34.418604651162795,-432.86592678652687
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.3,2.0,0.4,175,-235.18419449937664,41.14285714285714,-806.1221566331592
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.3,1.6666666666666667,0.4,255,-239.87179735021664,41.17647058823529,-959.8478117365567
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.1,4.5,0.55,87,-242.0296369525081,17.24137931034483,-329.87986632326556
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.2,3.25,0.55,54,-244.51802961135172,29.629629629629626,-340.2951682923567
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.1,5.0,0.4,159,-245.5449986748281,19.49685534591195,-411.321746897057
F60S90,60,90,-20,-40,-70,-50,5,360,0.4,0.3,1.3333333333333335,0.55,43,-256.8687369947356,44.18604651162791,-441.4975836802114
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.1,4.0,0.45,210,-261.53938349826876,21.428571428571427,-594.3350226938705
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.3,2.0,0.5,131,-274.7110360200022,41.221374045801525,-530.453476705909
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.2,2.25,0.55,153,-276.3988146384286,33.98692810457516,-451.20953469966116
F15S60,15,60,-10,-40,-70,-50,10,360,0.55,0.3,1.8333333333333335,0.4,200,-276.5768767920363,39.5,-680.6853440880409
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.4,1.4999999999999998,0.55,101,-289.071782606155,41.584158415841586,-416.9701366578561
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.1,4.0,0.4,265,-293.00084111634214,20.754716981132077,-691.2241982646128
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.25,2.0,0.5,165,-303.8502634036622,37.57575757575757,-806.2535851600442
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.25,2.6,0.45,102,-313.3706047063515,35.294117647058826,-480.00076198255374
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.35,1.142857142857143,0.45,291,-317.41269324592486,42.2680412371134,-749.0244604734758
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.4,1.4999999999999998,0.5,115,-319.59052805624424,42.608695652173914,-552.8959782459128
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.35,1.4285714285714286,0.4,232,-359.21702994197585,40.94827586206897,-841.7637517425851
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.25,1.2,0.55,315,-360.5303908730366,42.857142857142854,-724.2896948229586
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.25,2.0,0.4,237,-372.0686325737547,36.708860759493675,-879.518594190773
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.25,1.2,0.4,478,-387.00156980113616,42.88702928870293,-956.4432500411986
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.1,4.0,0.5,159,-391.3049979229877,20.754716981132077,-597.9281634628505
F15S60,15,60,-10,-40,-70,-50,10,360,0.65,0.25,2.6,0.55,62,-395.81514096176215,30.64516129032258,-457.84342547415054
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.35,1.142857142857143,0.5,256,-412.22785525231257,42.96875,-685.1984548896398
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.35,1.7142857142857144,0.55,104,-414.6394868809757,40.38461538461539,-522.443987171011
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.25,2.0,0.45,199,-427.3810313745835,38.19095477386934,-947.9932481624069
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.35,1.4285714285714286,0.45,202,-446.06147577312913,41.089108910891085,-857.5240446510793
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.3,1.1666666666666667,0.55,262,-464.502152812433,43.12977099236641,-750.7903693151006
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.25,1.6,0.45,303,-473.11801510557416,39.93399339933993,-973.0850060153389
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.4,1.125,0.55,170,-477.4922204087484,41.17647058823529,-794.4695975555655
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.25,1.2,0.5,372,-490.40793483565267,42.204301075268816,-807.6219892775316
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.35,1.142857142857143,0.55,217,-498.61497782190463,42.857142857142854,-700.7919511292375
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.25,1.4,0.55,250,-528.728691062096,41.199999999999996,-934.4609063381777
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.25,1.6,0.5,251,-536.1597698514515,38.24701195219124,-885.6460031196448
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.25,2.0,0.55,133,-557.56118305992,36.09022556390977,-832.3183720255402
F15S60,15,60,-10,-40,-70,-50,10,360,0.3,0.25,1.2,0.45,420,-568.1754736830758,41.42857142857143,-929.0609662414768
F15S60,15,60,-10,-40,-70,-50,10,360,0.6,0.3,2.0,0.55,108,-587.4278748547404,37.03703703703704,-711.9962571852034
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.4,1.125,0.4,293,-601.3552555792835,44.36860068259386,-1072.571799221881
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.3,1.1666666666666667,0.5,304,-608.2601116508836,42.76315789473684,-901.9748644757819
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.3,1.1666666666666667,0.4,388,-647.5278745686765,42.52577319587629,-1084.9624994145893
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.35,1.2857142857142858,0.55,172,-668.3428505962997,38.95348837209303,-885.3323947259519
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.3,1.6666666666666667,0.45,217,-678.5958020655685,39.63133640552996,-1147.0532086507292
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.3,1.3333333333333335,0.45,289,-682.722952704974,40.830449826989614,-1127.1641327511788
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.4,1.125,0.5,210,-683.159649489487,42.38095238095238,-927.2119277861434
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.25,1.8,0.55,178,-683.9183575193529,35.39325842696629,-869.2621166912891
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.4,1.125,0.45,254,-686.8034027015406,43.30708661417323,-1034.0712324399888
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.35,1.4285714285714286,0.55,148,-693.6781560019308,38.513513513513516,-841.5140994601729
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.3,1.3333333333333335,0.5,257,-703.2944990947894,40.46692607003891,-1060.9308630337518
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.35,1.4285714285714286,0.5,177,-708.4251857712065,37.85310734463277,-795.9124559302477
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.25,1.8,0.5,221,-722.8288396079506,35.74660633484163,-1082.5382158789516
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.3,1.5,0.5,211,-729.8759069971234,37.91469194312796,-916.5085197230414
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.3,1.6666666666666667,0.5,180,-742.2540233184354,38.333333333333336,-1071.429754396459
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.3,1.3333333333333335,0.55,210,-762.5049141579248,40.0,-1051.9360087828895
F15S60,15,60,-10,-40,-70,-50,10,360,0.35,0.3,1.1666666666666667,0.45,350,-774.0597393744665,42.285714285714285,-1134.250802553745
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.4,1.25,0.55,146,-775.9252772765781,41.78082191780822,-1099.0380194856193
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.4,1.25,0.5,173,-797.4324089536926,42.19653179190752,-1002.5030091906974
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.25,1.8,0.45,276,-811.9787882259739,36.95652173913043,-1229.4786688388704
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.4,1.25,0.45,204,-852.3439327136293,41.17647058823529,-990.2017530353701
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.35,1.2857142857142858,0.45,249,-876.6777098444704,40.963855421686745,-1177.3472582577929
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.25,1.8,0.4,307,-886.0378136536419,35.83061889250814,-1150.6127853459793
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.35,1.2857142857142858,0.5,213,-925.1645341857375,39.906103286384976,-1279.4539653787488
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.25,1.6,0.55,210,-953.2386557313298,36.19047619047619,-1107.3057809955308
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.4,1.25,0.4,239,-964.98928632161,41.42259414225941,-1162.2847112448753
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.3,1.5,0.55,175,-1028.817009843664,33.14285714285714,-1087.439824857276
F15S60,15,60,-10,-40,-70,-50,10,360,0.4,0.3,1.3333333333333335,0.4,344,-1037.4290359843403,39.825581395348834,-1425.403314910358
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.3,1.5,0.45,256,-1085.8775199295242,38.671875,-1250.7992546544433
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.35,1.2857142857142858,0.4,288,-1097.5130993210455,39.58333333333333,-1296.6289203196648
F15S60,15,60,-10,-40,-70,-50,10,360,0.5,0.3,1.6666666666666667,0.55,149,-1106.1269230399894,34.22818791946309,-1197.5303486429916
F15S60,15,60,-10,-40,-70,-50,10,360,0.45,0.3,1.5,0.4,290,-1309.343246968538,37.24137931034483,-1504.2547268433832
