signal_ts,entry_time,entry_price,side,exit_time,exit_reason,pnl,scaled_half,win,target_updates
2025-11-04 15:45:00+00:00,2025-11-04 15:46:00+00:00,3961.69,1,2025-11-04 15:56:00+00:00,timeout,-3.4200000000000728,False,False,0
2025-11-17 20:00:00+00:00,2025-11-17 20:01:00+00:00,4012.32,1,2025-11-17 20:08:00+00:00,trail_stop,5.0,True,True,0
2025-11-20 15:00:00+00:00,2025-11-20 15:01:00+00:00,4090.4,1,2025-11-20 15:04:00+00:00,trail_stop,5.0,True,True,0
2025-11-20 16:15:00+00:00,2025-11-20 16:16:00+00:00,4075.91,1,2025-11-20 16:26:00+00:00,timeout,-11.779999999999745,False,False,0
2025-11-20 18:45:00+00:00,2025-11-20 18:46:00+00:00,4057.53,1,2025-11-20 18:56:00+00:00,timeout,1.669999999999618,False,True,0
2025-11-25 13:45:00+00:00,2025-11-25 13:46:00+00:00,4145.8,1,2025-11-25 13:56:00+00:00,timeout,0.36999999999989086,False,True,0
2025-11-25 18:45:00+00:00,2025-11-25 18:46:00+00:00,4139.68,-1,2025-11-25 18:56:00+00:00,timeout,1.7200000000002547,False,True,0
2025-12-18 14:45:00+00:00,2025-12-18 14:46:00+00:00,4310.74,-1,2025-12-18 14:56:00+00:00,timeout,-15.699999999999818,False,False,0
2025-12-26 17:15:00+00:00,2025-12-26 17:16:00+00:00,4525.12,-1,2025-12-26 17:22:00+00:00,trail_stop,5.0,True,True,0
2025-12-29 13:45:00+00:00,2025-12-29 13:46:00+00:00,4424.87,-1,2025-12-29 13:48:00+00:00,trail_stop,5.0,True,True,0
2026-01-07 15:00:00+00:00,2026-01-07 15:01:00+00:00,4440.08,1,2026-01-07 15:11:00+00:00,timeout,-7.149999999999636,False,False,0
2026-01-09 14:30:00+00:00,2026-01-09 14:31:00+00:00,4489.12,1,2026-01-09 14:40:00+00:00,trail_stop,5.0,True,True,0
2026-01-09 18:45:00+00:00,2026-01-09 18:46:00+00:00,4498.98,1,2026-01-09 18:56:00+00:00,timeout,-2.8799999999991996,False,False,0
2026-01-21 17:30:00+00:00,2026-01-21 17:31:00+00:00,4815.93,1,2026-01-21 17:41:00+00:00,timeout,-6.030000000000655,False,False,0
2026-01-23 18:45:00+00:00,2026-01-23 18:46:00+00:00,4965.24,1,2026-01-23 18:56:00+00:00,timeout,2.9000000000005457,False,True,0
2026-01-26 16:30:00+00:00,2026-01-26 16:31:00+00:00,5078.72,-1,2026-01-26 16:32:00+00:00,trail_stop,5.0,True,True,0
2026-01-28 08:45:00+00:00,2026-01-28 08:46:00+00:00,5283.8,1,2026-01-28 08:52:00+00:00,trail_stop,5.0,True,True,0
2026-01-28 18:30:00+00:00,2026-01-28 18:31:00+00:00,5290.98,1,2026-01-28 18:39:00+00:00,stop_loss,-20.0,False,False,0
2026-01-29 15:30:00+00:00,2026-01-29 15:31:00+00:00,5225.59,-1,2026-01-29 15:31:00+00:00,stop_loss,-20.0,False,False,0
2026-01-29 19:00:00+00:00,2026-01-29 19:01:00+00:00,5328.78,1,2026-01-29 19:03:00+00:00,trail_stop,5.0,True,True,0
2026-01-29 19:30:00+00:00,2026-01-29 19:31:00+00:00,5297.31,1,2026-01-29 19:33:00+00:00,trail_stop,5.0,True,True,0
2026-01-30 09:45:00+00:00,2026-01-30 09:46:00+00:00,4967.91,1,2026-01-30 09:47:00+00:00,trail_stop,5.0,True,True,0
2026-01-30 11:45:00+00:00,2026-01-30 11:46:00+00:00,5109.6,1,2026-01-30 11:47:00+00:00,trail_stop,5.0,True,True,0
2026-01-30 12:45:00+00:00,2026-01-30 12:46:00+00:00,5101.36,1,2026-01-30 12:46:00+00:00,stop_loss,-20.0,False,False,0
