model,prob,signals,trades,wr,net,avg
logreg,0.5,1922,979,34.5,1607.9,1.64
logreg,0.52,1645,879,34.5,1625.2,1.85
logreg,0.55,1302,742,34.2,803.2,1.08
logreg,0.58,992,610,35.4,726.6,1.19
logreg,0.6,842,535,36.8,840.2,1.57
logreg,0.65,566,382,36.1,-20.3,-0.05
logreg,0.7,381,260,36.2,249.2,0.96
