rise_x,drop_x,h,tpx,slx,rr,pt,n_pat,nt,pnl,wr,dd
0.25,0.08,120,0.15,0.12,1.25,0.5,71004,1068,-773.1964643301626,35.580524344569284,-1171.6354911128565
0.25,0.08,120,0.12,0.1,1.2,0.5,71004,1476,-787.4332150665332,36.92411924119241,-1047.4009244829276
0.25,0.08,120,0.15,0.12,1.25,0.45,71004,1122,-831.2219961800333,34.58110516934047,-1074.426038357402
0.25,0.08,120,0.12,0.1,1.2,0.45,71004,1637,-940.2126235496389,36.77458766035431,-1234.9055939837908
0.25,0.08,120,0.12,0.1,1.2,0.4,71004,1779,-1057.3891118411238,36.20011242270939,-1371.2775809155692
0.25,0.08,120,0.15,0.12,1.25,0.4,71004,1200,-1143.5580907695853,33.5,-1193.9769029277845
0.25,0.08,120,0.12,0.112,1.0714285714285714,0.5,71004,1726,-1396.375687482433,37.65932792584009,-1440.256610891533
0.25,0.08,120,0.12,0.112,1.0714285714285714,0.4,71004,1927,-1527.9307159869263,37.72703684483653,-1665.3475902630626
0.25,0.08,120,0.12,0.112,1.0714285714285714,0.45,71004,1831,-1634.015483336569,37.35663571818678,-1668.9222285333026
