model,prob,signals,trades,wr,net,avg,train_secs
lgb,0.55,282,194,43.8,753.3,3.88,12.2
hgb,0.7,140,108,49.1,743.9,6.89,16.0
gbc,0.55,214,160,40.6,608.1,3.8,22.6
logreg,0.5,408,259,39.0,322.7,1.25,10.4
