entry,exit,pnl,reason,type,side,entry_price,exit_price,_leg,_prob
2024-07-02 15:00:00+00:00,2024-07-02 15:45:00+00:00,-15.0,sl,long_ret,1,8297.1,8282.1,long_ret,0.669357419013977
2024-07-05 14:15:00+00:00,2024-07-05 14:30:00+00:00,-15.0,sl,long_ret,1,8349.9,8334.9,long_ret,0.664406418800354
2024-07-08 13:45:00+00:00,2024-07-08 15:30:00+00:00,-15.0,sl,long_ret,1,8213.6,8198.6,long_ret,0.5891545414924622
2024-07-10 13:45:00+00:00,2024-07-10 14:45:00+00:00,30.0,tp,long_ret,1,8077.6,8107.6,long_ret,0.5142867565155029
2024-07-11 14:30:00+00:00,2024-07-11 15:15:00+00:00,-15.0,sl,long_ret,1,8178.8,8163.8,long_ret,0.746026337146759
2024-07-15 15:30:00+00:00,2024-07-15 15:45:00+00:00,-15.0,sl,long_ret,1,8124.2,8109.2,long_ret,0.7163229584693909
2024-07-18 13:15:00+00:00,2024-07-18 13:45:00+00:00,-15.0,sl,long_ret,1,8156.4,8141.4,long_ret,0.5576356053352356
2024-07-18 14:45:00+00:00,2024-07-18 15:15:00+00:00,30.0,tp,long_ret,1,8107.5,8137.5,long_ret,0.5752312541007996
2024-07-19 14:30:00+00:00,2024-07-19 14:45:00+00:00,-15.0,sl,long_ret,1,8089.7,8074.7,long_ret,0.5122643113136292
2024-07-22 14:00:00+00:00,2024-07-22 15:15:00+00:00,-15.0,sl,long_ret,1,7809.5,7794.5,long_ret,0.7123340368270874
2024-07-23 13:45:00+00:00,2024-07-23 14:15:00+00:00,-15.0,sl,long_ret,1,7748.1,7733.1,long_ret,0.5510545372962952
2024-07-23 16:00:00+00:00,2024-07-23 16:15:00+00:00,-15.0,sl,long_ret,1,7686.9,7671.9,long_ret,0.6133432984352112
2024-07-23 16:30:00+00:00,2024-07-23 17:00:00+00:00,30.0,tp,long_ret,1,7683.9,7713.9,long_ret,0.5075152516365051
2024-07-25 09:30:00+00:00,2024-07-25 09:45:00+00:00,-15.0,sl,long_ret,1,7638.0,7623.0,long_ret,0.538859486579895
2024-07-25 13:00:00+00:00,2024-07-25 13:45:00+00:00,-15.0,sl,long_ret,1,7663.2,7648.2,long_ret,0.7678157091140747
2024-07-25 14:00:00+00:00,2024-07-25 14:15:00+00:00,30.0,tp,long_ret,1,7660.4,7690.4,long_ret,0.6806710958480835
2024-07-26 15:30:00+00:00,2024-07-26 16:30:00+00:00,30.0,tp,long_ret,1,7657.6,7687.6,long_ret,0.6228217482566833
2024-07-29 13:15:00+00:00,2024-07-29 13:45:00+00:00,-15.0,sl,long_ret,1,7709.2,7694.2,long_ret,0.7962763905525208
2024-07-31 15:30:00+00:00,2024-07-31 16:30:00+00:00,30.0,tp,long_ret,1,7702.6,7732.6,long_ret,0.6152183413505554
2024-08-02 14:45:00+00:00,2024-08-02 15:00:00+00:00,-15.0,sl,long_ret,1,7344.9,7329.9,long_ret,0.6027392745018005
2024-08-05 07:15:00+00:00,2024-08-05 07:30:00+00:00,30.0,tp,long_ret,1,7275.3,7305.3,long_ret,0.8823166489601135
2024-08-05 09:15:00+00:00,2024-08-05 09:30:00+00:00,30.0,tp,long_ret,1,7146.3,7176.3,long_ret,0.5403562784194946
2024-08-05 10:00:00+00:00,2024-08-05 10:45:00+00:00,30.0,tp,long_ret,1,7169.5,7199.5,long_ret,0.8475884199142456
2024-08-05 12:15:00+00:00,2024-08-05 12:30:00+00:00,-15.0,sl,long_ret,1,7194.2,7179.2,long_ret,0.7599033713340759
2024-08-05 14:30:00+00:00,2024-08-05 14:45:00+00:00,-15.0,sl,long_ret,1,7268.7,7253.7,long_ret,0.6432211399078369
2024-08-05 15:00:00+00:00,2024-08-05 15:15:00+00:00,-15.0,sl,long_ret,1,7297.1,7282.1,long_ret,0.7727169990539551
2024-08-06 13:30:00+00:00,2024-08-06 13:45:00+00:00,30.0,tp,long_ret,1,7251.5,7281.5,long_ret,0.8265649676322937
2024-08-06 14:00:00+00:00,2024-08-06 14:15:00+00:00,-15.0,sl,long_ret,1,7308.2,7293.2,long_ret,0.7846857905387878
2024-08-06 14:30:00+00:00,2024-08-06 14:45:00+00:00,-15.0,sl,long_ret,1,7334.5,7319.5,long_ret,0.715118408203125
2024-08-07 14:15:00+00:00,2024-08-07 14:30:00+00:00,30.0,tp,long_ret,1,7397.7,7427.7,long_ret,0.5529295206069946
2024-08-09 14:00:00+00:00,2024-08-09 16:15:00+00:00,30.0,tp,long_ret,1,7545.5,7575.5,long_ret,0.6352329254150391
2024-08-16 12:00:00+00:00,2024-08-16 12:45:00+00:00,30.0,tp,long_ret,1,7516.3,7546.3,long_ret,0.8393719792366028
2024-08-16 13:15:00+00:00,2024-08-16 13:45:00+00:00,30.0,tp,long_ret,1,7571.0,7601.0,long_ret,0.5603483319282532
2024-08-16 15:15:00+00:00,2024-08-16 15:30:00+00:00,-15.0,sl,long_ret,1,7579.9,7564.9,long_ret,0.6280096173286438
2024-08-20 08:30:00+00:00,2024-08-20 09:15:00+00:00,-15.0,sl,long_ret,1,7300.1,7285.1,long_ret,0.5910252332687378
2024-08-21 15:30:00+00:00,2024-08-21 15:45:00+00:00,-15.0,sl,long_ret,1,7324.2,7309.2,long_ret,0.698154628276825
2024-08-21 16:15:00+00:00,2024-08-21 16:30:00+00:00,-15.0,sl,long_ret,1,7233.3,7218.3,long_ret,0.8028244972229004
2024-08-29 15:45:00+00:00,2024-08-29 16:30:00+00:00,-15.0,sl,long_ret,1,7534.2,7519.2,long_ret,0.6694579720497131
2024-08-30 14:00:00+00:00,2024-08-30 14:30:00+00:00,-15.0,sl,long_ret,1,7361.9,7346.9,long_ret,0.6017248630523682
2024-09-03 08:15:00+00:00,2024-09-03 08:30:00+00:00,-15.0,sl,long_ret,1,7327.6,7312.6,long_ret,0.6347752213478088
2024-09-04 08:00:00+00:00,2024-09-04 08:30:00+00:00,30.0,tp,long_ret,1,6924.9,6954.9,long_ret,0.5938313603401184
2024-09-04 15:30:00+00:00,2024-09-04 15:45:00+00:00,-15.0,sl,long_ret,1,6959.4,6944.4,long_ret,0.5099596977233887
2024-09-09 14:15:00+00:00,2024-09-09 14:30:00+00:00,30.0,tp,long_ret,1,6769.6,6799.6,long_ret,0.7313936352729797
2024-09-09 14:45:00+00:00,2024-09-09 15:00:00+00:00,-15.0,sl,long_ret,1,6798.2,6783.2,long_ret,0.6383633613586426
2024-09-09 15:30:00+00:00,2024-09-09 15:45:00+00:00,-15.0,sl,long_ret,1,6787.8,6772.8,long_ret,0.6908991932868958
2024-09-09 16:00:00+00:00,2024-09-09 16:30:00+00:00,30.0,tp,long_ret,1,6795.4,6825.4,long_ret,0.5225300788879395
2024-09-10 09:30:00+00:00,2024-09-10 09:45:00+00:00,-15.0,sl,long_ret,1,6745.9,6730.9,long_ret,0.8130576014518738
2024-09-10 12:45:00+00:00,2024-09-10 13:15:00+00:00,30.0,tp,long_ret,1,6777.2,6807.2,long_ret,0.7030875086784363
2024-09-10 16:00:00+00:00,2024-09-10 16:15:00+00:00,-15.0,sl,long_ret,1,6524.5,6509.5,long_ret,0.8850486278533936
2024-09-11 15:45:00+00:00,2024-09-11 16:00:00+00:00,-15.0,sl,long_ret,1,6675.6,6660.6,long_ret,0.7046951055526733
2024-09-13 13:30:00+00:00,2024-09-13 13:45:00+00:00,30.0,tp,long_ret,1,6896.8,6926.8,long_ret,0.7918151021003723
2024-09-16 11:15:00+00:00,2024-09-16 12:30:00+00:00,-15.0,sl,long_ret,1,6841.0,6826.0,long_ret,0.6626613140106201
2024-09-17 12:45:00+00:00,2024-09-17 13:00:00+00:00,-15.0,sl,long_ret,1,6926.3,6911.3,long_ret,0.7437011003494263
2024-09-19 14:15:00+00:00,2024-09-19 14:30:00+00:00,-15.0,sl,long_ret,1,7078.0,7063.0,long_ret,0.7771798968315125
2024-09-19 15:00:00+00:00,2024-09-19 15:15:00+00:00,30.0,tp,long_ret,1,7078.9,7108.9,long_ret,0.8230704665184021
2024-09-20 14:15:00+00:00,2024-09-20 15:00:00+00:00,30.0,tp,long_ret,1,7074.1,7104.1,long_ret,0.8600030541419983
2024-09-23 07:30:00+00:00,2024-09-23 08:15:00+00:00,-15.0,sl,long_ret,1,7106.5,7091.5,long_ret,0.690415620803833
2024-09-23 16:45:00+00:00,2024-09-23 17:15:00+00:00,30.0,tp,long_ret,1,6991.9,7021.9,long_ret,0.5265561938285828
2024-09-24 15:15:00+00:00,2024-09-24 15:30:00+00:00,-15.0,sl,long_ret,1,7132.8,7117.8,long_ret,0.7007336616516113
2024-09-24 15:45:00+00:00,2024-09-24 16:00:00+00:00,-15.0,sl,long_ret,1,7139.2,7124.2,long_ret,0.8011760711669922
2024-09-26 07:45:00+00:00,2024-09-26 08:15:00+00:00,-15.0,sl,long_ret,1,6811.6,6796.6,long_ret,0.5103597044944763
2024-10-02 08:45:00+00:00,2024-10-02 09:30:00+00:00,30.0,tp,long_ret,1,7134.3,7164.3,long_ret,0.5385874509811401
2024-10-02 16:00:00+00:00,2024-10-02 17:00:00+00:00,-15.0,sl,long_ret,1,6997.0,6982.0,long_ret,0.5620360970497131
2024-10-03 10:00:00+00:00,2024-10-03 11:00:00+00:00,30.0,tp,long_ret,1,7135.7,7165.7,long_ret,0.5196750164031982
2024-10-03 12:30:00+00:00,2024-10-03 13:00:00+00:00,30.0,tp,long_ret,1,7143.0,7173.0,long_ret,0.5798781514167786
2024-10-04 14:00:00+00:00,2024-10-04 14:30:00+00:00,-15.0,sl,long_ret,1,7415.3,7400.3,long_ret,0.6134106516838074
2024-10-09 07:45:00+00:00,2024-10-09 08:00:00+00:00,-15.0,sl,long_ret,1,7372.3,7357.3,long_ret,0.6652939915657043
2024-10-09 14:30:00+00:00,2024-10-09 14:45:00+00:00,30.0,tp,long_ret,1,7193.8,7223.8,long_ret,0.5913561582565308
2024-10-09 15:00:00+00:00,2024-10-09 15:15:00+00:00,-15.0,sl,long_ret,1,7274.5,7259.5,long_ret,0.522169291973114
2024-10-09 15:30:00+00:00,2024-10-09 15:45:00+00:00,-15.0,sl,long_ret,1,7294.5,7279.5,long_ret,0.5770707726478577
2024-10-09 16:45:00+00:00,2024-10-09 17:00:00+00:00,-15.0,sl,long_ret,1,7259.8,7244.8,long_ret,0.5137547254562378
2024-10-10 13:15:00+00:00,2024-10-10 13:30:00+00:00,-15.0,sl,long_ret,1,7385.9,7370.9,long_ret,0.5170013904571533
2024-10-10 13:45:00+00:00,2024-10-10 14:00:00+00:00,-15.0,sl,long_ret,1,7382.8,7367.8,long_ret,0.6454571485519409
2024-10-11 07:30:00+00:00,2024-10-11 08:15:00+00:00,30.0,tp,long_ret,1,7458.8,7488.8,long_ret,0.793660581111908
2024-10-11 09:15:00+00:00,2024-10-11 10:00:00+00:00,-15.0,sl,long_ret,1,7479.0,7464.0,long_ret,0.6057286858558655
2024-10-11 13:30:00+00:00,2024-10-11 13:45:00+00:00,-15.0,sl,long_ret,1,7496.3,7481.3,long_ret,0.8189910054206848
2024-10-14 13:00:00+00:00,2024-10-14 13:30:00+00:00,30.0,tp,long_ret,1,7358.7,7388.7,long_ret,0.7268058657646179
2024-10-15 08:15:00+00:00,2024-10-15 08:30:00+00:00,-15.0,sl,long_ret,1,7033.5,7018.5,long_ret,0.6112418174743652
2024-10-15 10:00:00+00:00,2024-10-15 10:15:00+00:00,-15.0,sl,long_ret,1,6968.7,6953.7,long_ret,0.7723165154457092
2024-10-15 10:45:00+00:00,2024-10-15 11:15:00+00:00,30.0,tp,long_ret,1,6983.9,7013.9,long_ret,0.8195924162864685
2024-10-15 16:00:00+00:00,2024-10-15 16:15:00+00:00,30.0,tp,long_ret,1,6966.7,6996.7,long_ret,0.7760828137397766
2024-10-16 15:45:00+00:00,2024-10-16 18:30:00+00:00,-2.0,ny_close,long_ret,1,6994.2,6992.2,long_ret,0.6168527007102966
2024-10-17 13:30:00+00:00,2024-10-17 13:45:00+00:00,30.0,tp,long_ret,1,6998.7,7028.7,long_ret,0.6186330914497375
2024-10-18 15:30:00+00:00,2024-10-18 16:00:00+00:00,30.0,tp,long_ret,1,6853.5,6883.5,long_ret,0.7164592146873474
2024-10-22 13:15:00+00:00,2024-10-22 13:30:00+00:00,-15.0,sl,long_ret,1,7069.0,7054.0,long_ret,0.6708078980445862
2024-10-22 15:00:00+00:00,2024-10-22 15:30:00+00:00,30.0,tp,long_ret,1,7153.8,7183.8,long_ret,0.590465784072876
2024-10-23 13:00:00+00:00,2024-10-23 13:15:00+00:00,-15.0,sl,long_ret,1,7095.5,7080.5,long_ret,0.609265923500061
2024-10-23 13:30:00+00:00,2024-10-23 14:15:00+00:00,30.0,tp,long_ret,1,7114.5,7144.5,long_ret,0.7694427371025085
2024-10-23 15:30:00+00:00,2024-10-23 15:45:00+00:00,-15.0,sl,long_ret,1,7083.5,7068.5,long_ret,0.5035592913627625
2024-10-24 12:00:00+00:00,2024-10-24 13:00:00+00:00,-15.0,sl,long_ret,1,7120.2,7105.2,long_ret,0.664262592792511
2024-10-24 16:15:00+00:00,2024-10-24 16:30:00+00:00,-15.0,sl,long_ret,1,7016.4,7001.4,long_ret,0.6810354590415955
2024-10-28 13:30:00+00:00,2024-10-28 13:45:00+00:00,30.0,tp,long_ret,1,6750.6,6780.6,long_ret,0.7620202302932739
2024-10-28 14:30:00+00:00,2024-10-28 14:45:00+00:00,30.0,tp,long_ret,1,6770.1,6800.1,long_ret,0.731385350227356
2024-10-30 13:45:00+00:00,2024-10-30 15:00:00+00:00,30.0,tp,long_ret,1,6803.1,6833.1,long_ret,0.5715600848197937
