timestamp,open,high,low,close,regime
2026-04-07 11:00:00+00:00,4652.54,4664.65,4628.57,4659.52,1
2026-04-07 12:00:00+00:00,4659.72,4671.07,4646.59,4652.12,1
2026-04-07 13:00:00+00:00,4652.43,4663.74,4635.29,4644.59,1
2026-04-07 14:00:00+00:00,4644.46,4661.92,4607.49,4633.69,2
2026-04-07 15:00:00+00:00,4633.61,4659.26,4624.82,4655.76,1
2026-04-07 16:00:00+00:00,4655.94,4669.11,4652.25,4657.27,1
2026-04-07 17:00:00+00:00,4657.31,4686.54,4654.04,4676.31,1
2026-04-07 18:00:00+00:00,4676.29,4686.58,4657.9,4662.71,1
2026-04-07 19:00:00+00:00,4663.13,4719.16,4661.04,4700.54,2
2026-04-07 20:00:00+00:00,4700.62,4716.66,4697.58,4706.48,1
2026-04-07 22:00:00+00:00,4745.23,4819.88,4713.83,4818.0,2
2026-04-07 23:00:00+00:00,4817.96,4836.4,4801.99,4833.3,2
2026-04-08 00:00:00+00:00,4833.31,4858.27,4808.79,4817.5,2
2026-04-08 01:00:00+00:00,4817.59,4825.98,4787.88,4810.48,1
2026-04-08 02:00:00+00:00,4810.44,4825.69,4798.77,4804.17,1
2026-04-08 03:00:00+00:00,4804.18,4806.23,4795.19,4797.73,1
2026-04-08 04:00:00+00:00,4797.96,4806.87,4789.85,4803.98,1
2026-04-08 05:00:00+00:00,4803.98,4843.69,4800.64,4827.61,2
2026-04-08 06:00:00+00:00,4827.55,4840.0,4819.85,4820.27,1
2026-04-08 07:00:00+00:00,4820.45,4821.3,4805.04,4813.71,1
2026-04-08 08:00:00+00:00,4813.76,4820.03,4790.39,4793.84,1
2026-04-08 09:00:00+00:00,4793.81,4807.1,4776.19,4783.46,1
2026-04-08 10:00:00+00:00,4783.39,4796.44,4771.38,4782.81,1
2026-04-08 11:00:00+00:00,4782.76,4802.74,4777.87,4798.96,1
2026-04-08 12:00:00+00:00,4798.63,4807.5,4769.08,4799.42,1
2026-04-08 13:00:00+00:00,4799.48,4806.74,4767.31,4777.72,2
2026-04-08 14:00:00+00:00,4777.31,4792.01,4732.65,4736.15,2
2026-04-08 15:00:00+00:00,4736.18,4763.33,4734.54,4756.56,1
2026-04-08 16:00:00+00:00,4756.48,4766.02,4745.35,4760.28,1
2026-04-08 17:00:00+00:00,4760.19,4764.72,4731.75,4733.77,2
2026-04-08 18:00:00+00:00,4733.81,4744.79,4703.88,4705.66,2
2026-04-08 19:00:00+00:00,4705.35,4732.05,4699.36,4730.77,1
2026-04-08 20:00:00+00:00,4730.72,4732.56,4714.58,4721.06,1
2026-04-08 22:00:00+00:00,4725.32,4733.55,4704.92,4717.83,1
2026-04-08 23:00:00+00:00,4717.73,4720.29,4705.3,4716.21,1
2026-04-09 00:00:00+00:00,4716.25,4719.42,4698.28,4706.83,1
2026-04-09 01:00:00+00:00,4706.67,4728.65,4699.33,4727.37,1
2026-04-09 02:00:00+00:00,4727.35,4733.15,4717.43,4719.42,1
2026-04-09 03:00:00+00:00,4719.38,4720.65,4705.61,4711.68,1
2026-04-09 04:00:00+00:00,4711.75,4725.33,4709.83,4721.13,1
2026-04-09 05:00:00+00:00,4721.22,4726.97,4706.0,4713.27,1
2026-04-09 06:00:00+00:00,4713.33,4725.5,4703.54,4712.72,1
2026-04-09 07:00:00+00:00,4712.89,4731.42,4705.77,4724.5,1
2026-04-09 08:00:00+00:00,4725.15,4733.27,4719.86,4726.49,0
2026-04-09 09:00:00+00:00,4726.52,4733.58,4723.2,4729.27,0
2026-04-09 10:00:00+00:00,4729.31,4746.94,4724.4,4741.19,1
2026-04-09 11:00:00+00:00,4741.0,4757.65,4738.63,4756.68,1
2026-04-09 12:00:00+00:00,4756.85,4759.79,4734.9,4745.97,1
2026-04-09 13:00:00+00:00,4745.88,4777.42,4738.71,4764.51,1
2026-04-09 14:00:00+00:00,4764.56,4776.47,4747.62,4768.51,1
2026-04-09 15:00:00+00:00,4768.75,4797.95,4761.38,4792.73,1
2026-04-09 16:00:00+00:00,4792.75,4801.15,4784.24,4788.93,1
2026-04-09 17:00:00+00:00,4788.96,4801.43,4786.79,4797.88,1
2026-04-09 18:00:00+00:00,4797.86,4798.29,4768.08,4772.43,1
2026-04-09 19:00:00+00:00,4772.59,4782.74,4766.92,4769.16,0
2026-04-09 20:00:00+00:00,4769.37,4773.67,4761.09,4766.39,0
2026-04-09 22:00:00+00:00,4779.9,4780.4,4758.48,4764.69,1
2026-04-09 23:00:00+00:00,4764.72,4764.74,4756.63,4763.79,0
2026-04-10 00:00:00+00:00,4763.58,4763.77,4750.75,4763.18,0
2026-04-10 01:00:00+00:00,4763.42,4777.33,4757.98,4764.77,1
2026-04-10 02:00:00+00:00,4764.92,4765.9,4737.6,4753.54,1
2026-04-10 03:00:00+00:00,4753.52,4769.59,4753.08,4766.48,1
2026-04-10 04:00:00+00:00,4766.48,4771.17,4757.71,4759.13,0
2026-04-10 05:00:00+00:00,4759.2,4769.72,4757.04,4766.05,0
2026-04-10 06:00:00+00:00,4766.12,4766.16,4743.14,4746.63,1
2026-04-10 07:00:00+00:00,4746.29,4757.52,4741.23,4749.75,1
2026-04-10 08:00:00+00:00,4749.77,4753.53,4730.65,4741.13,1
2026-04-10 09:00:00+00:00,4741.3,4760.79,4740.54,4751.83,1
2026-04-10 10:00:00+00:00,4751.84,4760.7,4742.49,4757.36,1
2026-04-10 11:00:00+00:00,4757.31,4769.13,4753.48,4768.45,1
2026-04-10 12:00:00+00:00,4768.47,4782.44,4760.06,4772.06,1
2026-04-10 13:00:00+00:00,4771.41,4780.1,4765.43,4775.73,1
2026-04-10 14:00:00+00:00,4775.5,4795.24,4767.5,4774.99,1
2026-04-10 15:00:00+00:00,4775.18,4787.55,4755.33,4762.52,1
2026-04-10 16:00:00+00:00,4762.32,4766.28,4747.52,4764.0,1
2026-04-10 17:00:00+00:00,4764.16,4768.75,4758.39,4760.51,0
2026-04-10 18:00:00+00:00,4760.67,4773.38,4751.01,4765.28,1
2026-04-10 19:00:00+00:00,4765.32,4770.71,4758.35,4759.96,1
2026-04-10 20:00:00+00:00,4760.35,4760.5,4741.09,4749.28,1
2026-04-12 22:00:00+00:00,4669.47,4685.52,4644.14,4659.38,2
2026-04-12 23:00:00+00:00,4659.37,4671.88,4644.44,4671.57,1
2026-04-13 00:00:00+00:00,4671.54,4698.87,4664.79,4695.26,1
2026-04-13 01:00:00+00:00,4695.33,4728.62,4693.56,4721.0,1
2026-04-13 02:00:00+00:00,4720.98,4727.69,4711.06,4720.13,0
2026-04-13 03:00:00+00:00,4720.12,4724.14,4712.5,4717.77,0
2026-04-13 04:00:00+00:00,4717.79,4724.56,4708.17,4722.87,0
2026-04-13 05:00:00+00:00,4722.88,4731.17,4716.65,4729.83,0
2026-04-13 06:00:00+00:00,4729.86,4733.02,4720.65,4725.75,0
2026-04-13 07:00:00+00:00,4725.89,4740.16,4724.9,4733.87,0
2026-04-13 08:00:00+00:00,4733.9,4738.65,4720.21,4723.45,1
2026-04-13 09:00:00+00:00,4723.51,4729.08,4710.82,4714.89,1
2026-04-13 10:00:00+00:00,4714.96,4723.98,4708.3,4722.37,1
2026-04-13 11:00:00+00:00,4722.3,4729.12,4703.38,4707.0,1
2026-04-13 12:00:00+00:00,4707.1,4725.24,4703.54,4723.5,1
2026-04-13 13:00:00+00:00,4723.37,4745.04,4721.44,4730.71,1
2026-04-13 14:00:00+00:00,4730.7,4731.83,4708.92,4719.14,1
2026-04-13 15:00:00+00:00,4719.09,4720.0,4700.1,4714.75,1
2026-04-13 16:00:00+00:00,4714.96,4746.69,4709.5,4733.15,1
2026-04-13 17:00:00+00:00,4733.17,4750.19,4725.65,4730.18,1
2026-04-13 18:00:00+00:00,4730.32,4741.26,4723.47,4738.66,1
2026-04-13 19:00:00+00:00,4738.55,4747.83,4730.52,4741.4,0
2026-04-13 20:00:00+00:00,4741.47,4744.46,4738.15,4742.29,0
2026-04-13 22:00:00+00:00,4750.71,4760.03,4745.12,4758.52,0
2026-04-13 23:00:00+00:00,4758.48,4766.28,4754.53,4757.83,0
2026-04-14 00:00:00+00:00,4758.08,4776.46,4751.87,4770.37,1
2026-04-14 01:00:00+00:00,4770.27,4777.38,4761.78,4764.94,0
2026-04-14 02:00:00+00:00,4764.75,4777.6,4762.39,4775.17,0
2026-04-14 03:00:00+00:00,4775.13,4776.11,4766.04,4768.62,0
2026-04-14 04:00:00+00:00,4768.47,4776.85,4767.12,4774.71,0
2026-04-14 05:00:00+00:00,4774.71,4774.85,4758.62,4760.52,1
2026-04-14 06:00:00+00:00,4760.66,4783.12,4760.4,4782.33,1
2026-04-14 07:00:00+00:00,4782.35,4796.88,4767.44,4777.49,1
2026-04-14 08:00:00+00:00,4777.16,4790.02,4774.45,4786.78,1
2026-04-14 09:00:00+00:00,4786.81,4789.38,4771.77,4778.9,1
2026-04-14 10:00:00+00:00,4778.55,4788.06,4752.06,4768.73,1
2026-04-14 11:00:00+00:00,4768.63,4783.08,4766.6,4775.42,1
