model,prob,signals,trades,wr,net,avg,train_secs
lgb,0.5,500,431,53.6,3462.8,8.03,11.4
hgb,0.5,467,407,55.5,3411.6,8.38,14.6
logreg,0.5,547,456,52.6,3408.8,7.48,9.4
gbc,0.52,450,391,56.3,3396.0,8.69,21.3
