h,dx,rx,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
240,0.3,0.15,0.25,0.12,2.0833333333333335,27603,6669,24.160417345940658,23.309489756798573,11.188555083263315,6669
120,0.3,0.1,0.25,0.15,1.6666666666666667,33002,6621,20.0624204593661,23.36123907218659,14.01674344331195,6621
240,0.3,0.2,0.25,0.2,1.25,21600,6610,30.60185185185185,23.417386088325625,18.7339088706605,6610
240,0.3,0.1,0.35,0.15,2.3333333333333335,33002,6596,19.986667474698503,32.70573470106122,14.01674344331195,6596
240,0.3,0.15,0.3,0.15,2.0,27603,6583,23.8488570082962,27.971387708158282,13.985693854079141,6583
480,0.3,0.1,0.35,0.12,2.9166666666666665,33002,6567,19.898794012484093,32.70573470106122,11.213394754649562,6567
360,0.3,0.15,0.35,0.15,2.3333333333333335,27603,6561,23.7691555265732,32.633285659517995,13.985693854079141,6561
360,0.3,0.1,0.35,0.12,2.9166666666666665,33002,6548,19.84122174413672,32.70573470106122,11.213394754649562,6548
480,0.3,0.15,0.2,0.12,1.6666666666666667,27603,6512,23.591638590008333,18.64759180543886,11.188555083263315,6512
360,0.3,0.2,0.3,0.2,1.4999999999999998,21600,6487,30.03240740740741,28.100863305990746,18.7339088706605,6487
120,0.3,0.2,0.2,0.2,1.0,21600,6409,29.671296296296294,18.7339088706605,18.7339088706605,6409
480,0.3,0.1,0.2,0.1,2.0,33002,6410,19.423065268771587,18.688991257749272,9.344495628874636,6409
360,0.3,0.1,0.3,0.1,2.9999999999999996,33002,6365,19.286709896369917,28.0334868866239,9.344495628874636,6365
240,0.3,0.1,0.3,0.1,2.9999999999999996,33002,6314,19.13217380764802,28.0334868866239,9.344495628874636,6313
480,0.3,0.15,0.25,0.12,2.0833333333333335,27603,6265,22.69680831793646,23.309489756798573,11.188555083263315,6265
120,0.3,0.15,0.2,0.1,2.0,27603,6248,22.635220809332317,18.64759180543886,9.32379590271943,6248
480,0.3,0.1,0.25,0.1,2.5,33002,6235,18.89279437609842,23.36123907218659,9.344495628874636,6235
360,0.3,0.15,0.2,0.1,2.0,27603,6213,22.508422997500272,18.64759180543886,9.32379590271943,6213
480,0.3,0.2,0.35,0.2,1.7499999999999998,21600,6209,28.74537037037037,32.78434052365587,18.7339088706605,6209
360,0.3,0.2,0.25,0.15,1.6666666666666667,21600,6197,28.689814814814813,23.417386088325625,14.050431652995373,6197
360,0.3,0.15,0.3,0.12,2.5,27603,6191,22.42872151577727,27.971387708158282,11.188555083263315,6191
480,0.3,0.2,0.2,0.15,1.3333333333333335,21600,6179,28.60648148148148,18.7339088706605,14.050431652995373,6179
480,0.3,0.15,0.4,0.15,2.666666666666667,27603,6172,22.35988841792559,37.29518361087772,13.985693854079141,6172
240,0.3,0.1,0.4,0.2,2.0,33002,6143,18.614023392521663,37.377982515498545,18.688991257749272,6142
240,0.3,0.15,0.35,0.2,1.7499999999999998,27603,6132,22.214976632974675,32.633285659517995,18.64759180543886,6132
480,0.3,0.1,0.4,0.12,3.3333333333333335,33002,6054,18.344342767105022,37.377982515498545,11.213394754649562,6054
120,0.3,0.15,0.25,0.2,1.25,27603,6051,21.921530268449082,23.309489756798573,18.64759180543886,6051
480,0.3,0.1,0.3,0.1,2.9999999999999996,33002,6004,18.192836797769832,28.0334868866239,9.344495628874636,6004
120,0.3,0.1,0.25,0.12,2.0833333333333335,33002,5990,18.15041512635598,23.36123907218659,11.213394754649562,5990
480,0.3,0.15,0.3,0.12,2.5,27603,5961,21.595478752309532,27.971387708158282,11.188555083263315,5961
240,0.3,0.15,0.25,0.1,2.5,27603,5942,21.526645654457848,23.309489756798573,9.32379590271943,5942
240,0.3,0.1,0.35,0.12,2.9166666666666665,33002,5905,17.892854978486152,32.70573470106122,11.213394754649562,5905
240,0.3,0.15,0.3,0.12,2.5,27603,5878,21.294786798536393,27.971387708158282,11.188555083263315,5878
480,0.3,0.2,0.25,0.15,1.6666666666666667,21600,5855,27.10648148148148,23.417386088325625,14.050431652995373,5855
240,0.3,0.2,0.2,0.12,1.6666666666666667,21600,5846,27.064814814814813,18.7339088706605,11.2403453223963,5846
360,0.3,0.1,0.4,0.12,3.3333333333333335,33002,5838,17.689836979576995,37.377982515498545,11.213394754649562,5838
