dx,rx,tpx,slx,rr,pt,n_pat,nt,pnl,wr,dd
0.4,0.12,0.7,0.3,2.3333333333333335,0.45,19149,57,-14.920169040723067,36.84210526315789,-345.8613631510925
0.3,0.12,0.6,0.3,2.0,0.5,32746,143,-15.50900149577592,34.96503496503497,-372.5737551147031
0.4,0.15,0.7,0.25,2.8,0.45,17244,57,-19.54438987274034,35.08771929824561,-299.61575157297466
0.4,0.1,0.55,0.4,1.375,0.5,20155,93,-19.565159373706138,43.01075268817204,-512.7799369808536
0.5,0.1,0.65,0.25,2.6,0.5,11678,33,-19.602964859497206,39.39393939393939,-242.28788786216637
0.4,0.12,0.65,0.35,1.8571428571428574,0.5,19149,62,-19.82197613247945,41.935483870967744,-271.88585856596137
0.4,0.15,0.6,0.35,1.7142857142857144,0.5,17244,68,-26.758779483442595,41.17647058823529,-400.0999833732644
0.3,0.12,0.55,0.35,1.5714285714285716,0.5,32746,149,-27.013522039689633,38.92617449664429,-352.9301559564924
0.3,0.15,0.55,0.4,1.375,0.45,28636,134,-29.121711058850906,38.80597014925373,-364.54245791130234
0.3,0.1,0.65,0.35,1.8571428571428574,0.5,35476,119,-41.511704867451044,41.17647058823529,-510.14340594721125
0.4,0.15,0.55,0.3,1.8333333333333335,0.5,17244,80,-48.99364469809143,38.75,-282.3911577267795
0.3,0.12,0.6,0.3,2.0,0.45,32746,159,-55.10308361789703,35.22012578616352,-390.46350688870007
0.5,0.12,0.7,0.25,2.8,0.5,11205,35,-55.84087219941421,34.285714285714285,-215.92175244592545
0.5,0.15,0.65,0.25,2.6,0.5,10282,35,-56.513702262840525,31.428571428571427,-212.73791329809774
0.4,0.12,0.65,0.25,2.6,0.5,19149,71,-59.7793429938215,32.3943661971831,-306.94518448927647
0.5,0.15,0.65,0.25,2.6,0.45,10282,38,-60.054899798415136,34.21052631578947,-212.41791329809803
0.5,0.15,0.65,0.3,2.166666666666667,0.45,10282,35,-61.03235796919989,40.0,-282.5144209441405
0.4,0.12,0.7,0.3,2.3333333333333335,0.5,19149,55,-62.24016904072505,34.54545454545455,-331.13136315109296
0.5,0.1,0.65,0.25,2.6,0.45,11678,37,-80.58412558191503,37.83783783783784,-240.7378878621671
0.3,0.1,0.7,0.35,2.0,0.5,35476,96,-85.21281171819737,35.41666666666667,-498.91311591644717
0.4,0.15,0.6,0.25,2.4,0.5,17244,71,-93.9690592336965,35.2112676056338,-258.33585077214866
0.5,0.12,0.7,0.25,2.8,0.45,11205,38,-99.52812424903323,31.57894736842105,-223.36891550633482
0.3,0.15,0.55,0.35,1.5714285714285716,0.5,28636,118,-106.85284485149032,38.13559322033898,-337.0409165100573
0.3,0.1,0.7,0.3,2.3333333333333335,0.45,35476,117,-108.35712117693402,33.33333333333333,-349.79997120352164
0.5,0.15,0.7,0.3,2.3333333333333335,0.5,10282,24,-110.48898285595396,29.166666666666668,-182.9512718629867
0.4,0.15,0.7,0.4,1.7499999999999998,0.5,17244,52,-112.4631352873912,38.46153846153847,-246.68757619030202
0.3,0.1,0.65,0.35,1.8571428571428574,0.45,35476,134,-112.59618180058305,38.80597014925373,-676.3045706526218
0.3,0.1,0.65,0.4,1.625,0.5,35476,115,-114.2964172323359,40.0,-648.2585738838484
0.3,0.1,0.7,0.4,1.7499999999999998,0.5,35476,99,-120.27111844673891,36.36363636363637,-535.9105537544419
0.4,0.15,0.65,0.25,2.6,0.45,17244,68,-126.99485331157484,35.294117647058826,-272.8386108292225
0.3,0.12,0.6,0.25,2.4,0.5,32746,150,-127.22009936075256,29.333333333333332,-339.29706140227063
0.4,0.15,0.6,0.25,2.4,0.45,17244,77,-133.56198944099515,32.467532467532465,-349.60732114032317
0.4,0.12,0.65,0.4,1.625,0.5,19149,65,-135.48482867605344,38.46153846153847,-374.8646034270155
0.4,0.15,0.65,0.25,2.6,0.5,17244,66,-135.9308484131825,37.878787878787875,-275.29521553235827
0.4,0.15,0.6,0.4,1.4999999999999998,0.5,17244,68,-169.6434600787552,39.705882352941174,-380.6350566180008
0.3,0.15,0.55,0.35,1.5714285714285716,0.45,28636,129,-170.84587629661246,39.53488372093023,-480.32637476508626
0.4,0.12,0.65,0.25,2.6,0.45,19149,79,-171.42501555998933,32.91139240506329,-390.73724487245227
0.4,0.12,0.6,0.25,2.4,0.5,19149,80,-175.45054608938108,33.75,-365.7984515568169
0.4,0.15,0.6,0.35,1.7142857142857144,0.45,17244,76,-176.54792637199444,36.84210526315789,-499.9664712966787
0.3,0.1,0.55,0.35,1.5714285714285716,0.5,35476,162,-196.2969480392817,38.2716049382716,-579.202208059206
0.4,0.15,0.7,0.25,2.8,0.5,17244,53,-196.38180627612655,33.9622641509434,-269.1866737899254
0.4,0.15,0.6,0.3,2.0,0.5,17244,71,-201.43718231341563,35.2112676056338,-391.46646991129546
0.4,0.1,0.6,0.25,2.4,0.45,20155,96,-203.9203525214266,30.208333333333332,-466.064317270032
0.3,0.12,0.55,0.35,1.5714285714285716,0.45,32746,169,-210.93427699537597,36.68639053254438,-474.8379785995012
0.4,0.1,0.6,0.25,2.4,0.5,20155,87,-223.6770364792642,29.88505747126437,-477.5569807700849
0.3,0.15,0.55,0.4,1.375,0.5,28636,126,-229.22878390584856,38.095238095238095,-439.31042069799696
0.4,0.12,0.6,0.25,2.4,0.45,19149,86,-320.7127131269426,32.55813953488372,-452.2446616370912
0.3,0.1,0.7,0.3,2.3333333333333335,0.5,35476,97,-354.8127873036333,30.927835051546392,-483.3929101505296
