tp,sl,horizon,trades,wr,net,avg,max_dd,tp_hit,sl_hit,timeout
50.0,25.0,45,1083,40.3,-1452.9,-1.34,-2250.3,46,264,773
50.0,25.0,60,927,40.9,-1021.5,-1.1,-2123.6,45,271,611
50.0,30.0,8,2517,44.1,-1833.7,-0.73,-2203.3,18,76,2423
50.0,30.0,10,2517,45.2,-1929.6,-0.77,-2293.7,25,98,2394
50.0,30.0,12,2517,45.4,-1943.6,-0.77,-2305.2,28,120,2369
50.0,30.0,15,1710,44.2,-1426.7,-0.83,-2161.8,36,125,1549
50.0,30.0,20,1485,45.0,-897.9,-0.6,-1911.7,42,133,1310
50.0,30.0,25,1485,45.0,-743.7,-0.5,-1905.0,46,149,1290
50.0,30.0,30,1267,42.8,-783.9,-0.62,-2185.9,49,158,1060
50.0,30.0,45,1042,42.1,-1176.0,-1.13,-2104.6,46,188,808
50.0,30.0,60,869,44.1,-124.7,-0.14,-1443.1,45,184,640
50.0,35.0,8,2517,44.2,-1789.8,-0.71,-2199.2,18,54,2445
50.0,35.0,10,2517,45.4,-1862.7,-0.74,-2273.7,26,64,2427
50.0,35.0,12,2517,45.5,-1841.5,-0.73,-2251.8,29,76,2412
50.0,35.0,15,1696,44.5,-1193.0,-0.7,-1937.9,36,84,1576
50.0,35.0,20,1468,45.2,-804.7,-0.55,-1857.6,41,90,1337
50.0,35.0,25,1468,45.6,-663.1,-0.45,-1845.3,45,104,1319
50.0,35.0,30,1241,43.8,-739.2,-0.6,-2199.2,47,112,1082
50.0,35.0,45,1007,43.2,-1253.3,-1.24,-2194.3,43,141,823
50.0,35.0,60,837,44.8,-37.1,-0.04,-1375.9,44,139,654
