tp,sl,horizon,trades,wr,net,avg,max_dd,tp_hit,sl_hit,timeout
25.0,20.0,25,1684,45.0,-798.9,-0.47,-1593.5,223,358,1103
25.0,20.0,30,1509,43.3,-645.5,-0.43,-1488.6,240,383,886
25.0,20.0,45,1344,42.6,-823.4,-0.61,-1242.5,252,420,672
25.0,20.0,60,1248,43.4,-479.2,-0.38,-1125.5,274,450,524
25.0,25.0,8,2517,44.3,-1571.7,-0.62,-1811.6,123,110,2284
25.0,25.0,10,2517,45.8,-1662.5,-0.66,-1885.9,151,135,2231
25.0,25.0,12,2517,45.8,-1614.3,-0.64,-1779.7,179,169,2169
25.0,25.0,15,1796,45.0,-1077.6,-0.6,-1585.3,191,179,1426
25.0,25.0,20,1638,46.2,-915.6,-0.56,-1630.8,207,214,1217
25.0,25.0,25,1638,46.4,-824.5,-0.5,-1636.9,224,243,1171
25.0,25.0,30,1456,44.7,-808.6,-0.56,-1793.3,241,274,941
25.0,25.0,45,1281,44.8,-854.8,-0.67,-1528.6,258,307,716
25.0,25.0,60,1171,46.3,-402.3,-0.34,-1353.4,278,329,564
25.0,30.0,8,2517,44.4,-1742.8,-0.69,-1979.2,124,74,2319
25.0,30.0,10,2517,45.8,-1856.5,-0.74,-2088.7,152,96,2269
25.0,30.0,12,2517,45.9,-1827.8,-0.73,-2017.7,180,116,2221
25.0,30.0,15,1775,45.2,-1377.1,-0.78,-1925.4,186,131,1458
25.0,30.0,20,1605,46.8,-887.6,-0.55,-1623.8,204,143,1258
25.0,30.0,25,1605,47.1,-678.0,-0.42,-1551.7,221,161,1223
25.0,30.0,30,1406,45.6,-754.8,-0.54,-1855.7,233,183,990
25.0,30.0,45,1221,46.5,-619.1,-0.51,-1346.9,249,216,756
25.0,30.0,60,1103,48.7,128.3,0.12,-985.9,275,234,594
25.0,35.0,8,2517,44.5,-1694.7,-0.67,-1949.8,125,52,2340
25.0,35.0,10,2517,46.0,-1804.5,-0.72,-2083.7,153,62,2302
25.0,35.0,12,2517,46.0,-1747.7,-0.69,-1982.9,182,73,2262
25.0,35.0,15,1758,45.5,-1270.0,-0.72,-1856.4,182,87,1489
25.0,35.0,20,1584,47.2,-789.6,-0.5,-1579.2,200,100,1284
25.0,35.0,25,1584,47.5,-592.0,-0.37,-1500.5,217,114,1253
25.0,35.0,30,1377,46.3,-628.9,-0.46,-1818.9,230,129,1018
25.0,35.0,45,1179,47.7,-376.9,-0.32,-1202.4,246,159,774
25.0,35.0,60,1059,50.1,514.3,0.49,-865.9,272,169,618
30.0,10.0,8,2517,40.5,-2103.4,-0.84,-2262.0,56,709,1752
30.0,10.0,10,2517,41.0,-2199.3,-0.87,-2348.2,75,814,1628
30.0,10.0,12,2517,40.5,-2104.8,-0.84,-2225.7,88,877,1552
30.0,10.0,15,2021,37.7,-1855.9,-0.92,-2091.2,106,869,1046
30.0,10.0,20,1876,36.4,-1722.1,-0.92,-2207.0,114,905,857
30.0,10.0,25,1876,35.3,-1775.6,-0.95,-2374.0,120,971,785
30.0,10.0,30,1755,32.5,-1417.9,-0.81,-2086.0,139,960,656
