entry_time,exit_time,entry_price,exit_price,pnl,side,pattern,exit_reason,matched_pattern
2025-06-02 09:31:00+00:00,2025-06-02 12:16:00+00:00,3345.63,3356.98,11.349999999999909,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-02 16:54:00+00:00,2025-06-02 18:56:00+00:00,3370.35,3379.3,8.950000000000273,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-04 15:18:00+00:00,2025-06-04 20:02:00+00:00,3371.37,3371.55,0.18000000000029104,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-05 11:37:00+00:00,2025-06-05 12:49:00+00:00,3395.63,3385.8732582042458,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2025-06-10 07:22:00+00:00,2025-06-10 10:28:00+00:00,3325.06,3333.58,8.519999999999982,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-11 12:52:00+00:00,2025-06-11 12:56:00+00:00,3349.14,3339.3832582042455,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2025-06-11 18:32:00+00:00,2025-06-11 20:35:00+00:00,3339.93,3354.667064905028,14.737064905028092,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2025-06-11 23:37:00+00:00,2025-06-12 03:56:00+00:00,3364.18,3372.03,7.850000000000364,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-12 08:18:00+00:00,2025-06-12 10:30:00+00:00,3357.47,3380.797064905028,23.327064905028237,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2025-06-12 11:38:00+00:00,2025-06-12 16:25:00+00:00,3375.78,3389.8,14.019999999999982,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-13 00:44:00+00:00,2025-06-13 01:14:00+00:00,3405.15,3424.197064905028,19.047064905028037,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2025-06-13 02:01:00+00:00,2025-06-13 02:41:00+00:00,3427.3,3440.367064905028,13.067064905028019,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2025-06-17 16:27:00+00:00,2025-06-17 19:12:00+00:00,3382.43,3384.55,2.1200000000003456,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-19 07:40:00+00:00,2025-06-19 12:52:00+00:00,3366.13,3369.29,3.1599999999998545,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-20 14:22:00+00:00,2025-06-20 16:44:00+00:00,3367.28,3372.98,5.699999999999818,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-23 09:32:00+00:00,2025-06-23 11:19:00+00:00,3363.9,3377.287064905028,13.387064905027728,1,uptrend_retrace_v15,target_hit,uptrend_retrace_v15
2025-06-23 11:25:00+00:00,2025-06-23 12:16:00+00:00,3376.35,3366.5932582042456,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2025-06-23 14:03:00+00:00,2025-06-23 14:06:00+00:00,3382.03,3372.273258204246,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
2025-06-23 14:07:00+00:00,2025-06-23 16:39:00+00:00,3370.43,3388.58,18.15000000000009,1,uptrend_retrace_v15,timeout,uptrend_retrace_v15
2025-06-24 01:03:00+00:00,2025-06-24 05:25:00+00:00,3348.25,3338.4932582042456,-9.756741795754351,1,uptrend_retrace_v15,stop_loss,uptrend_retrace_v15
