signal_ts,side,p_long,p_short,p_pick,pnl,exit_reason,scaled_half,bars_held,win
2025-11-03 14:31:00+00:00,-1,0.3529825508594513,0.7279336452484131,0.7279336452484131,-4.7800000000002,timeout,False,10,False
2025-11-03 14:34:00+00:00,-1,0.22333058714866638,0.6077592968940735,0.6077592968940735,-7.870000000000346,timeout,False,10,False
2025-11-04 14:29:00+00:00,-1,0.38711532950401306,0.8451846241950989,0.8451846241950989,5.0,trail_stop,True,3,True
2025-11-04 14:32:00+00:00,1,0.7350940704345703,0.44920870661735535,0.7350940704345703,-9.649999999999636,timeout,False,10,False
2025-11-04 18:29:00+00:00,1,0.7687987685203552,0.20058466494083405,0.7687987685203552,-14.640000000000327,timeout,False,10,False
2025-11-05 09:24:00+00:00,1,0.5910024046897888,0.47661203145980835,0.5910024046897888,1.7800000000002,timeout,False,10,True
2025-11-05 13:15:00+00:00,-1,0.5408612489700317,0.6968830823898315,0.6968830823898315,-7.769999999999982,timeout,False,10,False
2025-11-05 14:33:00+00:00,-1,0.3457825779914856,0.727252721786499,0.727252721786499,5.0,trail_stop,True,8,True
2025-11-05 15:00:00+00:00,-1,0.47261980175971985,0.8068432211875916,0.8068432211875916,-4.380000000000109,timeout,False,10,False
2025-11-06 15:01:00+00:00,-1,0.3658298850059509,0.6269237399101257,0.6269237399101257,5.0,trail_stop,True,2,True
2025-11-06 15:04:00+00:00,-1,0.2735428810119629,0.7031987309455872,0.7031987309455872,-3.980000000000018,timeout,False,10,False
2025-11-07 13:32:00+00:00,1,0.643426239490509,0.5433798432350159,0.643426239490509,0.8699999999998909,timeout,False,10,True
2025-11-07 16:38:00+00:00,1,0.7009739875793457,0.16888730227947235,0.7009739875793457,-6.589999999999691,timeout,False,10,False
2025-11-10 14:33:00+00:00,-1,0.557768702507019,0.6133691668510437,0.6133691668510437,-3.700000000000273,timeout,False,10,False
2025-11-11 15:22:00+00:00,1,0.9161112308502197,0.05852600559592247,0.9161112308502197,-7.0600000000004,timeout,False,10,False
2025-11-11 15:28:00+00:00,1,0.8573389649391174,0.10106875747442245,0.8573389649391174,5.0,trail_stop,True,3,True
2025-11-12 14:35:00+00:00,1,0.6761444211006165,0.26731643080711365,0.6761444211006165,5.0,trail_stop,True,8,True
2025-11-12 14:38:00+00:00,1,0.6939558982849121,0.31815487146377563,0.6939558982849121,-2.2600000000002183,timeout,False,10,False
2025-11-12 15:11:00+00:00,1,0.7706043720245361,0.21863165497779846,0.7706043720245361,7.5,target_full,True,5,True
2025-11-13 10:09:00+00:00,-1,0.30285778641700745,0.6947205662727356,0.6947205662727356,-4.359999999999673,timeout,False,10,False
2025-11-13 11:00:00+00:00,-1,0.3313526511192322,0.662207841873169,0.662207841873169,-4.380000000000109,timeout,False,10,False
2025-11-13 13:00:00+00:00,-1,0.3449711203575134,0.7759823203086853,0.7759823203086853,5.0,trail_stop,True,2,True
2025-11-13 13:03:00+00:00,-1,0.3116142451763153,0.7629998922348022,0.7629998922348022,-0.8800000000001091,timeout,False,10,False
2025-11-13 13:33:00+00:00,1,0.6903957724571228,0.4734935164451599,0.6903957724571228,3.8650000000002365,timeout,True,10,True
2025-11-13 14:03:00+00:00,1,0.6755256652832031,0.3640637993812561,0.6755256652832031,-3.550000000000182,timeout,False,10,False
2025-11-13 14:30:00+00:00,1,0.8589683771133423,0.4280390441417694,0.8589683771133423,5.0,trail_stop,True,2,True
2025-11-13 14:42:00+00:00,-1,0.6774572730064392,0.8454291820526123,0.8454291820526123,7.5,target_full,True,1,True
2025-11-13 15:33:00+00:00,1,0.8799619078636169,0.18500365316867828,0.8799619078636169,5.0,trail_stop,True,4,True
2025-11-13 18:27:00+00:00,1,0.7542099952697754,0.24301399290561676,0.7542099952697754,-20.0,stop_loss,False,4,False
2025-11-13 18:33:00+00:00,-1,0.3205154240131378,0.746576189994812,0.746576189994812,7.5,target_full,True,1,True
2025-11-13 18:36:00+00:00,-1,0.22518311440944672,0.7760692238807678,0.7760692238807678,5.0,trail_stop,True,2,True
2025-11-14 11:55:00+00:00,1,0.6411683559417725,0.2894042432308197,0.6411683559417725,2.819999999999709,timeout,False,10,True
2025-11-14 13:13:00+00:00,-1,0.5158969163894653,0.6712098121643066,0.6712098121643066,5.0,trail_stop,True,6,True
2025-11-14 14:34:00+00:00,1,0.7722987532615662,0.7095376253128052,0.7722987532615662,7.5,target_full,True,1,True
2025-11-14 14:37:00+00:00,1,0.7070693373680115,0.4240703284740448,0.7070693373680115,5.0,trail_stop,True,2,True
2025-11-14 16:22:00+00:00,1,0.8315632343292236,0.11962880194187164,0.8315632343292236,-5.199999999999818,timeout,False,10,False
2025-11-17 11:35:00+00:00,1,0.6968804001808167,0.3049180209636688,0.6968804001808167,5.0,trail_stop,True,7,True
2025-11-17 13:50:00+00:00,1,0.726019024848938,0.14277419447898865,0.726019024848938,0.47000000000025466,timeout,False,10,True
2025-11-17 19:32:00+00:00,-1,0.22681398689746857,0.7852858304977417,0.7852858304977417,5.0,trail_stop,True,2,True
2025-11-18 08:06:00+00:00,1,0.8376162052154541,0.12319453805685043,0.8376162052154541,1.2699999999999818,timeout,False,10,True
2025-11-18 08:33:00+00:00,1,0.7366839051246643,0.314668208360672,0.7366839051246643,5.0,trail_stop,True,2,True
2025-11-18 13:00:00+00:00,-1,0.2248094230890274,0.7797656655311584,0.7797656655311584,-3.8900000000003274,timeout,False,10,False
2025-11-18 13:36:00+00:00,1,0.597608745098114,0.4736560583114624,0.597608745098114,-1.4600000000000364,timeout,False,10,False
2025-11-19 17:04:00+00:00,-1,0.560050904750824,0.7993849515914917,0.7993849515914917,-4.7400000000002365,timeout,False,10,False
2025-11-19 19:13:00+00:00,1,0.7007915377616882,0.33412620425224304,0.7007915377616882,-0.9599999999995816,timeout,False,10,False
