prob,signals,trades,wr,net,avg
0.5,1249,1249,62.61008807045636,-255.9850000000099,-0.20495196156926335
0.55,203,203,65.51724137931035,77.19000000000005,0.38024630541871945
0.58,54,54,66.66666666666666,46.65000000000009,0.8638888888888906
0.6,21,21,76.19047619047619,59.39000000000033,2.8280952380952535
0.65,3,3,66.66666666666666,10.300000000000182,3.433333333333394
0.7,0,0,0.0,0.0,0.0
