entry,exit,pnl,reason,type,side,entry_price,exit_price,_leg,_prob
2024-07-01 14:30:00+00:00,2024-07-01 14:45:00+00:00,30.0,tp,long_retrace,1,8165.0,8195.0,long_ret,0.5851911902427673
2024-07-02 15:00:00+00:00,2024-07-02 15:30:00+00:00,30.0,tp,long_retrace,1,8297.1,8327.1,long_ret,0.796536386013031
2024-07-03 14:40:00+00:00,2024-07-03 16:10:00+00:00,10.699999999998909,timeout,short_impulse,-1,,,si,0.5078295914931812
2024-07-05 14:15:00+00:00,2024-07-05 14:30:00+00:00,-15.0,sl,long_retrace,1,8349.9,8334.9,long_ret,0.618101954460144
2024-07-08 14:15:00+00:00,2024-07-08 15:30:00+00:00,-15.0,sl,long_retrace,1,8225.3,8210.3,long_ret,0.7088524699211121
2024-07-09 15:30:00+00:00,2024-07-09 15:45:00+00:00,30.0,tp,ret_short,-1,8142.6,8112.6,ret_short,0.8737545609474182
2024-07-10 13:45:00+00:00,2024-07-10 14:00:00+00:00,-15.0,sl,ret_short,-1,8074.8,8089.8,ret_short,0.5543552041053772
2024-07-11 13:45:00+00:00,2024-07-11 14:00:00+00:00,-15.0,sl,long_retrace,1,8126.6,8111.6,long_ret,0.6913735270500183
2024-07-11 14:15:00+00:00,2024-07-11 14:30:00+00:00,30.0,tp,ret,1,8118.9,8148.9,ret,0.5933114886283875
2024-07-11 14:30:00+00:00,2024-07-11 15:15:00+00:00,-15.0,sl,long_retrace,1,8178.8,8163.8,long_ret,0.5383002758026123
2024-07-11 15:15:00+00:00,2024-07-11 16:15:00+00:00,-15.0,sl,ret,1,8174.0,8159.0,ret,0.8682729601860046
2024-07-12 14:00:00+00:00,2024-07-12 14:30:00+00:00,-15.0,sl,long_retrace,1,8228.2,8213.2,long_ret,0.5896713733673096
2024-07-15 15:30:00+00:00,2024-07-15 15:45:00+00:00,-15.0,sl,long_retrace,1,8124.2,8109.2,long_ret,0.6750941276550293
2024-07-17 15:45:00+00:00,2024-07-17 18:30:00+00:00,-7.100000000000364,ny_close,ret_short,-1,8157.2,8164.3,ret_short,0.6822203397750854
2024-07-18 15:00:00+00:00,2024-07-18 15:15:00+00:00,30.0,tp,long_retrace,1,8120.7,8150.7,long_ret,0.7231292724609375
2024-07-18 15:15:00+00:00,2024-07-18 16:00:00+00:00,30.0,tp,long_retrace,1,8155.2,8185.2,long_ret,0.7167239785194397
2024-07-19 13:45:00+00:00,2024-07-19 14:15:00+00:00,30.0,tp,ret_short,-1,8103.6,8073.6,ret_short,0.6626845002174377
2024-07-19 14:30:00+00:00,2024-07-19 15:00:00+00:00,30.0,tp,ret_short,-1,8085.9,8055.9,ret_short,0.7409236431121826
2024-07-22 15:30:00+00:00,2024-07-22 18:00:00+00:00,30.0,tp,ret_short,-1,7837.4,7807.4,ret_short,0.7679754495620728
2024-07-23 16:00:00+00:00,2024-07-23 16:15:00+00:00,-15.0,sl,long_retrace,1,7686.9,7671.9,long_ret,0.8642781972885132
2024-07-23 16:15:00+00:00,2024-07-23 16:45:00+00:00,30.0,tp,ret,1,7667.0,7697.0,ret,0.7228322625160217
2024-07-24 15:38:00+00:00,2024-07-24 17:08:00+00:00,4.900000000000546,timeout,short_impulse,-1,,,si,0.5632157523212276
2024-07-25 14:00:00+00:00,2024-07-25 14:15:00+00:00,-15.0,sl,ret_short,-1,7657.6,7672.6,ret_short,0.5837531089782715
2024-07-25 14:45:00+00:00,2024-07-25 15:00:00+00:00,-15.0,sl,ret_short,-1,7715.4,7730.4,ret_short,0.5945055484771729
2024-07-25 15:15:00+00:00,2024-07-25 15:30:00+00:00,-15.0,sl,ret_short,-1,7760.9,7775.9,ret_short,0.5864884257316589
2024-07-25 15:45:00+00:00,2024-07-25 16:45:00+00:00,-15.0,sl,ret_short,-1,7799.0,7814.0,ret_short,0.6913893818855286
2024-07-26 15:30:00+00:00,2024-07-26 16:00:00+00:00,30.0,tp,long_retrace,1,7657.6,7687.6,long_ret,0.732018768787384
2024-07-26 16:00:00+00:00,2024-07-26 16:30:00+00:00,-15.0,sl,ret_short,-1,7693.6,7708.6,ret_short,0.6746600866317749
2024-07-29 13:10:00+00:00,2024-07-29 13:36:00+00:00,-80.0,sl,short_impulse,-1,,,si,0.5032674960273129
2024-07-29 14:09:00+00:00,2024-07-29 15:00:00+00:00,120.0,tp,short_impulse,-1,,,si,0.5122760383293802
2024-07-30 13:00:00+00:00,2024-07-30 13:30:00+00:00,30.0,tp,ret_short,-1,7496.5,7466.5,ret_short,0.8892441987991333
2024-07-31 12:45:00+00:00,2024-07-31 13:00:00+00:00,-15.0,sl,ret,1,7673.7,7658.7,ret,0.896079421043396
2024-07-31 14:00:00+00:00,2024-07-31 14:30:00+00:00,30.0,tp,ret_short,-1,7695.9,7665.9,ret_short,0.7237681746482849
2024-07-31 14:45:00+00:00,2024-07-31 15:00:00+00:00,-15.0,sl,ret_short,-1,7658.8,7673.8,ret_short,0.7152494788169861
2024-07-31 15:30:00+00:00,2024-07-31 16:30:00+00:00,30.0,tp,long_retrace,1,7702.6,7732.6,long_ret,0.7356951236724854
2024-08-02 14:45:00+00:00,2024-08-02 15:00:00+00:00,-15.0,sl,long_retrace,1,7344.9,7329.9,long_ret,0.5587758421897888
2024-08-05 12:15:00+00:00,2024-08-05 12:45:00+00:00,-15.0,sl,ret_short,-1,7190.4,7205.4,ret_short,0.7449378967285156
2024-08-05 15:00:00+00:00,2024-08-05 15:15:00+00:00,30.0,tp,ret_short,-1,7294.3,7264.3,ret_short,0.6249096989631653
2024-08-05 15:45:00+00:00,2024-08-05 16:00:00+00:00,-15.0,sl,ret_short,-1,7265.3,7280.3,ret_short,0.7029215693473816
2024-08-05 16:15:00+00:00,2024-08-05 16:30:00+00:00,30.0,tp,ret_short,-1,7310.9,7280.9,ret_short,0.7095346450805664
2024-08-06 10:15:00+00:00,2024-08-06 10:45:00+00:00,-15.0,sl,ret_short,-1,7288.9,7303.9,ret_short,0.7544931769371033
2024-08-06 12:15:00+00:00,2024-08-06 12:30:00+00:00,-15.0,sl,long_retrace,1,7213.9,7198.9,long_ret,0.588607668876648
2024-08-06 12:30:00+00:00,2024-08-06 12:45:00+00:00,-15.0,sl,ret,1,7202.4,7187.4,ret,0.8746259808540344
2024-08-06 13:30:00+00:00,2024-08-06 13:45:00+00:00,30.0,tp,long_retrace,1,7251.5,7281.5,long_ret,0.908692479133606
2024-08-06 13:45:00+00:00,2024-08-06 14:00:00+00:00,30.0,tp,long_retrace,1,7287.5,7317.5,long_ret,0.6722174286842346
2024-08-06 14:00:00+00:00,2024-08-06 14:15:00+00:00,-15.0,sl,long_retrace,1,7308.2,7293.2,long_ret,0.5733380913734436
2024-08-06 14:30:00+00:00,2024-08-06 14:45:00+00:00,-15.0,sl,long_retrace,1,7334.5,7319.5,long_ret,0.5156632661819458
2024-08-06 15:15:00+00:00,2024-08-06 15:30:00+00:00,-15.0,sl,ret_short,-1,7281.4,7296.4,ret_short,0.6767831444740295
2024-08-07 15:30:00+00:00,2024-08-07 16:00:00+00:00,-15.0,sl,ret,1,7492.9,7477.9,ret,0.7048550248146057
2024-08-08 08:15:00+00:00,2024-08-08 09:15:00+00:00,-15.0,sl,ret,1,7438.6,7423.6,ret,0.80126953125
2024-08-08 12:30:00+00:00,2024-08-08 13:00:00+00:00,-15.0,sl,long_retrace,1,7482.6,7467.6,long_ret,0.6528180837631226
2024-08-08 13:00:00+00:00,2024-08-08 13:15:00+00:00,-15.0,sl,ret,1,7471.6,7456.6,ret,0.8668662309646606
2024-08-08 14:00:00+00:00,2024-08-08 14:15:00+00:00,30.0,tp,ret,1,7454.2,7484.2,ret,0.9645888805389404
2024-08-09 14:00:00+00:00,2024-08-09 14:30:00+00:00,30.0,tp,long_retrace,1,7545.5,7575.5,long_ret,0.6148964762687683
2024-08-13 11:00:00+00:00,2024-08-13 12:00:00+00:00,30.0,tp,ret_short,-1,7854.5,7824.5,ret_short,0.5663257241249084
2024-08-13 14:30:00+00:00,2024-08-13 15:00:00+00:00,30.0,tp,ret_short,-1,7770.9,7740.9,ret_short,0.8372114896774292
2024-08-13 15:30:00+00:00,2024-08-13 16:00:00+00:00,30.0,tp,ret_short,-1,7734.6,7704.6,ret_short,0.5840238928794861
2024-08-14 14:31:00+00:00,2024-08-14 16:01:00+00:00,-0.0999999999994543,timeout,short_impulse,-1,,,si,0.5032890865731197
2024-08-15 13:00:00+00:00,2024-08-15 13:30:00+00:00,-15.0,sl,ret_short,-1,7691.6,7706.6,ret_short,0.5827668309211731
2024-08-15 13:45:00+00:00,2024-08-15 14:00:00+00:00,-15.0,sl,ret,1,7705.1,7690.1,ret,0.8469310402870178
2024-08-15 14:00:00+00:00,2024-08-15 14:30:00+00:00,30.0,tp,ret,1,7676.8,7706.8,ret,0.6032369136810303
2024-08-15 14:30:00+00:00,2024-08-15 15:15:00+00:00,-15.0,sl,ret_short,-1,7731.5,7746.5,ret_short,0.7674334049224854
2024-08-16 12:00:00+00:00,2024-08-16 12:45:00+00:00,30.0,tp,long_retrace,1,7516.3,7546.3,long_ret,0.834915816783905
2024-08-16 13:15:00+00:00,2024-08-16 13:45:00+00:00,30.0,tp,long_retrace,1,7571.0,7601.0,long_ret,0.6823171377182007
2024-08-16 14:45:00+00:00,2024-08-16 15:15:00+00:00,-15.0,sl,ret_short,-1,7560.7,7575.7,ret_short,0.6095948815345764
2024-08-16 15:15:00+00:00,2024-08-16 15:30:00+00:00,-15.0,sl,ret_short,-1,7576.1,7591.1,ret_short,0.7238591909408569
2024-08-19 08:30:00+00:00,2024-08-19 09:15:00+00:00,30.0,tp,ret_short,-1,7523.2,7493.2,ret_short,0.7392102479934692
2024-08-19 14:45:00+00:00,2024-08-19 15:00:00+00:00,-15.0,sl,ret_short,-1,7522.3,7537.3,ret_short,0.6153083443641663
2024-08-20 08:45:00+00:00,2024-08-20 09:15:00+00:00,30.0,tp,ret_short,-1,7317.2,7287.2,ret_short,0.6728863716125488
2024-08-20 09:45:00+00:00,2024-08-20 10:00:00+00:00,-15.0,sl,ret_short,-1,7352.1,7367.1,ret_short,0.6651180386543274
2024-08-20 16:00:00+00:00,2024-08-20 16:30:00+00:00,30.0,tp,ret_short,-1,7351.4,7321.4,ret_short,0.7140287756919861
2024-08-21 14:52:00+00:00,2024-08-21 16:00:00+00:00,120.0,tp,short_impulse,-1,,,si,0.529017157865091
2024-08-21 16:15:00+00:00,2024-08-21 16:30:00+00:00,-15.0,sl,long_retrace,1,7233.3,7218.3,long_ret,0.793229877948761
2024-08-22 13:45:00+00:00,2024-08-22 14:00:00+00:00,-15.0,sl,ret_short,-1,7251.0,7266.0,ret_short,0.6064010262489319
2024-08-22 14:00:00+00:00,2024-08-22 14:15:00+00:00,30.0,tp,ret_short,-1,7267.9,7237.9,ret_short,0.6365091800689697
2024-08-22 14:15:00+00:00,2024-08-22 14:45:00+00:00,30.0,tp,ret,1,7244.9,7274.9,ret,0.6542524099349976
2024-08-22 14:45:00+00:00,2024-08-22 15:15:00+00:00,-15.0,sl,ret_short,-1,7297.7,7312.7,ret_short,0.6390347480773926
2024-08-23 14:30:00+00:00,2024-08-23 14:45:00+00:00,30.0,tp,ret_short,-1,7464.6,7434.6,ret_short,0.7681491374969482
2024-08-23 15:15:00+00:00,2024-08-23 15:30:00+00:00,-15.0,sl,ret_short,-1,7454.9,7469.9,ret_short,0.6268333196640015
2024-08-27 14:45:00+00:00,2024-08-27 15:00:00+00:00,-15.0,sl,ret_short,-1,7595.0,7610.0,ret_short,0.6550698280334473
2024-08-28 08:30:00+00:00,2024-08-28 09:00:00+00:00,-15.0,sl,ret_short,-1,7464.4,7479.4,ret_short,0.8865247964859009
2024-08-28 14:45:00+00:00,2024-08-28 15:00:00+00:00,-15.0,sl,ret_short,-1,7483.8,7498.8,ret_short,0.5774468779563904
2024-08-28 15:13:00+00:00,2024-08-28 16:43:00+00:00,30.699999999999818,timeout,short_impulse,-1,,,si,0.5040137346700588
2024-08-29 13:15:00+00:00,2024-08-29 13:30:00+00:00,-15.0,sl,ret_short,-1,7563.7,7578.7,ret_short,0.5707524418830872
2024-08-29 13:45:00+00:00,2024-08-29 14:00:00+00:00,-15.0,sl,ret_short,-1,7626.9,7641.9,ret_short,0.6821894645690918
2024-08-29 14:14:00+00:00,2024-08-29 15:44:00+00:00,90.80000000000018,timeout,short_impulse,-1,,,si,0.5489745233366956
2024-08-29 15:45:00+00:00,2024-08-29 16:15:00+00:00,30.0,tp,long_retrace,1,7534.2,7564.2,long_ret,0.8203691840171814
2024-08-30 13:45:00+00:00,2024-08-30 14:00:00+00:00,-15.0,sl,ret,1,7351.4,7336.4,ret,0.5763378143310547
2024-08-30 14:00:00+00:00,2024-08-30 14:30:00+00:00,-15.0,sl,long_retrace,1,7361.9,7346.9,long_ret,0.6568388938903809
2024-09-02 15:45:00+00:00,2024-09-02 22:00:00+00:00,62.600000000000364,ny_close,ret_short,-1,7384.5,7321.9,ret_short,0.6833679676055908
2024-09-03 14:30:00+00:00,2024-09-03 14:45:00+00:00,30.0,tp,ret_short,-1,7043.2,7013.2,ret_short,0.6824814081192017
2024-09-03 15:00:00+00:00,2024-09-03 15:15:00+00:00,30.0,tp,ret_short,-1,7056.8,7026.8,ret_short,0.785429835319519
2024-09-03 15:30:00+00:00,2024-09-03 16:00:00+00:00,-15.0,sl,ret_short,-1,7029.7,7044.7,ret_short,0.7057037353515625
2024-09-04 10:45:00+00:00,2024-09-04 11:00:00+00:00,30.0,tp,ret_short,-1,7088.4,7058.4,ret_short,0.6673428416252136
2024-09-04 11:01:00+00:00,2024-09-04 12:31:00+00:00,70.89999999999964,timeout,short_impulse,-1,,,si,0.5927966738606245
2024-09-04 12:45:00+00:00,2024-09-04 13:00:00+00:00,30.0,tp,ret_short,-1,6992.4,6962.4,ret_short,0.8390820026397705
2024-09-04 13:00:00+00:00,2024-09-04 13:15:00+00:00,-15.0,sl,ret,1,6962.2,6947.2,ret,0.7338033318519592
2024-09-04 14:00:00+00:00,2024-09-04 14:15:00+00:00,-15.0,sl,ret,1,6920.3,6905.3,ret,0.5841097235679626
2024-09-04 14:30:00+00:00,2024-09-04 14:45:00+00:00,30.0,tp,ret_short,-1,7027.5,6997.5,ret_short,0.8538424968719482
2024-09-04 15:00:00+00:00,2024-09-04 15:15:00+00:00,30.0,tp,ret_short,-1,6984.9,6954.9,ret_short,0.9143918752670288
