side,signal_ts,entry_time,entry_price,entry_style,stop,target,sl,tp,horizon,timeout,impulse_low,impulse_high,slot_low,slot_high,stop_mode,entry_struct_trend,target_updates,exit_time,exit_price,exit_reason,pnl,win,hold_min
-1,2025-11-21 09:45:00+00:00,2025-11-21 09:47:00+00:00,4052.74,breakout_next_open,4057.07,4039.7499999999986,4.330000000000382,12.990000000001146,120,2025-11-21 11:47:00+00:00,4052.56,4057.07,4049.43,4060.96,impulse_bar,-1,0,2025-11-21 10:13:00+00:00,4039.7499999999986,target_hit,12.990000000001146,True,26.0
1,2025-11-24 09:15:00+00:00,2025-11-24 09:21:00+00:00,4073.66,breakout_next_open,4069.59,4085.869999999999,4.069999999999709,12.209999999999127,120,2025-11-24 11:21:00+00:00,4069.59,4073.64,4063.12,4074.25,impulse_bar,1,0,2025-11-24 09:22:00+00:00,4069.59,stop_loss,-4.069999999999709,False,1.0
1,2025-11-24 15:00:00+00:00,2025-11-24 15:02:00+00:00,4083.96,breakout_next_open,4074.87,4111.2300000000005,9.090000000000146,27.270000000000437,120,2025-11-24 18:45:00+00:00,4074.87,4078.48,4072.2,4086.17,impulse_bar,1,1,2025-11-24 18:39:00+00:00,4111.2300000000005,target_hit,27.270000000000437,True,217.0
1,2025-11-24 18:45:00+00:00,2025-11-24 18:48:00+00:00,4111.18,breakout_next_open,4098.86,4148.140000000002,12.320000000000618,36.960000000001855,120,2025-11-24 22:15:00+00:00,4098.86,4103.97,4095.5,4114.93,impulse_bar,1,2,2025-11-24 23:01:00+00:00,4133.46,timeout,22.279999999999745,True,253.0
1,2025-11-25 10:15:00+00:00,2025-11-25 10:17:00+00:00,4138.12,breakout_next_open,4129.29,4164.61,8.829999999999927,26.48999999999978,120,2025-11-25 12:17:00+00:00,4129.29,4133.82,4127.53,4137.76,impulse_bar,1,0,2025-11-25 10:25:00+00:00,4129.29,stop_loss,-8.829999999999927,False,8.0
1,2025-11-25 11:15:00+00:00,2025-11-25 11:17:00+00:00,4136.29,breakout_next_open,4127.81,4161.729999999999,8.479999999999563,25.43999999999869,120,2025-11-25 14:00:00+00:00,4127.81,4132.11,4127.76,4135.0,impulse_bar,1,1,2025-11-25 12:44:00+00:00,4127.81,stop_loss,-8.479999999999563,False,87.0
1,2025-11-25 13:00:00+00:00,2025-11-25 13:02:00+00:00,4130.52,breakout_next_open,4120.61,4160.250000000003,9.910000000000764,29.730000000002292,120,2025-11-25 15:30:00+00:00,4120.61,4126.57,4115.79,4130.16,impulse_bar,1,2,2025-11-25 13:45:00+00:00,4145.76,structure_change,15.239999999999782,True,43.0
1,2025-11-26 08:15:00+00:00,2025-11-26 08:17:00+00:00,4165.33,breakout_next_open,4160.35,4180.269999999999,4.979999999999563,14.93999999999869,120,2025-11-26 10:17:00+00:00,4160.35,4164.65,4156.9,4167.63,impulse_bar,1,0,2025-11-26 08:35:00+00:00,4160.35,stop_loss,-4.979999999999563,False,18.0
1,2025-12-01 13:30:00+00:00,2025-12-01 13:32:00+00:00,4258.65,breakout_next_open,4250.62,4282.739999999999,8.029999999999745,24.089999999999236,120,2025-12-01 15:32:00+00:00,4250.62,4256.01,4250.12,4257.77,impulse_bar,1,0,2025-12-01 13:59:00+00:00,4250.62,stop_loss,-8.029999999999745,False,27.0
1,2025-12-09 16:00:00+00:00,2025-12-09 16:02:00+00:00,4214.97,breakout_next_open,4206.84,4239.360000000001,8.13000000000011,24.390000000000327,120,2025-12-09 18:02:00+00:00,4206.84,4211.97,4198.68,4216.58,impulse_bar,1,0,2025-12-09 17:23:00+00:00,4206.84,stop_loss,-8.13000000000011,False,81.0
1,2025-12-12 09:45:00+00:00,2025-12-12 09:49:00+00:00,4313.53,breakout_next_open,4308.91,4327.389999999999,4.619999999999891,13.859999999999673,120,2025-12-12 12:30:00+00:00,4308.91,4313.06,4307.64,4314.07,impulse_bar,1,1,2025-12-12 10:44:00+00:00,4327.389999999999,target_hit,13.859999999999673,True,55.0
1,2025-12-12 10:45:00+00:00,2025-12-12 10:47:00+00:00,4329.62,breakout_next_open,4319.92,4358.719999999999,9.699999999999818,29.099999999999454,120,2025-12-12 12:47:00+00:00,4319.92,4323.71,4316.56,4328.84,impulse_bar,1,0,2025-12-12 12:47:00+00:00,4327.91,timeout,-1.7100000000000364,False,120.0
-1,2025-12-15 14:00:00+00:00,2025-12-15 14:02:00+00:00,4335.52,breakout_next_open,4339.68,4323.040000000001,4.1599999999998545,12.479999999999563,120,2025-12-15 16:02:00+00:00,4336.01,4339.68,4330.67,4344.72,impulse_bar,-1,0,2025-12-15 14:25:00+00:00,4323.040000000001,target_hit,12.479999999999563,True,23.0
-1,2025-12-15 14:45:00+00:00,2025-12-15 14:54:00+00:00,4318.32,breakout_next_open,4324.74,4299.0599999999995,6.420000000000073,19.26000000000022,120,2025-12-15 16:54:00+00:00,4320.64,4324.74,4320.64,4335.37,impulse_bar,-1,0,2025-12-15 14:58:00+00:00,4324.74,stop_loss,-6.420000000000073,False,4.0
-1,2025-12-15 15:00:00+00:00,2025-12-15 15:02:00+00:00,4317.97,breakout_next_open,4330.08,4281.640000000001,12.109999999999673,36.32999999999902,120,2025-12-15 18:15:00+00:00,4324.81,4330.08,4317.84,4331.36,impulse_bar,-1,3,2025-12-15 16:45:00+00:00,4295.02,structure_change,22.949999999999818,True,103.0
1,2025-12-16 17:00:00+00:00,2025-12-16 17:02:00+00:00,4305.32,breakout_next_open,4298.11,4326.95,7.210000000000036,21.63000000000011,120,2025-12-16 19:02:00+00:00,4298.11,4301.54,4293.39,4303.06,impulse_bar,1,0,2025-12-16 18:22:00+00:00,4298.11,stop_loss,-7.210000000000036,False,80.0
1,2025-12-17 13:15:00+00:00,2025-12-17 13:17:00+00:00,4328.37,breakout_next_open,4318.17,4358.969999999999,10.199999999999818,30.599999999999454,120,2025-12-17 15:45:00+00:00,4318.17,4322.07,4314.9,4327.92,impulse_bar,1,1,2025-12-17 15:45:00+00:00,4333.11,timeout,4.739999999999782,True,148.0
1,2025-12-17 16:45:00+00:00,2025-12-17 16:47:00+00:00,4333.63,breakout_next_open,4324.59,4360.75,9.039999999999964,27.11999999999989,120,2025-12-17 18:47:00+00:00,4324.59,4328.6,4323.65,4334.42,impulse_bar,1,0,2025-12-17 18:47:00+00:00,4330.54,timeout,-3.0900000000001455,False,120.0
1,2025-12-18 17:45:00+00:00,2025-12-18 17:47:00+00:00,4337.53,breakout_next_open,4326.83,4369.629999999999,10.699999999999818,32.099999999999454,120,2025-12-18 19:47:00+00:00,4326.83,4332.34,4326.31,4341.72,impulse_bar,1,0,2025-12-18 17:52:00+00:00,4326.83,stop_loss,-10.699999999999818,False,5.0
1,2025-12-22 15:45:00+00:00,2025-12-22 15:47:00+00:00,4430.63,breakout_next_open,4417.42,4470.26,13.210000000000036,39.63000000000011,120,2025-12-22 18:15:00+00:00,4417.42,4421.98,4416.75,4428.31,impulse_bar,1,2,2025-12-22 18:15:00+00:00,4437.35,timeout,6.720000000000255,True,148.0
