signal_ts,entry_time,entry_price,side,exit_time,exit_reason,pnl,scaled_half,win,target_updates
2025-06-03 13:45:00+00:00,2025-06-03 13:46:00+00:00,3348.48,-1,2025-06-03 13:47:00+00:00,trail_stop,5.0,True,True,0
2025-06-03 14:15:00+00:00,2025-06-03 14:16:00+00:00,3337.18,-1,2025-06-03 14:26:00+00:00,timeout,-8.0,False,False,0
2025-06-04 12:30:00+00:00,2025-06-04 12:31:00+00:00,3349.78,-1,2025-06-04 12:41:00+00:00,timeout,-3.869999999999891,False,False,0
2025-06-05 13:00:00+00:00,2025-06-05 13:01:00+00:00,3379.43,-1,2025-06-05 13:03:00+00:00,trail_stop,5.0,True,True,0
2025-06-05 14:15:00+00:00,2025-06-05 14:16:00+00:00,3377.73,-1,2025-06-05 14:26:00+00:00,timeout,0.01999999999998181,False,True,0
2025-06-05 14:45:00+00:00,2025-06-05 14:46:00+00:00,3372.98,-1,2025-06-05 14:49:00+00:00,trail_stop,5.0,True,True,0
2025-06-05 15:30:00+00:00,2025-06-05 15:31:00+00:00,3361.68,-1,2025-06-05 15:33:00+00:00,trail_stop,5.0,True,True,0
2025-06-06 12:30:00+00:00,2025-06-06 12:31:00+00:00,3350.95,1,2025-06-06 12:32:00+00:00,trail_stop,5.0,True,True,0
2025-06-06 12:45:00+00:00,2025-06-06 12:46:00+00:00,3353.01,-1,2025-06-06 12:56:00+00:00,timeout,-2.319999999999709,False,False,0
2025-06-06 13:45:00+00:00,2025-06-06 13:46:00+00:00,3349.63,1,2025-06-06 13:56:00+00:00,timeout,-4.480000000000018,False,False,0
2025-06-11 12:15:00+00:00,2025-06-11 12:16:00+00:00,3334.43,-1,2025-06-11 12:26:00+00:00,timeout,-7.900000000000091,False,False,0
2025-06-11 12:45:00+00:00,2025-06-11 12:46:00+00:00,3355.18,1,2025-06-11 12:56:00+00:00,timeout,-18.199999999999818,False,False,0
2025-06-11 13:00:00+00:00,2025-06-11 13:01:00+00:00,3338.18,-1,2025-06-11 13:05:00+00:00,trail_stop,5.0,True,True,0
2025-06-11 18:45:00+00:00,2025-06-11 18:46:00+00:00,3342.28,-1,2025-06-11 18:56:00+00:00,timeout,-2.319999999999709,False,False,0
2025-06-12 07:45:00+00:00,2025-06-12 07:46:00+00:00,3341.83,-1,2025-06-12 07:56:00+00:00,timeout,-1.650000000000091,False,False,0
2025-06-13 15:00:00+00:00,2025-06-13 15:01:00+00:00,3430.05,-1,2025-06-13 15:06:00+00:00,trail_stop,5.0,True,True,0
2025-06-16 13:30:00+00:00,2025-06-16 13:31:00+00:00,3416.0,-1,2025-06-16 13:39:00+00:00,trail_stop,5.0,True,True,0
2025-06-16 14:00:00+00:00,2025-06-16 14:01:00+00:00,3390.63,-1,2025-06-16 14:11:00+00:00,timeout,-1.75,False,False,0
2025-06-17 14:45:00+00:00,2025-06-17 14:46:00+00:00,3375.07,1,2025-06-17 14:52:00+00:00,trail_stop,5.0,True,True,0
2025-06-18 14:30:00+00:00,2025-06-18 14:31:00+00:00,3385.78,-1,2025-06-18 14:41:00+00:00,timeout,-0.34999999999990905,False,False,0
2025-06-23 14:15:00+00:00,2025-06-23 14:16:00+00:00,3377.56,-1,2025-06-23 14:26:00+00:00,timeout,-1.7200000000002547,False,False,0
2025-07-02 12:30:00+00:00,2025-07-02 12:31:00+00:00,3345.04,1,2025-07-02 12:41:00+00:00,timeout,2.8400000000001455,False,True,0
2025-07-03 12:45:00+00:00,2025-07-03 12:46:00+00:00,3314.03,-1,2025-07-03 12:56:00+00:00,timeout,-8.989999999999782,False,False,0
2025-07-16 15:00:00+00:00,2025-07-16 15:01:00+00:00,3341.24,1,2025-07-16 15:08:00+00:00,target_full,7.5,True,True,0
2025-07-16 15:30:00+00:00,2025-07-16 15:31:00+00:00,3372.69,1,2025-07-16 15:41:00+00:00,timeout,-7.150000000000091,False,False,0
2025-07-16 15:45:00+00:00,2025-07-16 15:46:00+00:00,3360.98,1,2025-07-16 15:55:00+00:00,trail_stop,5.0,True,True,0
2025-07-16 16:00:00+00:00,2025-07-16 16:01:00+00:00,3342.29,-1,2025-07-16 16:11:00+00:00,timeout,-8.309999999999945,False,False,0
2025-07-17 12:45:00+00:00,2025-07-17 12:46:00+00:00,3312.11,-1,2025-07-17 12:56:00+00:00,timeout,1.3200000000001637,False,True,0
2025-07-22 14:15:00+00:00,2025-07-22 14:16:00+00:00,3416.25,-1,2025-07-22 14:26:00+00:00,timeout,-4.539999999999964,False,False,0
2025-07-23 16:15:00+00:00,2025-07-23 16:16:00+00:00,3389.13,-1,2025-07-23 16:22:00+00:00,trail_stop,5.0,True,True,0
2025-07-23 16:30:00+00:00,2025-07-23 16:31:00+00:00,3385.18,-1,2025-07-23 16:41:00+00:00,timeout,-4.610000000000127,False,False,0
