name,pt,fh,sh,ob,cool,os,rec,slk,eh,tpx,slx,rr,hr_global,nt,pnl,wr,dd
F15S240_O-20C-40O-70R-50K10_H360_TP30SL20,0.4,15,240,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,28.676470588235293,15,88.78448110017234,53.333333333333336,-68.88726186473104
F60S120_O-20C-40O-70R-50K10_H360_TP35SL20,0.55,60,120,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,27.86259541984733,15,87.27139216593241,53.333333333333336,-62.76238077241578
F60S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.5,60,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,29.01498929336189,67,85.503589803875,47.76119402985074,-218.7175604732638
F30S120_O-20C-40O-70R-50K5_H360_TP30SL20,0.55,30,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,29.60812772133527,22,84.50686349648458,36.36363636363637,-101.91380339241186
F60S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.5,60,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,30.725190839694655,16,79.80549470369897,50.0,-81.97836317243855
F15S240_O-20C-40O-70R-50K5_H360_TP30SL20,0.45,15,240,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.425373134328357,13,76.84851372259436,53.84615384615385,-51.03723397043541
F15S240_O-20C-40O-70R-50K5_H360_TP30SL20,0.5,15,240,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.425373134328357,9,76.06495631701182,55.55555555555556,-51.03723397043541
F60S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,60,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,30.725190839694655,14,70.19750350368759,50.0,-70.97306619367555
F15S240_O-20C-40O-70R-50K10_H360_TP30SL20,0.5,15,240,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,28.676470588235293,10,68.3836500819516,50.0,-65.27726186473137
F15S240_O-20C-40O-70R-50K10_H360_TP30SL20,0.45,15,240,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,28.676470588235293,10,68.3836500819516,50.0,-65.27726186473137
F60S120_O-20C-40O-70R-50K10_H360_TP30SL15,0.45,60,120,-20,-40,-70,-50,10,360,0.3,0.15,2.0,27.86259541984733,16,66.36815624283827,37.5,-77.93196056112356
F30S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.5,30,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,32.04334365325077,27,65.82426478102661,44.44444444444444,-139.11552343229687
F60S120_O-20C-40O-70R-50K10_H360_TP30SL15,0.5,60,120,-20,-40,-70,-50,10,360,0.3,0.15,2.0,27.86259541984733,16,65.80815624283878,37.5,-77.93196056112356
F60S120_O-20C-40O-70R-50K10_H360_TP30SL15,0.55,60,120,-20,-40,-70,-50,10,360,0.3,0.15,2.0,27.86259541984733,12,59.772617337287556,41.66666666666667,-47.071785579311836
F30S120_O-20C-40O-70R-50K5_H360_TP30SL20,0.4,30,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,29.60812772133527,36,59.45177181802501,36.11111111111111,-101.91380339241186
F60S120_O-20C-40O-70R-50K10_H360_TP35SL20,0.45,60,120,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,27.86259541984733,19,58.01584413019282,47.368421052631575,-81.97836317243855
F15S240_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,15,240,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,28.676470588235293,8,52.33361527199577,50.0,-65.27726186473137
F15S240_O-20C-40O-70R-50K5_H360_TP30SL20,0.55,15,240,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.425373134328357,7,50.70352131706841,57.14285714285714,-51.03723397043541
F15S60_O-20C-40O-70R-50K5_H360_TP30SL20,0.55,15,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.338282078472957,298,50.408459217010204,41.2751677852349,-753.1230696015555
F30S60_O-20C-40O-70R-50K10_H360_TP30SL20,0.5,30,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.932713590084106,144,41.26497444070992,39.58333333333333,-336.32230030906567
F30S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,30,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,32.04334365325077,26,39.16915266719843,42.30769230769231,-139.11552343229687
F30S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.45,30,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,32.04334365325077,31,38.807367739415895,45.16129032258064,-171.71235421242545
F15S240_O-20C-40O-70R-50K5_H360_TP30SL20,0.4,15,240,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.425373134328357,17,38.4599817800472,47.05882352941176,-67.38206970968713
F30S120_O-20C-40O-70R-50K5_H240_TP30SL20,0.4,30,120,-20,-40,-70,-50,5,240,0.3,0.2,1.4999999999999998,28.011611030478957,31,32.44952474314687,41.935483870967744,-142.61734620352217
F60S120_O-20C-40O-70R-50K10_H360_TP35SL20,0.4,60,120,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,27.86259541984733,20,32.25653325276198,45.0,-81.97836317243855
F60S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.45,60,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,29.8876404494382,62,30.669639918048688,41.935483870967744,-122.05784373565075
F30S60_O-20C-40O-70R-50K5_H360_TP30SL20,0.55,30,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.699530516431924,167,27.993394962515595,39.52095808383233,-344.9060019354333
F30S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.45,30,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,29.1588785046729,91,23.89709505771316,39.56043956043956,-229.6168337601348
F30S60_O-20C-40O-70R-50K5_H360_TP30SL15,0.45,30,60,-20,-40,-70,-50,5,360,0.3,0.15,2.0,25.30943235168587,205,20.136518169042574,34.146341463414636,-288.72980983088746
F30S120_O-20C-40O-70R-50K5_H360_TP30SL20,0.5,30,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,29.60812772133527,26,17.23108649983169,30.76923076923077,-104.61719108075431
F60S120_O-20C-40O-70R-50K10_H360_TP35SL20,0.5,60,120,-20,-40,-70,-50,10,360,0.35,0.2,1.7499999999999998,27.86259541984733,18,12.937050094688857,44.44444444444444,-81.97836317243855
F30S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.4,30,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,32.04334365325077,36,12.11438913485199,41.66666666666667,-207.23598025524188
F30S60_O-20C-40O-70R-50K10_H360_TP30SL20,0.45,30,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.932713590084106,186,7.757145803757794,39.784946236559136,-441.927433214119
F30S90_O-20C-40O-70R-50K5_H360_TP30SL15,0.45,30,90,-20,-40,-70,-50,5,360,0.3,0.15,2.0,26.29757785467128,97,7.612416724030936,36.08247422680412,-163.96805187371774
F15S240_O-10C-40O-70R-50K10_H360_TP30SL20,0.55,15,240,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,28.35538752362949,4,6.495982687837568,50.0,-17.380098914230075
F15S240_O-10C-40O-70R-50K10_H360_TP30SL20,0.5,15,240,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,28.35538752362949,6,6.275883773607347,50.0,-34.76019782846015
F30S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.4,30,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,29.1588785046729,100,5.245999370282334,42.0,-261.18397614098103
F60S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,60,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,29.8876404494382,44,4.915278788141222,40.909090909090914,-119.02878183676512
F15S60_O-10C-40O-70R-50K10_H360_TP30SL20,0.4,15,60,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.72384034519957,474,1.321018759143044,39.24050632911392,-742.3628404026126
F15S120_O-10C-40O-70R-50K10_H360_TP30SL20,0.4,15,120,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.542126670540384,152,-8.658087482852352,38.81578947368421,-262.6144062182516
F15S120_O-10C-40O-70R-50K10_H360_TP30SL20,0.45,15,120,-10,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.542126670540384,133,-9.108408538372714,38.34586466165413,-229.83272323397023
F30S120_O-20C-40O-70R-50K5_H360_TP30SL20,0.45,30,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,29.60812772133527,30,-12.124198734612037,30.0,-110.78523683120238
F30S90_O-20C-40O-70R-50K5_H360_TP30SL15,0.55,30,90,-20,-40,-70,-50,5,360,0.3,0.15,2.0,26.29757785467128,65,-23.262386809424243,33.84615384615385,-150.73239154371322
F30S90_O-20C-40O-70R-50K5_H360_TP30SL15,0.4,30,90,-20,-40,-70,-50,5,360,0.3,0.15,2.0,26.29757785467128,108,-24.113820269599728,35.18518518518518,-223.9417312157393
F30S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,30,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,29.1588785046729,64,-43.69040842095683,37.5,-154.91833455280357
F60S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.4,60,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,29.01498929336189,85,-56.44521044788962,42.35294117647059,-303.1695882708136
F30S60_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,30,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.932713590084106,119,-63.72373882775673,38.655462184873954,-348.92977401267717
F15S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,15,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.241962774957702,105,-79.81360239753667,40.0,-217.68920856792374
F60S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.45,60,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,29.01498929336189,77,-98.64745946057246,42.857142857142854,-316.7927335273416
F30S60_O-20C-40O-70R-50K5_H360_TP30SL15,0.55,30,60,-20,-40,-70,-50,5,360,0.3,0.15,2.0,25.30943235168587,140,-99.44022448046007,32.857142857142854,-305.4793236615319
F60S90_O-20C-40O-70R-50K10_H360_TP30SL20,0.5,60,90,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,29.8876404494382,55,-101.38889967943487,40.0,-180.51358047827307
F15S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.5,15,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.241962774957702,123,-126.72052186365954,39.02439024390244,-293.2664638619317
F15S60_O-20C-40O-70R-50K5_H360_TP30SL20,0.45,15,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.338282078472957,405,-127.88180880822983,39.25925925925926,-934.9149565697903
F15S60_O-20C-40O-70R-50K5_H360_TP30SL20,0.5,15,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.338282078472957,357,-136.23063424654993,39.77591036414566,-823.0751497451188
F15S60_O-20C-40O-70R-50K5_H360_TP30SL20,0.4,15,60,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.338282078472957,470,-161.44653176186603,37.659574468085104,-978.1595067964854
F15S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.45,15,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.241962774957702,143,-167.50159166319008,38.46153846153847,-387.7513903058243
F15S120_O-20C-40O-70R-50K5_H360_TP30SL20,0.55,15,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.3039496279336,108,-194.7884145726607,37.03703703703704,-351.3616227186599
F15S60_O-20C-40O-70R-50K10_H360_TP30SL20,0.5,15,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.647181194091942,350,-209.7186810381745,39.42857142857143,-577.3719808344467
F30S60_O-20C-40O-70R-50K5_H360_TP30SL15,0.5,30,60,-20,-40,-70,-50,5,360,0.3,0.15,2.0,25.30943235168587,172,-219.90193844550458,31.3953488372093,-374.0388808991752
F15S120_O-20C-40O-70R-50K10_H360_TP30SL20,0.4,15,120,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.241962774957702,166,-240.1938710384611,37.34939759036144,-457.25749386000416
F30S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.55,30,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.80622837370242,88,-275.48195139151585,32.95454545454545,-335.35827005424244
F15S120_O-20C-40O-70R-50K5_H360_TP30SL20,0.5,15,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.3039496279336,132,-282.1308307773784,37.121212121212125,-534.0627992184345
F15S120_O-20C-40O-70R-50K5_H360_TP30SL20,0.45,15,120,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,27.3039496279336,165,-282.1600132665949,36.96969696969697,-535.3274700850147
F15S60_O-20C-40O-70R-50K10_H360_TP30SL20,0.4,15,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.647181194091942,470,-299.4004136683252,36.59574468085106,-768.4182368302027
F15S60_O-20C-40O-70R-50K10_H360_TP30SL20,0.55,15,60,-20,-40,-70,-50,10,360,0.3,0.2,1.4999999999999998,27.647181194091942,283,-308.54951183657977,40.63604240282685,-805.5274216588296
F15S90_O-20C-40O-70R-50K5_H360_TP30SL20,0.5,15,90,-20,-40,-70,-50,5,360,0.3,0.2,1.4999999999999998,28.88808139534883,238,-315.705929549938,38.23529411764706,-504.15913230559545
