entry,exit,pnl,reason,type,side
2024-01-02 14:32:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 14:34:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 14:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 14:46:00+00:00,,45.99999999999909,target_hit,dip_long_15m,1
2024-01-02 16:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 16:19:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 16:39:00+00:00,,30.0,target_hit,dip_long_15m,1
2024-01-02 16:47:00+00:00,,50.0,target_hit,dip_long_15m,1
2024-01-02 18:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 18:37:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 18:39:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 18:50:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-02 19:01:00+00:00,,39.100000000000364,timeout,dip_long_15m,1
2024-01-02 20:18:00+00:00,,-9.799999999999272,timeout,dip_long_15m,1
2024-01-03 15:36:00+00:00,,30.0,target_hit,dip_long_15m,1
2024-01-03 16:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-03 16:08:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-03 16:09:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-03 17:17:00+00:00,,30.0,target_hit,dip_long_15m,1
2024-01-03 19:17:00+00:00,,53.400000000000546,target_hit,dip_long_15m,1
2024-01-04 14:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-04 14:49:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-04 15:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-04 15:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-04 16:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-04 16:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-04 16:18:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-04 16:32:00+00:00,,34.19999999999982,target_hit,dip_long_15m,1
2024-01-04 19:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-04 19:17:00+00:00,,28.199999999999818,timeout,dip_long_15m,1
2024-01-04 20:16:00+00:00,,0.5,timeout,dip_long_15m,1
2024-01-05 15:04:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-05 15:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-05 15:47:00+00:00,,30.0,target_hit,dip_long_15m,1
2024-01-05 17:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-05 17:08:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-05 17:32:00+00:00,,41.69999999999982,timeout,dip_long_15m,1
2024-01-05 19:47:00+00:00,,0.1999999999998181,timeout,dip_long_15m,1
2024-01-08 14:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-08 14:47:00+00:00,,30.0,target_hit,dip_long_15m,1
2024-01-08 15:01:00+00:00,,36.0,target_hit,dip_long_15m,1
2024-01-08 16:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-08 16:49:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-08 17:20:00+00:00,,31.699999999999818,target_hit,dip_long_15m,1
2024-01-08 20:31:00+00:00,,-10.5,timeout,dip_long_15m,1
2024-01-09 14:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-09 14:34:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2024-01-09 14:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
