side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,wf_cycle,source,entry_ts,exit_ts,month
1,2025-06-12 08:18:00+00:00,3357.27,3351.187730047208,3370.425897258204,2025-06-12 11:36:00+00:00,45,0,0.5,0.6832079291343689,8.145897258203497,6.082269952791946,120,2025-06-12 10:18:00+00:00,3370.425897258204,target_hit,13.155897258203822,12,long,2025-06-12 08:18:00+00:00,2025-06-12 10:18:00+00:00,2025-06
1,2025-06-13 04:20:00+00:00,3427.93,3421.8477300472077,3437.4758972582035,2025-06-13 06:35:00+00:00,8,0,0.5,0.5029929280281067,8.145897258203497,6.082269952791946,120,2025-06-13 05:24:00+00:00,3421.8477300472077,stop_loss,-6.082269952792103,12,long,2025-06-13 04:20:00+00:00,2025-06-13 05:24:00+00:00,2025-06
1,2025-06-13 14:14:00+00:00,3429.53,3423.447730047208,3443.0258972582037,2025-06-13 16:37:00+00:00,13,0,0.5,0.5146995186805725,8.145897258203497,6.082269952791946,120,2025-06-13 15:06:00+00:00,3423.447730047208,stop_loss,-6.082269952792103,12,long,2025-06-13 14:14:00+00:00,2025-06-13 15:06:00+00:00,2025-06
1,2025-06-16 16:35:00+00:00,3399.78,3393.697730047208,3408.3958972582036,2025-06-16 19:18:00+00:00,29,0,0.5,0.5500990748405457,8.145897258203497,6.082269952791946,120,2025-06-16 17:34:00+00:00,3393.697730047208,stop_loss,-6.082269952792103,12,long,2025-06-16 16:35:00+00:00,2025-06-16 17:34:00+00:00,2025-06
1,2025-06-17 06:01:00+00:00,3391.48,3385.397730047208,3399.6258972582036,2025-06-17 08:01:00+00:00,1,0,0.5,0.6944753527641296,8.145897258203497,6.082269952791946,120,2025-06-17 06:42:00+00:00,3385.397730047208,stop_loss,-6.082269952792103,12,long,2025-06-17 06:01:00+00:00,2025-06-17 06:42:00+00:00,2025-06
1,2025-06-17 14:54:00+00:00,3382.78,3376.697730047208,3393.2258972582035,2025-06-17 17:24:00+00:00,8,0,0.5,0.4577710032463074,8.145897258203497,6.082269952791946,120,2025-06-17 15:42:00+00:00,3376.697730047208,stop_loss,-6.082269952792103,12,long,2025-06-17 14:54:00+00:00,2025-06-17 15:42:00+00:00,2025-06
1,2025-06-18 05:26:00+00:00,3392.03,3385.947730047208,3400.3658972582034,2025-06-18 07:36:00+00:00,4,0,0.5,0.6330579519271851,8.145897258203497,6.082269952791946,120,2025-06-18 05:37:00+00:00,3385.947730047208,stop_loss,-6.082269952792103,12,long,2025-06-18 05:26:00+00:00,2025-06-18 05:37:00+00:00,2025-06
1,2025-06-18 05:43:00+00:00,3386.63,3380.547730047208,3396.3758972582036,2025-06-18 08:01:00+00:00,17,0,0.5,0.8110162615776062,8.145897258203497,6.082269952791946,120,2025-06-18 06:44:00+00:00,3380.547730047208,stop_loss,-6.082269952792103,12,long,2025-06-18 05:43:00+00:00,2025-06-18 06:44:00+00:00,2025-06
1,2025-06-18 17:22:00+00:00,3389.68,3383.5977300472077,3398.2258972582035,2025-06-18 19:29:00+00:00,5,0,0.5,0.6038960218429565,8.145897258203497,6.082269952791946,120,2025-06-18 18:48:00+00:00,3383.5977300472077,stop_loss,-6.082269952792103,12,long,2025-06-18 17:22:00+00:00,2025-06-18 18:48:00+00:00,2025-06
1,2025-06-19 08:02:00+00:00,3363.9,3357.817730047208,3372.3758972582036,2025-06-19 10:02:00+00:00,1,0,0.5,0.6456850171089172,8.145897258203497,6.082269952791946,120,2025-06-19 09:24:00+00:00,3372.3758972582036,target_hit,8.475897258203531,12,long,2025-06-19 08:02:00+00:00,2025-06-19 09:24:00+00:00,2025-06
