signal_ts,side,ml_prob,pnl,exit_reason,scaled_half,bars_held,win
2025-10-01 03:03:00+00:00,-1,0.6488748788833618,-1.0,timeout,False,12,False
2025-10-01 12:15:00+00:00,1,0.7174471616744995,-15.0600000000004,timeout,False,12,False
2025-10-01 12:16:00+00:00,1,0.6972848773002625,-8.41000000000031,timeout,False,12,False
2025-10-01 12:24:00+00:00,-1,0.6175802946090698,5.0,trail_stop,True,3,True
2025-10-01 12:26:00+00:00,-1,0.664689302444458,1.25,timeout,False,12,True
2025-10-01 12:28:00+00:00,-1,0.7772852182388306,1.9400000000000546,timeout,False,12,True
2025-10-01 13:11:00+00:00,1,0.5518113374710083,-3.619999999999891,timeout,False,12,False
2025-10-01 15:17:00+00:00,-1,0.7386273741722107,5.0,trail_stop,True,12,True
2025-10-02 13:31:00+00:00,1,0.6307642459869385,-12.980000000000018,timeout,False,12,False
2025-10-02 13:45:00+00:00,1,0.8189367055892944,-8.900000000000091,timeout,False,12,False
2025-10-02 14:37:00+00:00,-1,0.5511502623558044,5.0,trail_stop,True,6,True
2025-10-02 14:38:00+00:00,-1,0.7460954785346985,5.0,trail_stop,True,2,True
2025-10-02 14:39:00+00:00,-1,0.8663267493247986,5.0,trail_stop,True,4,True
2025-10-02 14:42:00+00:00,-1,0.902833104133606,7.5,target_full,True,4,True
2025-10-02 14:46:00+00:00,-1,0.8823214769363403,5.0,trail_stop,True,4,True
2025-10-02 14:49:00+00:00,-1,0.7446274757385254,-10.61999999999989,timeout,False,12,False
2025-10-02 14:51:00+00:00,1,0.6504189372062683,5.0,trail_stop,True,8,True
2025-10-02 14:53:00+00:00,-1,0.8508474826812744,-9.579999999999927,timeout,False,12,False
2025-10-02 14:58:00+00:00,1,0.6075382232666016,5.0,trail_stop,True,2,True
2025-10-02 15:00:00+00:00,1,0.8245623707771301,-10.730000000000018,timeout,False,12,False
2025-10-02 15:03:00+00:00,-1,0.592823326587677,4.7999999999999545,timeout,True,12,True
2025-10-02 15:16:00+00:00,-1,0.5547831058502197,-5.829999999999927,timeout,False,12,False
2025-10-02 15:41:00+00:00,1,0.5824019908905029,5.0,trail_stop,True,2,True
2025-10-02 16:42:00+00:00,1,0.6029567718505859,-0.9400000000000546,timeout,False,12,False
2025-10-02 17:31:00+00:00,-1,0.7279274463653564,-0.9200000000000728,timeout,False,12,False
2025-10-03 13:03:00+00:00,-1,0.5749669671058655,-4.880000000000109,timeout,False,12,False
2025-10-03 13:31:00+00:00,-1,0.5550013780593872,-11.220000000000255,timeout,False,12,False
2025-10-03 14:14:00+00:00,-1,0.7442252039909363,-9.950000000000273,timeout,False,12,False
2025-10-03 14:16:00+00:00,1,0.6467549800872803,4.644999999999982,timeout,True,12,True
2025-10-03 15:08:00+00:00,-1,0.5773744583129883,-8.679999999999836,timeout,False,12,False
2025-10-06 05:31:00+00:00,-1,0.5715833306312561,1.4099999999998545,timeout,False,12,True
2025-10-06 07:58:00+00:00,1,0.7597000598907471,5.0,trail_stop,True,4,True
2025-10-06 13:41:00+00:00,1,0.5746840238571167,0.6900000000000546,timeout,False,12,True
2025-10-06 14:33:00+00:00,1,0.6903371810913086,3.549999999999727,timeout,False,12,True
2025-10-06 16:06:00+00:00,1,0.8012200593948364,-20.0,stop_loss,False,8,False
2025-10-06 16:14:00+00:00,-1,0.616696834564209,-4.440000000000055,timeout,False,12,False
2025-10-07 01:00:00+00:00,-1,0.7255791425704956,-1.5100000000002183,timeout,False,12,False
2025-10-07 07:22:00+00:00,-1,0.748399555683136,-11.7199999999998,timeout,False,12,False
2025-10-07 07:23:00+00:00,-1,0.5943784713745117,-7.4099999999998545,timeout,False,12,False
2025-10-07 08:22:00+00:00,1,0.8946738839149475,0.15999999999985448,timeout,False,12,True
2025-10-07 12:52:00+00:00,1,0.7071946263313293,3.799999999999727,timeout,False,12,True
2025-10-07 14:12:00+00:00,1,0.5869507193565369,5.0,trail_stop,True,7,True
2025-10-07 14:45:00+00:00,1,0.6363590955734253,2.1200000000003456,timeout,False,12,True
2025-10-07 15:46:00+00:00,-1,0.8752174973487854,5.0,trail_stop,True,3,True
2025-10-07 15:54:00+00:00,1,0.6039130091667175,5.0,trail_stop,True,9,True
2025-10-07 15:56:00+00:00,-1,0.7687100768089294,-9.2800000000002,timeout,False,12,False
2025-10-07 16:06:00+00:00,1,0.550247848033905,-6.289999999999964,timeout,False,12,False
2025-10-07 16:21:00+00:00,1,0.5719496011734009,2.9399999999996,timeout,False,12,True
2025-10-07 18:00:00+00:00,-1,0.665229856967926,-4.190000000000055,timeout,False,12,False
2025-10-08 00:30:00+00:00,-1,0.5574087500572205,-2.649999999999636,timeout,False,12,False
2025-10-08 05:44:00+00:00,-1,0.6615257859230042,1.599999999999909,timeout,False,12,True
2025-10-08 06:06:00+00:00,1,0.57379150390625,-8.5,timeout,False,12,False
2025-10-08 09:46:00+00:00,1,0.8220840096473694,4.099999999999909,timeout,False,12,True
2025-10-08 10:31:00+00:00,-1,0.7026841044425964,0.3500000000003638,timeout,False,12,True
2025-10-08 12:29:00+00:00,1,0.670299768447876,-6.320000000000164,timeout,False,12,False
2025-10-08 13:41:00+00:00,1,0.8066741824150085,5.0,trail_stop,True,11,True
2025-10-08 13:44:00+00:00,-1,0.6416499018669128,-6.819999999999709,timeout,False,12,False
2025-10-08 14:25:00+00:00,1,0.5719978213310242,2.6799999999998363,timeout,False,12,True
2025-10-08 18:15:00+00:00,-1,0.563222348690033,-9.820000000000164,timeout,False,12,False
2025-10-08 19:06:00+00:00,-1,0.8914064168930054,5.0,trail_stop,True,3,True
2025-10-08 19:09:00+00:00,-1,0.7573294639587402,-8.949999999999818,timeout,False,12,False
2025-10-08 19:10:00+00:00,1,0.8548463582992554,5.745000000000118,timeout,True,12,True
