side,entry_time,entry_price,stop,target,timeout,target_updates,stop_updates,s1_prob,s2_prob,tp,sl,horizon,matched_pattern,exit_time,exit_price,exit_reason,pnl,source
-1,2025-10-17 13:21:00+00:00,4309.8,4339.8,4218.89,2025-10-17 14:17:00+00:00,24,0,0.9946576952934265,0.005342304706573486,40.0,30.0,15,reversal_fvg_short,2025-10-17 14:14:00+00:00,4218.89,target_hit,90.90999999999985,pattern
1,2025-10-17 17:56:00+00:00,4220.83,4205.83,4241.7,2025-10-17 18:16:00+00:00,6,0,0.9870296716690063,0.9870296716690063,20.0,15.0,15,uptrend_retrace,2025-10-17 18:11:00+00:00,4241.7,target_hit,20.86999999999989,pattern
-1,2025-10-21 07:58:00+00:00,4301.93,4331.93,4249.08,2025-10-21 08:17:00+00:00,5,0,0.9796939492225647,0.020306050777435303,40.0,30.0,15,reversal_fvg_short,2025-10-21 08:14:00+00:00,4249.08,target_hit,52.850000000000364,pattern
-1,2025-10-21 12:02:00+00:00,4256.04,4286.04,4213.66,2025-10-21 12:18:00+00:00,2,0,0.988074004650116,0.011925995349884033,40.0,30.0,15,downtrend_retrace,2025-10-21 12:18:00+00:00,4229.04,timeout,27.0,pattern
-1,2025-10-21 14:04:00+00:00,4167.65,4197.65,4088.0200000000004,2025-10-21 14:52:00+00:00,28,0,0.8808686137199402,0.11913138628005981,40.0,30.0,15,reversal_fvg_short,2025-10-21 14:45:00+00:00,4088.0200000000004,target_hit,79.6299999999992,pattern
1,2025-10-21 14:50:00+00:00,4113.77,4098.77,4149.68,2025-10-21 15:21:00+00:00,14,0,0.9932635426521301,0.9932635426521301,20.0,15.0,15,uptrend_retrace,2025-10-21 15:11:00+00:00,4149.68,target_hit,35.909999999999854,pattern
1,2025-10-21 15:32:00+00:00,4127.27,4112.27,4148.76,2025-10-21 15:55:00+00:00,8,0,0.9907021522521973,0.9907021522521973,20.0,15.0,15,uptrend_retrace,2025-10-21 15:55:00+00:00,4144.63,timeout,17.359999999999673,pattern
-1,2025-10-21 23:51:00+00:00,4105.52,4135.52,4015.28,2025-10-22 00:35:00+00:00,7,0,0.959243893623352,0.04075610637664795,40.0,30.0,30,breakthrough_short,2025-10-22 00:10:00+00:00,4015.28,target_hit,90.24000000000024,pattern
1,2025-10-22 00:15:00+00:00,4038.21,4023.21,4090.77,2025-10-22 00:49:00+00:00,18,0,0.988854169845581,0.988854169845581,20.0,15.0,15,uptrend_retrace,2025-10-22 00:48:00+00:00,4090.77,target_hit,52.559999999999945,pattern
1,2025-10-22 00:56:00+00:00,4077.44,4062.44,4105.33,2025-10-22 01:17:00+00:00,7,0,0.9891772866249084,0.9891772866249084,20.0,15.0,15,uptrend_retrace,2025-10-22 01:06:00+00:00,4105.33,target_hit,27.889999999999873,pattern
1,2025-10-22 01:55:00+00:00,4091.73,4076.73,4118.03,2025-10-22 02:19:00+00:00,10,0,0.5809149146080017,0.5809149146080017,20.0,15.0,15,uptrend_retrace,2025-10-22 02:13:00+00:00,4118.03,target_hit,26.299999999999727,pattern
1,2025-10-22 03:23:00+00:00,4112.86,4097.86,4134.25,2025-10-22 03:43:00+00:00,2,0,0.9746522903442383,0.9746522903442383,20.0,15.0,15,uptrend_retrace,2025-10-22 03:37:00+00:00,4134.25,target_hit,21.390000000000327,pattern
-1,2025-10-22 07:58:00+00:00,4131.22,4161.22,4072.7200000000003,2025-10-22 08:23:00+00:00,11,0,0.9977771639823914,0.0022228360176086426,40.0,30.0,15,downtrend_retrace,2025-10-22 08:15:00+00:00,4072.7200000000003,target_hit,58.5,pattern
-1,2025-10-22 10:31:00+00:00,4086.06,4116.0599999999995,4046.06,2025-10-22 10:46:00+00:00,0,0,0.9842779040336609,0.01572209596633911,40.0,30.0,15,downtrend_retrace,2025-10-22 10:43:00+00:00,4046.06,target_hit,40.0,pattern
-1,2025-10-22 10:49:00+00:00,4055.25,4085.25,4010.61,2025-10-22 11:07:00+00:00,4,0,0.992171049118042,0.007828950881958008,40.0,30.0,15,downtrend_retrace,2025-10-22 11:07:00+00:00,4035.46,timeout,19.789999999999964,pattern
1,2025-10-22 13:02:00+00:00,4049.16,4034.16,4069.16,2025-10-22 13:17:00+00:00,0,0,0.9784851670265198,0.9784851670265198,20.0,15.0,15,uptrend_retrace,2025-10-22 13:17:00+00:00,4066.45,timeout,17.289999999999964,pattern
1,2025-10-22 13:24:00+00:00,4058.57,4043.57,4080.53,2025-10-22 13:50:00+00:00,12,0,0.5958729982376099,0.5958729982376099,20.0,15.0,15,uptrend_retrace,2025-10-22 13:39:00+00:00,4080.53,target_hit,21.960000000000036,pattern
1,2025-10-22 16:27:00+00:00,4042.2,4027.2,4063.88,2025-10-22 16:44:00+00:00,2,0,0.9681743383407593,0.9681743383407593,20.0,15.0,15,uptrend_retrace,2025-10-22 16:33:00+00:00,4063.88,target_hit,21.68000000000029,pattern
1,2025-10-24 12:52:00+00:00,4078.86,4063.86,4104.4400000000005,2025-10-24 13:16:00+00:00,10,0,0.9883636236190796,0.9883636236190796,20.0,15.0,15,uptrend_retrace,2025-10-24 13:07:00+00:00,4104.4400000000005,target_hit,25.580000000000382,pattern
1,2025-10-24 13:59:00+00:00,4107.59,4092.59,4128.06,2025-10-24 14:20:00+00:00,7,0,0.9910308122634888,0.9910308122634888,20.0,15.0,15,uptrend_retrace,2025-10-24 14:12:00+00:00,4128.06,target_hit,20.470000000000255,pattern
1,2025-10-29 08:01:00+00:00,4002.38,3987.38,4026.8,2025-10-29 08:22:00+00:00,2,0,0.6869845986366272,0.6869845986366272,20.0,15.0,15,reversal_fvg_long,2025-10-29 08:22:00+00:00,4007.38,timeout,5.0,pattern
1,2025-10-30 04:32:00+00:00,3963.74,3948.74,3984.12,2025-10-30 04:48:00+00:00,2,0,0.5971225500106812,0.5971225500106812,20.0,15.0,15,reversal_fvg_long,2025-10-30 04:48:00+00:00,3974.53,timeout,10.790000000000418,pattern
1,2025-10-30 09:06:00+00:00,3993.4,3978.4,4016.36,2025-10-30 09:24:00+00:00,4,0,0.5746020078659058,0.5746020078659058,20.0,15.0,15,reversal_fvg_long,2025-10-30 09:24:00+00:00,4000.56,timeout,7.1599999999998545,pattern
1,2025-11-18 08:41:00+00:00,4038.75,4023.75,4060.39,2025-11-18 09:10:00+00:00,3,0,0.6363400220870972,0.6363400220870972,20.0,15.0,15,reversal_fvg_long,2025-11-18 09:10:00+00:00,4032.39,timeout,-6.360000000000127,pattern
1,2025-11-18 13:38:00+00:00,4066.7,4051.7,4088.94,2025-11-18 14:11:00+00:00,15,0,0.71199631690979,0.71199631690979,20.0,15.0,15,reversal_fvg_long,2025-11-18 14:11:00+00:00,4072.04,timeout,5.3400000000001455,pattern
1,2025-11-21 12:32:00+00:00,4060.96,4045.96,4090.26,2025-11-21 13:04:00+00:00,11,0,0.5729401707649231,0.5729401707649231,20.0,15.0,15,reversal_fvg_long,2025-11-21 13:04:00+00:00,4059.92,timeout,-1.0399999999999636,pattern
1,2025-12-01 01:59:00+00:00,4253.55,4238.55,4273.55,2025-12-01 02:14:00+00:00,0,0,0.7026159763336182,0.7026159763336182,20.0,15.0,15,reversal_fvg_long,2025-12-01 02:14:00+00:00,4248.05,timeout,-5.5,pattern
