model,prob,signals,trades,wr,net,avg
logreg,0.5,391,240,44.6,1124.2,4.68
logreg,0.52,360,227,43.6,952.5,4.2
logreg,0.55,325,209,41.6,829.5,3.97
logreg,0.58,293,193,40.4,682.0,3.53
logreg,0.6,270,182,39.0,619.0,3.4
logreg,0.62,251,177,39.5,583.7,3.3
logreg,0.65,216,158,38.6,465.5,2.95
logreg,0.68,185,143,36.4,281.8,1.97
logreg,0.7,165,128,37.5,309.0,2.41
