mask,h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
B_wr30_recovery,360,0.2,0.25,0.8,141277,59099,41.83200379396504,17.322074096556566,21.652592620695703,59098
B_wr30_recovery,480,0.2,0.25,0.8,141277,58574,41.460393411524876,17.322074096556566,21.652592620695703,58574
B_wr30_recovery,240,0.2,0.25,0.8,141277,53937,38.17818894795331,17.322074096556566,21.652592620695703,53937
B_wr30_recovery,360,0.2,0.2,1.0,141277,53265,37.702527658429894,17.322074096556566,17.322074096556566,53265
B_wr30_recovery,480,0.25,0.25,1.0,141277,52802,37.37480269258266,21.652592620695703,21.652592620695703,52802
B_wr30_recovery,480,0.2,0.2,1.0,141277,51283,36.29960998605576,17.322074096556566,17.322074096556566,51283
B_wr30_recovery,360,0.25,0.25,1.0,141277,51091,36.163706760477645,21.652592620695703,21.652592620695703,51091
B_wr30_recovery,240,0.2,0.2,1.0,141277,49982,35.37872406690403,17.322074096556566,17.322074096556566,49982
B_wr30_recovery,480,0.3,0.25,1.2,141277,47098,33.33734436603269,25.983111144834844,21.652592620695703,47098
B_wr30_recovery,480,0.25,0.2,1.25,141277,46849,33.16109487036106,21.652592620695703,17.322074096556566,46849
B_wr30_recovery,360,0.25,0.2,1.25,141277,46467,32.89070407780459,21.652592620695703,17.322074096556566,46466
B_wr30_recovery,360,0.2,0.15,1.3333333333333335,141277,44568,31.54653623732101,17.322074096556566,12.991555572417422,44568
B_wr30_recovery,240,0.2,0.15,1.3333333333333335,141277,43733,30.95549877191616,17.322074096556566,12.991555572417422,43733
B_wr30_recovery,360,0.3,0.25,1.2,141277,43617,30.873390573129385,25.983111144834844,21.652592620695703,43617
B_wr30_recovery,240,0.25,0.25,1.0,141277,43131,30.52938553338477,21.652592620695703,21.652592620695703,43131
B_wr30_recovery,480,0.3,0.2,1.4999999999999998,141277,42160,29.842083283195425,25.983111144834844,17.322074096556566,42160
B_wr30_recovery,480,0.35,0.25,1.4,141277,41635,29.47047290075525,30.313629668973984,21.652592620695703,41634
B_wr30_recovery,480,0.2,0.15,1.3333333333333335,141277,41511,29.382702067569383,17.322074096556566,12.991555572417422,41510
B_wr30_recovery,240,0.25,0.2,1.25,141277,40104,28.38678624262973,21.652592620695703,17.322074096556566,40104
B_wr30_recovery,360,0.3,0.2,1.4999999999999998,141277,39819,28.185054892162203,25.983111144834844,17.322074096556566,39818
B_wr30_recovery,360,0.25,0.15,1.6666666666666667,141277,39716,28.112148474273944,21.652592620695703,12.991555572417422,39716
B_wr30_recovery,240,0.2,0.12,1.6666666666666667,141277,38785,27.45315939608004,17.322074096556566,10.393244457933935,38784
B_wr30_recovery,480,0.25,0.15,1.6666666666666667,141277,38773,27.44466544448141,21.652592620695703,12.991555572417422,38773
B_wr30_recovery,360,0.2,0.12,1.6666666666666667,141277,37518,26.55633967312443,17.322074096556566,10.393244457933935,37518
B_wr30_recovery,480,0.35,0.2,1.7499999999999998,141277,37387,26.463614034839356,30.313629668973984,17.322074096556566,37386
B_wr30_recovery,120,0.2,0.25,0.8,141277,37218,26.343990883158618,17.322074096556566,21.652592620695703,37218
