h,tpx,slx,rr,pt,hr_mask,nt,pnl,wr,dd,n_cycles
480,0.8,0.1,8.0,0.4,6.1,62,-111.1,17.7,-506.5,18
60,0.8,0.1,8.0,0.4,0.2,7,-111.1,28.6,-93.7,10
480,0.45,0.2,2.25,0.3,21.7,251,-111.7,33.9,-921.2,23
480,0.35,0.15,2.33,0.4,34.6,345,-112.3,25.2,-939.9,23
120,0.4,0.3,1.33,0.4,5.5,78,-112.8,50.0,-393.7,23
120,0.35,0.12,2.92,0.45,7.9,115,-113.0,34.8,-255.3,23
480,0.35,0.12,2.92,0.45,34.6,385,-119.3,21.8,-1062.9,23
240,0.4,0.12,3.33,0.35,13.5,219,-125.4,27.9,-538.6,23
60,0.8,0.15,5.33,0.35,0.2,6,-130.1,33.3,-98.7,10
60,0.8,0.1,8.0,0.35,0.2,8,-130.1,25.0,-112.6,10
60,0.8,0.3,2.67,0.4,0.2,4,-130.1,50.0,-56.9,10
60,0.8,0.3,2.67,0.45,0.2,4,-130.1,50.0,-56.9,10
60,0.8,0.3,2.67,0.5,0.2,4,-130.1,50.0,-56.9,10
60,0.8,0.1,8.0,0.3,0.2,8,-130.1,25.0,-112.6,10
60,0.8,0.15,5.33,0.3,0.2,6,-130.1,33.3,-98.7,10
120,0.45,0.3,1.5,0.35,3.8,63,-131.5,49.2,-335.8,18
480,0.35,0.15,2.33,0.5,34.6,313,-131.6,25.9,-905.8,23
120,0.45,0.1,4.5,0.4,3.8,70,-132.3,28.6,-241.6,18
120,0.45,0.12,3.75,0.35,3.8,82,-133.9,31.7,-286.0,18
240,0.4,0.2,2.0,0.35,13.5,171,-135.5,38.0,-404.1,23
60,0.8,0.2,4.0,0.4,0.2,5,-139.0,40.0,-93.7,10
60,0.8,0.2,4.0,0.5,0.2,5,-139.0,40.0,-93.7,10
60,0.8,0.2,4.0,0.45,0.2,5,-139.0,40.0,-93.7,10
480,0.3,0.25,1.2,0.3,41.8,301,-142.5,38.5,-981.7,23
480,0.4,0.1,4.0,0.3,28.4,445,-153.3,17.8,-1014.9,23
60,0.8,0.35,2.29,0.45,0.2,4,-153.5,50.0,-66.4,10
60,0.8,0.35,2.29,0.5,0.2,4,-153.5,50.0,-66.4,10
60,0.8,0.35,2.29,0.4,0.2,4,-153.5,50.0,-66.4,10
120,0.4,0.35,1.14,0.4,5.5,76,-164.7,50.0,-437.5,23
480,0.35,0.2,1.75,0.4,34.6,293,-169.8,31.1,-806.5,23
480,0.35,0.3,1.17,0.45,34.6,235,-175.5,41.7,-1127.9,23
60,0.8,0.25,3.2,0.5,0.2,5,-176.3,40.0,-117.1,10
60,0.8,0.25,3.2,0.45,0.2,5,-176.3,40.0,-117.1,10
60,0.8,0.25,3.2,0.4,0.2,5,-176.3,40.0,-117.1,10
60,0.8,0.2,4.0,0.35,0.2,6,-176.9,33.3,-131.6,10
60,0.8,0.2,4.0,0.3,0.2,6,-176.9,33.3,-131.6,10
60,0.8,0.3,2.67,0.35,0.2,5,-186.9,40.0,-113.8,10
60,0.8,0.3,2.67,0.3,0.2,5,-186.9,40.0,-113.8,10
120,0.45,0.35,1.29,0.35,3.8,62,-191.4,50.0,-387.1,18
240,0.4,0.12,3.33,0.4,13.5,203,-191.5,28.1,-512.2,23
480,0.35,0.1,3.5,0.45,34.6,448,-192.1,18.5,-1032.9,23
120,0.3,0.1,3.0,0.4,11.8,262,-192.3,27.5,-567.2,23
120,0.45,0.15,3.0,0.4,3.8,62,-195.3,37.1,-392.8,18
120,0.4,0.35,1.14,0.45,5.5,65,-196.2,49.2,-323.4,23
240,0.3,0.25,1.2,0.3,24.9,275,-198.3,40.0,-935.9,23
120,0.45,0.1,4.5,0.45,3.8,63,-201.8,27.0,-324.0,18
480,0.8,0.1,8.0,0.45,6.1,55,-202.2,18.2,-440.7,18
480,0.3,0.25,1.2,0.35,41.8,294,-203.4,38.8,-1038.3,23
120,0.4,0.35,1.14,0.5,5.5,56,-203.9,48.2,-344.3,23
120,0.45,0.15,3.0,0.5,3.8,49,-204.4,32.7,-336.0,18
480,0.35,0.12,2.92,0.3,34.6,446,-209.6,21.3,-1039.2,23
240,0.4,0.15,2.67,0.35,13.5,193,-209.6,31.6,-480.1,23
120,0.45,0.1,4.5,0.5,3.8,56,-211.4,26.8,-313.6,18
480,0.35,0.1,3.5,0.4,34.6,467,-212.5,17.6,-1069.3,23
480,0.35,0.25,1.4,0.45,34.6,254,-216.2,37.0,-1088.5,23
240,0.4,0.1,4.0,0.4,13.5,220,-218.6,24.5,-506.1,23
60,0.8,0.35,2.29,0.35,0.2,5,-219.8,40.0,-132.7,10
60,0.8,0.35,2.29,0.3,0.2,5,-219.8,40.0,-132.7,10
60,0.8,0.25,3.2,0.35,0.2,6,-223.7,33.3,-164.5,10
60,0.8,0.25,3.2,0.3,0.2,6,-223.7,33.3,-164.5,10
480,0.35,0.25,1.4,0.5,34.6,245,-226.4,37.1,-1104.9,23
120,0.3,0.1,3.0,0.3,11.8,327,-226.6,28.4,-766.0,23
480,0.8,0.12,6.67,0.45,6.1,50,-226.6,20.0,-452.2,18
120,0.45,0.2,2.25,0.35,3.8,70,-229.0,40.0,-492.5,18
480,0.35,0.3,1.17,0.4,34.6,242,-234.0,40.9,-1103.3,23
480,0.8,0.12,6.67,0.5,6.1,45,-243.3,20.0,-413.3,18
480,0.3,0.25,1.2,0.4,41.8,285,-243.9,38.2,-1095.0,23
480,0.8,0.1,8.0,0.5,6.1,51,-248.4,15.7,-408.5,18
120,0.3,0.1,3.0,0.45,11.8,228,-248.7,26.8,-714.7,23
120,0.45,0.15,3.0,0.45,3.8,56,-273.4,33.9,-414.0,18
480,0.35,0.1,3.5,0.5,34.6,433,-281.7,18.2,-1033.9,23
480,0.8,0.15,5.33,0.5,6.1,40,-289.8,22.5,-446.1,18
480,0.35,0.3,1.17,0.5,34.6,226,-291.9,41.2,-1103.8,23
120,0.3,0.1,3.0,0.5,11.8,202,-292.5,25.7,-647.5,23
480,0.35,0.12,2.92,0.5,34.6,380,-292.9,21.1,-1135.7,23
480,0.8,0.15,5.33,0.45,6.1,45,-294.0,22.2,-495.2,18
120,0.45,0.12,3.75,0.4,3.8,67,-299.3,31.3,-374.2,18
480,0.35,0.12,2.92,0.4,34.6,406,-299.6,20.4,-1165.2,23
120,0.45,0.12,3.75,0.5,3.8,54,-309.2,27.8,-421.1,18
120,0.3,0.15,2.0,0.45,11.8,194,-311.8,36.1,-722.1,23
120,0.3,0.1,3.0,0.35,11.8,295,-313.9,26.4,-694.8,23
120,0.45,0.2,2.25,0.4,3.8,60,-326.6,40.0,-512.9,18
120,0.3,0.2,1.5,0.4,11.8,202,-326.9,42.1,-881.3,23
120,0.45,0.25,1.8,0.4,3.8,55,-333.3,45.5,-542.9,18
120,0.3,0.25,1.2,0.4,11.8,187,-335.1,45.5,-812.0,23
120,0.3,0.15,2.0,0.5,11.8,175,-335.3,35.4,-713.0,23
240,0.3,0.25,1.2,0.4,24.9,260,-335.8,40.8,-972.5,23
240,0.3,0.2,1.5,0.5,24.9,248,-338.6,35.9,-735.6,23
240,0.3,0.12,2.5,0.4,24.9,373,-338.9,27.1,-1023.2,23
120,0.45,0.3,1.5,0.4,3.8,52,-343.7,48.1,-495.9,18
120,0.45,0.2,2.25,0.5,3.8,49,-349.3,34.7,-551.4,18
240,0.3,0.25,1.2,0.35,24.9,270,-353.2,41.5,-1036.7,23
120,0.3,0.12,2.5,0.4,11.8,239,-356.6,29.7,-734.3,23
120,0.3,0.25,1.2,0.3,11.8,227,-359.3,44.9,-927.8,23
120,0.45,0.3,1.5,0.5,3.8,43,-359.4,41.9,-541.7,18
120,0.45,0.25,1.8,0.5,3.8,44,-360.3,38.6,-552.0,18
480,0.35,0.25,1.4,0.3,34.6,289,-361.7,36.3,-1153.6,23
240,0.3,0.12,2.5,0.5,24.9,322,-366.4,26.1,-807.3,23
120,0.45,0.12,3.75,0.45,3.8,60,-369.1,28.3,-490.4,18
120,0.3,0.25,1.2,0.45,11.8,166,-369.2,45.2,-829.8,23
120,0.45,0.35,1.29,0.4,3.8,51,-373.6,49.0,-537.2,18
120,0.45,0.35,1.29,0.5,3.8,41,-384.4,41.5,-615.5,18
120,0.3,0.2,1.5,0.45,11.8,178,-386.4,41.0,-845.0,23
240,0.3,0.25,1.2,0.5,24.9,227,-405.7,38.8,-779.4,23
120,0.45,0.25,1.8,0.45,3.8,50,-408.8,42.0,-607.2,18
120,0.3,0.2,1.5,0.3,11.8,247,-412.6,41.3,-953.0,23
120,0.3,0.12,2.5,0.5,11.8,187,-413.4,29.4,-738.9,23
120,0.45,0.2,2.25,0.45,3.8,55,-417.9,36.4,-627.0,18
120,0.3,0.12,2.5,0.45,11.8,212,-424.3,30.2,-794.5,23
120,0.3,0.12,2.5,0.3,11.8,300,-425.1,31.3,-949.9,23
120,0.3,0.15,2.0,0.4,11.8,219,-427.2,34.7,-832.4,23
240,0.3,0.2,1.5,0.3,24.9,305,-447.0,36.1,-1094.0,23
240,0.3,0.1,3.0,0.5,24.9,361,-456.6,22.2,-944.2,23
240,0.3,0.15,2.0,0.5,24.9,280,-457.4,30.4,-863.4,23
480,0.3,0.2,1.5,0.3,41.8,347,-460.2,32.6,-1238.7,23
240,0.3,0.2,1.5,0.35,24.9,297,-460.3,37.7,-1138.2,23
120,0.3,0.25,1.2,0.35,11.8,208,-468.7,42.8,-916.5,23
120,0.3,0.2,1.5,0.5,11.8,161,-483.4,39.1,-889.0,23
120,0.45,0.35,1.29,0.45,3.8,47,-484.8,44.7,-722.6,18
120,0.3,0.2,1.5,0.35,11.8,225,-505.1,39.6,-936.8,23
480,0.3,0.2,1.5,0.35,41.8,342,-506.4,33.0,-1255.1,23
120,0.3,0.25,1.2,0.5,11.8,149,-507.5,43.6,-960.0,23
240,0.3,0.15,2.0,0.45,24.9,306,-520.0,30.1,-1045.3,23
240,0.3,0.12,2.5,0.45,24.9,354,-520.4,26.0,-1029.9,23
120,0.45,0.3,1.5,0.45,3.8,49,-521.5,42.9,-710.5,18
480,0.3,0.15,2.0,0.35,41.8,405,-527.2,25.9,-1141.2,23
240,0.3,0.1,3.0,0.45,24.9,399,-532.3,22.1,-1137.5,23
480,0.3,0.15,2.0,0.3,41.8,413,-540.1,25.7,-1178.8,23
240,0.3,0.2,1.5,0.4,24.9,284,-543.0,37.0,-1152.9,23
240,0.3,0.12,2.5,0.35,24.9,396,-556.6,26.5,-1270.1,23
120,0.3,0.12,2.5,0.35,11.8,273,-565.8,28.9,-939.0,23
120,0.3,0.15,2.0,0.3,11.8,276,-574.2,35.1,-1120.2,23
480,0.3,0.25,1.2,0.45,41.8,280,-576.0,37.9,-1369.3,23
480,0.3,0.2,1.5,0.4,41.8,332,-587.3,31.9,-1273.8,23
240,0.3,0.25,1.2,0.45,24.9,251,-589.9,38.2,-1011.0,23
240,0.3,0.1,3.0,0.4,24.9,424,-603.9,22.6,-1286.5,23
240,0.3,0.15,2.0,0.4,24.9,329,-605.5,30.4,-1148.4,23
480,0.3,0.1,3.0,0.3,41.8,544,-626.4,18.4,-1295.0,23
120,0.3,0.15,2.0,0.35,11.8,247,-635.0,33.6,-1044.8,23
240,0.3,0.2,1.5,0.45,24.9,274,-644.0,35.0,-1100.9,23
480,0.3,0.1,3.0,0.35,41.8,521,-675.9,18.2,-1334.3,23
480,0.3,0.1,3.0,0.4,41.8,508,-677.3,18.1,-1313.5,23
480,0.3,0.15,2.0,0.4,41.8,392,-686.0,24.7,-1287.7,23
480,0.3,0.25,1.2,0.5,41.8,278,-736.4,37.4,-1320.1,23
480,0.3,0.1,3.0,0.45,41.8,492,-743.4,18.7,-1486.8,23
