horizon,trades,win_rate,target_hit_rate,stop_hit_rate,timeout_rate,pnl
15,523,47.992351816443595,14.149139579349903,16.826003824091778,69.02485659655831,-297.1799999999944
30,520,50.76923076923077,24.03846153846154,26.53846153846154,49.42307692307693,-81.20999999999594
45,516,51.93798449612403,28.875968992248062,30.620155038759687,40.50387596899225,224.11000000000558
60,514,52.14007782101168,31.1284046692607,33.65758754863813,35.21400778210117,96.19000000000369
90,510,50.588235294117645,39.01960784313726,38.23529411764706,22.745098039215687,197.44999999999663
120,507,52.26824457593688,41.02564102564102,41.42011834319527,17.554240631163708,149.61999999999898
