direction,deal_id,signal_bar_time,entry_bar_time,entry_time,exit_time,entry_price,entry_price_initial,exit_price,size,probability,bars_held,exit_reason,close_source,close_reason_broker,target_updates,last_target_signal_time,last_target_price,pnl_usd,pnl_pct
LONG,DIAAAARCG2TSMAU,2026-04-19T23:52:00+00:00,2026-04-19T23:53:00+00:00,2026-04-19T23:53:00+00:00,2026-04-20T00:53:05.679000+00:00,4750.03,4750.03,4760.66,2.0,0.9742250100974306,0,timeout,bot_max_hold_timeout,SUCCESS,1,2026-04-20T00:03:00+00:00,4750.97,21.26000000000022,0.22378806028593734
LONG,DIAAAARCWMTULAH,2026-04-21T19:42:00+00:00,2026-04-21T19:43:00+00:00,2026-04-21T19:43:00+00:00,2026-04-21T20:33:05.847000+00:00,4679.01,4680.1,4707.41,2.0,0.9956570015680799,0,timeout,bot_max_hold_timeout,SUCCESS,3,2026-04-21T20:12:00+00:00,4699.81,56.79999999999927,0.6069660034921839
LONG,DIAAAARCYA2XBAG,2026-04-22T04:11:00+00:00,2026-04-22T04:12:00+00:00,2026-04-22T04:12:00+00:00,2026-04-22T04:26:05.858662+00:00,4758.62,4758.68,4756.86,2.0,0.9999938872344969,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,3,2026-04-22T04:20:00+00:00,4756.86,-3.5200000000004366,-0.03698551260660062
LONG,DIAAAARC6BZJ2AE,2026-04-23T00:10:00+00:00,2026-04-23T00:11:00+00:00,2026-04-23T00:11:00+00:00,2026-04-23T00:15:05.775258+00:00,4711.94,4713.07,4711.94,2.0,0.9937107208782544,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,0,,,0.0,0.0
LONG,DIAAAARC6EL5RAG,2026-04-23T00:14:00+00:00,2026-04-23T00:15:00+00:00,2026-04-23T00:15:00+00:00,2026-04-23T00:22:06.049000+00:00,4699.77,4699.54,4729.69,2.0,0.9953794635737278,0,reverse_signal,bot_active_close,SUCCESS,1,2026-04-23T00:15:00+00:00,4699.77,59.83999999999833,0.6366268987631131
SHORT,DIAAAARC6JWZBA3,2026-04-23T00:22:00+00:00,2026-04-23T00:23:00+00:00,2026-04-23T00:23:00+00:00,2026-04-23T00:25:06.059000+00:00,4730.94,4730.66,4728.9,2.0,0.8248894730846924,0,reverse_signal,bot_active_close,SUCCESS,0,,,4.079999999999927,0.04312039467843523
SHORT,DIAAAARC6KB85BD,2026-04-23T00:25:00+00:00,2026-04-23T00:26:00+00:00,2026-04-23T00:26:00+00:00,2026-04-23T00:52:05.811963+00:00,4734.32,4735.49,4734.32,2.0,0.6414036676527639,0,broker_closed,broker_closed_detected,position_missing_from_open_positions,1,2026-04-23T00:26:00+00:00,4734.32,0.0,0.0
SHORT,DIAAAARDDEVFRAV,2026-04-23T18:04:00+00:00,2026-04-23T18:05:00+00:00,2026-04-23T18:05:00+00:00,2026-04-23T19:01:05.709000+00:00,4714.62,4712.93,4702.13,2.0,0.988130177451598,0,timeout,bot_max_hold_timeout,SUCCESS,1,2026-04-23T18:10:00+00:00,4711.64,24.979999999999563,0.26492060865986616
LONG,DIAAAARDD8LL8A4,2026-04-23T20:41:00+00:00,2026-04-23T20:42:00+00:00,2026-04-23T20:42:00+00:00,2026-04-23T22:00:05.727000+00:00,4690.45,4690.43,4690.45,2.0,0.9999831985979671,0,timeout,bot_max_hold_timeout,MARKET_CLOSED_WITH_EDITS,0,,,0.0,0.0
LONG,DIAAAARDEFFG6AD,2026-04-23T23:03:00+00:00,2026-04-23T23:04:00+00:00,2026-04-23T23:04:00+00:00,2026-04-23T23:54:05.756000+00:00,4694.87,4694.38,4696.93,2.0,0.9999701292597456,0,timeout,bot_max_hold_timeout,SUCCESS,0,,,4.1200000000008,0.04387767925417318
