timestamp,actual,predicted
2025-05-21 01:00:00+00:00,1,1
2025-05-21 01:01:00+00:00,1,1
2025-05-21 12:20:00+00:00,0,0
2025-05-21 12:28:00+00:00,0,0
2025-05-21 13:46:00+00:00,0,0
2025-05-21 17:30:00+00:00,0,0
2025-05-22 11:00:00+00:00,0,0
2025-05-22 11:55:00+00:00,0,0
2025-05-22 12:37:00+00:00,0,0
2025-05-22 13:51:00+00:00,0,0
2025-05-22 13:59:00+00:00,0,0
2025-05-22 14:00:00+00:00,1,0
2025-05-22 14:01:00+00:00,0,0
2025-05-22 14:07:00+00:00,0,0
2025-05-22 14:08:00+00:00,0,0
2025-05-22 15:07:00+00:00,0,0
2025-05-23 11:44:00+00:00,1,1
2025-05-23 11:48:00+00:00,0,1
2025-05-23 11:49:00+00:00,0,1
2025-05-23 11:54:00+00:00,0,1
2025-05-23 11:57:00+00:00,0,1
2025-05-23 12:01:00+00:00,0,1
2025-05-23 12:02:00+00:00,0,1
2025-05-23 12:07:00+00:00,0,1
2025-05-23 12:11:00+00:00,0,1
2025-05-23 12:13:00+00:00,0,1
2025-05-23 13:00:00+00:00,1,0
2025-05-23 13:20:00+00:00,0,0
2025-05-23 13:21:00+00:00,0,0
2025-05-23 13:32:00+00:00,0,0
2025-05-23 13:35:00+00:00,0,0
2025-05-23 13:36:00+00:00,0,0
2025-05-23 13:58:00+00:00,0,0
2025-05-27 05:46:00+00:00,0,1
2025-05-27 06:46:00+00:00,0,1
2025-05-27 07:51:00+00:00,0,1
2025-05-27 08:00:00+00:00,0,1
2025-05-27 13:00:00+00:00,0,0
2025-05-27 14:00:00+00:00,0,1
2025-05-30 12:11:00+00:00,0,1
2025-05-30 12:12:00+00:00,0,1
2025-05-30 12:13:00+00:00,0,1
2025-05-30 13:16:00+00:00,1,0
2025-05-30 13:45:00+00:00,0,1
2025-06-02 13:30:00+00:00,1,0
2025-06-02 13:54:00+00:00,0,0
2025-06-03 13:30:00+00:00,1,0
2025-06-03 13:46:00+00:00,0,0
2025-06-03 14:00:00+00:00,0,0
2025-06-03 14:07:00+00:00,0,0
2025-06-04 12:15:00+00:00,0,1
2025-06-04 12:32:00+00:00,0,1
2025-06-05 12:49:00+00:00,0,1
2025-06-05 13:00:00+00:00,0,1
2025-06-05 13:06:00+00:00,0,1
2025-06-05 13:33:00+00:00,0,0
2025-06-05 13:37:00+00:00,0,0
2025-06-05 14:05:00+00:00,0,0
2025-06-05 14:06:00+00:00,0,0
2025-06-05 14:41:00+00:00,0,0
2025-06-05 14:59:00+00:00,0,0
2025-06-05 15:06:00+00:00,1,0
2025-06-05 15:15:00+00:00,1,0
2025-06-05 15:48:00+00:00,0,0
2025-06-05 15:54:00+00:00,0,0
2025-06-06 12:30:00+00:00,0,1
2025-06-06 12:31:00+00:00,0,1
2025-06-06 12:32:00+00:00,0,0
2025-06-06 12:33:00+00:00,0,1
2025-06-06 12:34:00+00:00,0,1
2025-06-06 12:40:00+00:00,0,1
2025-06-06 12:44:00+00:00,0,0
2025-06-06 13:00:00+00:00,0,0
2025-06-06 13:18:00+00:00,0,0
2025-06-06 13:31:00+00:00,1,0
2025-06-06 13:32:00+00:00,1,0
2025-06-06 13:42:00+00:00,1,0
2025-06-06 14:16:00+00:00,0,0
2025-06-06 14:17:00+00:00,0,0
2025-06-06 14:24:00+00:00,0,0
2025-06-06 14:30:00+00:00,0,0
2025-06-16 13:18:00+00:00,1,0
2025-06-16 13:44:00+00:00,1,0
2025-06-16 13:54:00+00:00,0,0
2025-06-16 13:57:00+00:00,0,1
2025-06-17 03:23:00+00:00,0,1
2025-06-17 14:37:00+00:00,0,0
2025-06-17 14:39:00+00:00,0,0
2025-06-18 14:20:00+00:00,0,0
2025-06-18 14:21:00+00:00,0,1
2025-06-18 14:25:00+00:00,0,0
2025-06-18 14:30:00+00:00,0,0
2025-06-18 18:08:00+00:00,0,0
2025-06-18 18:40:00+00:00,0,0
2025-06-18 19:13:00+00:00,0,0
2025-06-20 14:00:00+00:00,0,0
2025-06-23 13:46:00+00:00,0,0
2025-06-23 14:04:00+00:00,0,0
2025-06-23 16:42:00+00:00,0,0
2025-06-23 16:43:00+00:00,0,0
2025-06-24 12:30:00+00:00,0,1
2025-06-24 13:40:00+00:00,0,1
2025-06-24 15:20:00+00:00,0,0
2025-06-26 12:30:00+00:00,1,1
2025-06-26 13:46:00+00:00,0,0
2025-06-27 13:05:00+00:00,0,1
2025-06-27 13:32:00+00:00,0,0
2025-07-02 12:15:00+00:00,0,1
2025-07-03 12:30:00+00:00,1,1
2025-07-03 12:34:00+00:00,0,1
2025-07-03 12:37:00+00:00,0,1
2025-07-03 12:38:00+00:00,0,0
2025-07-03 12:39:00+00:00,0,1
2025-07-03 12:43:00+00:00,1,1
2025-07-03 12:51:00+00:00,0,1
2025-07-03 13:03:00+00:00,0,0
2025-07-03 13:10:00+00:00,0,0
2025-07-08 16:57:00+00:00,0,0
2025-07-11 13:41:00+00:00,0,0
2025-07-15 12:31:00+00:00,0,1
2025-07-15 13:35:00+00:00,0,1
2025-07-15 13:46:00+00:00,0,1
2025-07-15 15:31:00+00:00,0,1
2025-07-16 12:33:00+00:00,0,0
2025-07-16 14:54:00+00:00,1,0
2025-07-16 14:56:00+00:00,1,0
2025-07-16 15:03:00+00:00,1,0
2025-07-16 15:16:00+00:00,0,0
2025-07-16 15:17:00+00:00,0,0
2025-07-16 15:19:00+00:00,1,0
2025-07-16 15:21:00+00:00,0,0
2025-07-16 15:26:00+00:00,0,0
2025-07-16 15:30:00+00:00,1,0
2025-07-16 15:31:00+00:00,1,0
2025-07-16 15:35:00+00:00,1,0
2025-07-16 15:36:00+00:00,1,0
2025-07-16 15:37:00+00:00,1,0
2025-07-16 15:42:00+00:00,1,0
2025-07-16 15:46:00+00:00,1,1
2025-07-16 15:50:00+00:00,1,0
2025-07-16 15:54:00+00:00,1,0
2025-07-16 15:55:00+00:00,0,1
2025-07-16 16:05:00+00:00,0,0
2025-07-16 16:15:00+00:00,0,0
2025-07-17 12:30:00+00:00,0,1
2025-07-17 12:34:00+00:00,0,1
2025-07-17 12:44:00+00:00,0,0
2025-07-17 13:36:00+00:00,0,1
2025-07-21 13:46:00+00:00,0,1
2025-07-22 14:00:00+00:00,1,1
2025-07-22 14:01:00+00:00,0,1
2025-07-23 12:21:00+00:00,0,1
2025-07-23 13:16:00+00:00,0,1
2025-07-23 13:34:00+00:00,0,1
2025-07-23 15:55:00+00:00,1,1
2025-07-23 15:57:00+00:00,0,1
2025-07-23 16:00:00+00:00,0,0
2025-07-23 16:01:00+00:00,0,0
2025-07-23 16:05:00+00:00,0,1
2025-07-23 16:12:00+00:00,0,0
2025-07-23 16:16:00+00:00,0,1
2025-07-23 16:21:00+00:00,0,1
2025-07-24 12:02:00+00:00,0,1
2025-07-28 13:50:00+00:00,0,1
2025-07-28 13:53:00+00:00,0,0
2025-07-28 13:54:00+00:00,0,1
2025-07-28 13:58:00+00:00,0,1
2025-07-28 14:00:00+00:00,0,1
2025-07-29 13:31:00+00:00,0,1
2025-07-29 13:36:00+00:00,0,1
2025-07-30 13:33:00+00:00,0,0
2025-07-30 15:20:00+00:00,0,0
2025-07-30 18:34:00+00:00,1,0
2025-07-30 18:36:00+00:00,0,1
2025-07-30 18:37:00+00:00,1,1
2025-07-30 18:39:00+00:00,0,1
2025-07-30 18:48:00+00:00,0,1
2025-07-30 18:52:00+00:00,0,1
2025-07-30 19:01:00+00:00,0,1
2025-07-30 19:07:00+00:00,0,1
2025-07-30 19:08:00+00:00,0,1
2025-07-30 19:12:00+00:00,0,1
2025-07-31 07:45:00+00:00,0,1
2025-08-01 12:30:00+00:00,1,1
2025-08-01 12:31:00+00:00,1,1
2025-08-01 12:33:00+00:00,1,0
2025-08-01 12:37:00+00:00,1,0
2025-08-01 12:42:00+00:00,0,0
2025-08-01 12:46:00+00:00,0,0
2025-08-01 12:51:00+00:00,0,1
2025-08-01 12:58:00+00:00,0,1
2025-08-01 13:07:00+00:00,0,1
2025-08-01 13:09:00+00:00,0,0
2025-08-01 13:17:00+00:00,0,1
2025-08-01 13:32:00+00:00,0,1
2025-08-01 13:46:00+00:00,0,0
2025-08-01 14:00:00+00:00,0,1
2025-08-01 14:02:00+00:00,0,0
2025-08-01 14:05:00+00:00,0,1
2025-08-01 14:25:00+00:00,0,1
2025-08-01 19:30:00+00:00,0,1
2025-08-05 14:00:00+00:00,0,0
2025-08-05 14:24:00+00:00,0,0
2025-08-07 08:05:00+00:00,0,0
2025-08-07 08:20:00+00:00,0,0
2025-08-07 12:30:00+00:00,0,0
2025-08-07 13:49:00+00:00,0,0
2025-08-07 13:50:00+00:00,0,0
2025-08-07 13:59:00+00:00,0,1
2025-08-07 14:08:00+00:00,0,1
2025-08-07 14:09:00+00:00,0,1
2025-08-07 14:15:00+00:00,0,0
2025-08-07 14:21:00+00:00,0,1
2025-08-07 19:30:00+00:00,0,1
2025-08-08 01:19:00+00:00,0,0
2025-08-08 03:33:00+00:00,0,0
2025-08-08 07:41:00+00:00,0,0
2025-08-08 12:30:00+00:00,0,1
2025-08-08 12:48:00+00:00,0,0
2025-08-08 13:25:00+00:00,0,1
2025-08-08 13:30:00+00:00,0,0
2025-08-08 13:34:00+00:00,0,1
2025-08-08 14:08:00+00:00,0,0
2025-08-08 14:27:00+00:00,0,1
2025-08-08 17:59:00+00:00,1,1
2025-08-08 18:04:00+00:00,0,0
2025-08-08 18:11:00+00:00,0,1
2025-08-08 18:14:00+00:00,0,1
2025-08-08 18:20:00+00:00,0,1
2025-08-08 18:25:00+00:00,0,1
2025-08-11 01:07:00+00:00,0,0
2025-08-11 01:12:00+00:00,0,0
2025-08-11 12:30:00+00:00,0,0
2025-08-11 17:35:00+00:00,0,1
2025-08-12 12:20:00+00:00,0,1
2025-08-12 12:30:00+00:00,0,1
2025-08-12 12:50:00+00:00,0,1
2025-08-12 13:00:00+00:00,0,0
2025-08-12 13:01:00+00:00,0,1
2025-08-12 13:44:00+00:00,1,1
2025-08-12 13:47:00+00:00,0,1
2025-08-12 15:28:00+00:00,0,1
2025-08-13 14:03:00+00:00,0,0
2025-08-14 08:00:00+00:00,0,0
2025-08-14 12:30:00+00:00,0,1
2025-08-14 12:31:00+00:00,0,0
2025-08-14 12:34:00+00:00,0,0
2025-08-14 13:24:00+00:00,0,1
2025-08-14 14:05:00+00:00,0,0
2025-08-14 14:07:00+00:00,0,0
2025-08-14 16:16:00+00:00,0,0
2025-08-19 13:10:00+00:00,0,0
2025-08-20 13:44:00+00:00,0,0
2025-08-21 12:34:00+00:00,0,0
2025-08-21 13:45:00+00:00,0,1
2025-08-21 15:29:00+00:00,0,0
2025-08-22 12:32:00+00:00,0,1
2025-08-22 14:00:00+00:00,1,1
2025-08-22 14:01:00+00:00,1,1
2025-08-22 14:02:00+00:00,1,1
2025-08-22 14:04:00+00:00,1,1
2025-08-22 14:05:00+00:00,1,0
2025-08-22 14:06:00+00:00,1,0
2025-08-22 14:08:00+00:00,1,0
2025-08-22 14:10:00+00:00,0,1
2025-08-22 14:30:00+00:00,0,1
2025-08-26 00:03:00+00:00,1,1
2025-08-26 00:15:00+00:00,0,0
2025-08-29 12:30:00+00:00,0,0
2025-08-29 14:00:00+00:00,0,0
2025-09-01 01:58:00+00:00,0,1
2025-09-01 02:07:00+00:00,0,1
2025-09-01 02:08:00+00:00,0,1
2025-09-01 02:09:00+00:00,0,1
2025-09-01 02:10:00+00:00,0,0
2025-09-01 02:11:00+00:00,1,0
2025-09-01 02:55:00+00:00,0,1
2025-09-01 02:57:00+00:00,0,0
2025-09-01 03:02:00+00:00,0,0
2025-09-01 03:03:00+00:00,0,0
2025-09-02 01:48:00+00:00,0,0
2025-09-02 01:49:00+00:00,0,0
2025-09-02 01:51:00+00:00,0,0
2025-09-02 07:53:00+00:00,0,0
2025-09-02 12:30:00+00:00,0,0
2025-09-02 12:33:00+00:00,0,0
2025-09-02 12:36:00+00:00,0,0
2025-09-02 12:39:00+00:00,0,0
2025-09-02 13:35:00+00:00,0,0
2025-09-02 13:47:00+00:00,0,0
2025-09-02 13:53:00+00:00,0,0
2025-09-02 13:56:00+00:00,0,0
2025-09-02 14:00:00+00:00,0,0
2025-09-02 14:07:00+00:00,0,0
2025-09-02 14:31:00+00:00,1,0
2025-09-02 14:35:00+00:00,0,0
2025-09-02 14:44:00+00:00,0,0
2025-09-02 19:53:00+00:00,0,0
2025-09-03 00:22:00+00:00,0,0
2025-09-03 00:24:00+00:00,0,1
2025-09-03 00:26:00+00:00,0,0
2025-09-03 01:00:00+00:00,0,0
2025-09-03 14:00:00+00:00,0,0
2025-09-04 01:39:00+00:00,0,0
2025-09-04 02:00:00+00:00,0,0
2025-09-04 02:49:00+00:00,1,0
2025-09-04 03:12:00+00:00,0,0
2025-09-04 03:13:00+00:00,0,0
2025-09-04 03:15:00+00:00,0,0
2025-09-04 03:18:00+00:00,0,0
2025-09-04 07:01:00+00:00,0,0
2025-09-04 12:30:00+00:00,0,0
2025-09-04 13:40:00+00:00,0,0
2025-09-04 13:45:00+00:00,0,0
2025-09-04 14:00:00+00:00,0,0
2025-09-04 14:05:00+00:00,0,0
2025-09-04 14:11:00+00:00,0,0
2025-09-04 14:50:00+00:00,0,0
2025-09-05 12:30:00+00:00,0,1
2025-09-05 12:37:00+00:00,0,1
2025-09-05 12:41:00+00:00,0,1
2025-09-05 12:42:00+00:00,0,1
2025-09-05 12:45:00+00:00,0,1
2025-09-05 12:47:00+00:00,0,1
2025-09-05 12:48:00+00:00,0,1
2025-09-05 12:50:00+00:00,0,1
2025-09-05 12:51:00+00:00,0,1
2025-09-05 13:20:00+00:00,0,0
2025-09-05 13:46:00+00:00,0,0
2025-09-05 14:01:00+00:00,1,0
2025-09-05 14:18:00+00:00,0,0
2025-09-05 14:30:00+00:00,0,0
2025-09-05 14:35:00+00:00,0,0
2025-09-05 14:37:00+00:00,0,0
2025-09-05 14:39:00+00:00,0,0
2025-09-05 14:44:00+00:00,0,0
2025-09-07 22:07:00+00:00,0,0
2025-09-08 07:10:00+00:00,0,0
2025-09-08 10:14:00+00:00,0,0
2025-09-08 13:02:00+00:00,0,0
2025-09-08 13:54:00+00:00,0,0
2025-09-08 14:08:00+00:00,0,0
2025-09-08 14:18:00+00:00,0,0
2025-09-09 02:09:00+00:00,0,0
2025-09-09 03:01:00+00:00,0,1
2025-09-09 06:05:00+00:00,0,0
2025-09-09 06:08:00+00:00,0,0
2025-09-09 14:00:00+00:00,1,0
2025-09-09 14:03:00+00:00,1,1
2025-09-09 14:05:00+00:00,1,0
2025-09-09 14:06:00+00:00,0,0
2025-09-09 14:07:00+00:00,0,0
2025-09-09 14:08:00+00:00,0,0
2025-09-09 14:09:00+00:00,0,0
2025-09-09 14:14:00+00:00,0,0
2025-09-09 14:15:00+00:00,0,0
2025-09-09 14:18:00+00:00,0,0
2025-09-09 14:19:00+00:00,0,0
2025-09-09 14:30:00+00:00,0,1
2025-09-09 14:31:00+00:00,0,0
2025-09-09 14:38:00+00:00,0,0
2025-09-09 14:47:00+00:00,0,0
2025-09-09 14:52:00+00:00,1,0
2025-09-09 15:14:00+00:00,0,0
2025-09-09 15:16:00+00:00,0,0
2025-09-09 15:19:00+00:00,0,0
2025-09-10 01:00:00+00:00,0,1
2025-09-10 12:30:00+00:00,0,1
2025-09-10 12:33:00+00:00,0,0
2025-09-10 12:39:00+00:00,0,1
2025-09-10 13:06:00+00:00,0,0
2025-09-10 14:41:00+00:00,0,1
2025-09-10 15:23:00+00:00,0,0
2025-09-10 15:24:00+00:00,0,0
2025-09-11 05:32:00+00:00,0,1
2025-09-11 05:56:00+00:00,0,1
2025-09-11 09:15:00+00:00,0,1
2025-09-11 09:18:00+00:00,0,1
2025-09-11 12:30:00+00:00,0,1
2025-09-11 12:31:00+00:00,0,0
2025-09-11 12:32:00+00:00,0,0
2025-09-11 12:33:00+00:00,0,0
2025-09-11 12:34:00+00:00,0,1
2025-09-11 12:36:00+00:00,1,0
2025-09-11 12:38:00+00:00,0,0
2025-09-11 12:42:00+00:00,0,0
2025-09-11 12:44:00+00:00,0,0
2025-09-11 12:45:00+00:00,0,0
2025-09-11 12:50:00+00:00,0,1
2025-09-11 13:16:00+00:00,0,1
2025-09-11 13:17:00+00:00,0,1
2025-09-11 13:22:00+00:00,0,0
2025-09-11 13:38:00+00:00,0,1
2025-09-11 13:41:00+00:00,0,0
2025-09-12 08:11:00+00:00,0,1
2025-09-12 09:05:00+00:00,0,1
2025-09-15 13:20:00+00:00,0,0
2025-09-15 13:37:00+00:00,0,0
2025-09-15 15:49:00+00:00,0,0
2025-09-15 15:54:00+00:00,0,0
2025-09-16 01:04:00+00:00,0,0
2025-09-17 18:00:00+00:00,0,1
2025-09-17 18:02:00+00:00,0,0
2025-09-17 18:03:00+00:00,0,0
2025-09-17 18:04:00+00:00,0,0
2025-09-17 18:07:00+00:00,0,0
2025-09-17 18:08:00+00:00,1,0
2025-09-17 18:10:00+00:00,1,0
2025-09-17 18:12:00+00:00,1,0
2025-09-17 18:14:00+00:00,1,0
2025-09-17 18:16:00+00:00,1,0
2025-09-17 18:18:00+00:00,1,0
2025-09-17 18:32:00+00:00,1,1
2025-09-17 18:35:00+00:00,1,0
2025-09-17 18:36:00+00:00,1,0
2025-09-17 18:37:00+00:00,1,0
2025-09-17 18:39:00+00:00,0,1
2025-09-17 18:40:00+00:00,1,0
2025-09-17 18:41:00+00:00,1,0
2025-09-17 18:45:00+00:00,0,0
2025-09-17 18:46:00+00:00,0,0
2025-09-17 18:47:00+00:00,0,1
2025-09-17 18:49:00+00:00,0,1
2025-09-17 18:50:00+00:00,0,1
2025-09-17 18:51:00+00:00,0,0
2025-09-17 18:55:00+00:00,0,1
2025-09-17 18:56:00+00:00,0,0
2025-09-17 18:57:00+00:00,0,0
2025-09-17 19:00:00+00:00,0,1
2025-09-17 19:01:00+00:00,0,1
