entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,exit_time,exit_price,exit_reason,pnl,side
2025-06-02 13:30:00+00:00,3355.93,3330.93,3395.93,2025-06-02 14:15:00+00:00,0,0.7563047409057617,0.6631857752799988,2025-06-03 13:30:00+00:00,3354.53,timeout,-1.3999999999996362,up
2025-06-05 12:49:00+00:00,3390.73,3415.73,3333.52,2025-06-05 13:51:00+00:00,3,0.5591506361961365,0.4028066098690033,2025-06-05 14:05:00+00:00,3368.1,timeout,22.63000000000011,down
2025-06-06 12:31:00+00:00,3350.65,3375.65,3310.65,2025-06-06 13:19:00+00:00,2,0.9039012789726257,0.34101346135139465,2025-06-06 13:31:00+00:00,3348.23,timeout,2.4200000000000728,down
2025-06-06 14:17:00+00:00,3330.22,3355.22,3290.22,2025-06-06 15:02:00+00:00,0,0.509003221988678,0.3133389353752136,2025-06-16 13:18:00+00:00,3355.22,stop_loss,-25.0,down
2025-06-17 03:23:00+00:00,3380.18,3405.18,3336.88,2025-06-17 04:08:00+00:00,1,0.5663428902626038,0.3398655652999878,2025-06-17 14:37:00+00:00,3369.03,timeout,11.149999999999636,down
2025-06-24 13:40:00+00:00,3300.65,3325.65,3260.65,2025-06-24 14:25:00+00:00,0,0.9364765882492065,0.443962424993515,2025-06-24 13:40:00+00:00,3297.25,reverse_signal,3.400000000000091,down
2025-06-24 15:20:00+00:00,3304.28,3279.28,3344.28,2025-06-24 16:05:00+00:00,0,0.537411093711853,0.7138579487800598,2025-06-26 12:30:00+00:00,3344.28,target_hit,40.0,up
2025-06-26 13:46:00+00:00,3321.2,3346.2,3281.2,2025-06-26 14:31:00+00:00,0,0.6003745794296265,0.4279424846172333,2025-06-27 13:05:00+00:00,3281.2,target_hit,40.0,down
2025-07-03 12:30:00+00:00,3351.36,3326.36,3391.36,2025-07-03 13:15:00+00:00,0,0.7426653504371643,0.6637430787086487,2025-07-03 12:30:00+00:00,3334.44,reverse_signal,-16.920000000000073,up
2025-07-03 12:34:00+00:00,3331.19,3356.19,3283.86,2025-07-03 13:22:00+00:00,2,0.8110930323600769,0.4062686860561371,2025-07-03 12:43:00+00:00,3313.93,reverse_signal,17.26000000000022,down
2025-07-03 12:51:00+00:00,3316.04,3291.04,3356.04,2025-07-03 13:36:00+00:00,0,0.5173379778862,0.5772294402122498,2025-07-03 12:51:00+00:00,3318.82,reverse_signal,2.7800000000002,up
2025-07-03 13:03:00+00:00,3325.32,3350.32,3285.32,2025-07-03 13:48:00+00:00,0,0.6663815379142761,0.44934239983558655,2025-07-08 16:57:00+00:00,3301.12,timeout,24.200000000000273,down
2025-07-15 13:46:00+00:00,3335.84,3360.84,3295.84,2025-07-15 14:31:00+00:00,1,0.8170024752616882,0.41550716757774353,2025-07-15 15:31:00+00:00,3329.86,timeout,5.980000000000018,down
2025-07-16 14:54:00+00:00,3327.11,3352.11,3287.11,2025-07-16 15:39:00+00:00,0,0.6533889174461365,0.26889047026634216,2025-07-16 15:16:00+00:00,3352.11,stop_loss,-25.0,down
2025-07-16 15:50:00+00:00,3358.68,3383.68,3303.17,2025-07-16 16:40:00+00:00,1,0.7266775965690613,0.2745073437690735,2025-07-17 12:30:00+00:00,3318.1,timeout,40.57999999999993,down
