feature_idx,channel,bar,bars_ago,importance_s1,importance_s2,importance_avg
0,open_rel,0,149,0.15269237822648415,1.2605073265449279e-05,0.0763524916498748
1,open_rel,1,148,0.0007926255221935509,0.0,0.00039631276109677546
2,open_rel,2,147,2.2595294754506257e-05,2.9783863055783595e-06,1.2786840530042309e-05
3,open_rel,3,146,0.0,1.702173613138538e-06,8.51086806569269e-07
4,open_rel,4,145,0.00012498361726820308,9.740490132107111e-08,6.254051108476207e-05
5,open_rel,5,144,0.0002443361060522753,8.467074955736513e-06,0.0001264015905040059
6,open_rel,6,143,0.0003921135946269517,0.00041525384990940173,0.00040368372226817675
7,open_rel,7,142,0.0007596817786370172,1.799792318209007e-09,0.0003798417892146677
8,open_rel,8,141,0.00020700569012670417,3.84757917585971e-05,0.00012274074094265064
9,open_rel,9,140,8.029680453136975e-05,0.0020816919533103357,0.0010809943789208526
10,open_rel,10,139,0.00034486613814205404,0.0009333430923788053,0.0006391046152604297
11,open_rel,11,138,0.0,0.00020786916072654837,0.00010393458036327419
12,open_rel,12,137,4.578751446962978e-05,0.00025844196706822437,0.00015211474076892706
13,open_rel,13,136,0.0007752402320931518,0.001961640533131502,0.0013684403826123269
14,open_rel,14,135,0.00011693883767581624,8.435904457470799e-05,0.00010064894112526212
15,open_rel,15,134,0.000968453576416704,0.000281475944261394,0.000624964760339049
16,open_rel,16,133,3.378452209690875e-06,0.0010759365958260016,0.0005396575240178463
17,open_rel,17,132,6.342408256327735e-05,0.0005702501896278427,0.00031683713609556005
18,open_rel,18,131,5.100859739241797e-05,1.6887915608697075e-05,3.394825650055752e-05
19,open_rel,19,130,0.0002893124777910604,1.8172934437349175e-05,0.0001537427061142048
20,open_rel,20,129,7.111984618394146e-06,1.9109925323221318e-05,1.3110954970807732e-05
21,open_rel,21,128,0.0007811808200501225,6.301019721159678e-05,0.0004220955086308596
22,open_rel,22,127,0.00042059370911612625,0.0012939888737054375,0.0008572912914107818
23,open_rel,23,126,0.00022413324057422043,0.0,0.00011206662028711022
24,open_rel,24,125,0.0001682564402669705,0.00019791525841006497,0.00018308584933851774
25,open_rel,25,124,4.088829573898162e-05,1.0418663251026276e-11,2.0444153078822438e-05
26,open_rel,26,123,5.3467792105144586e-05,5.11727467767081e-07,2.6989759786455832e-05
27,open_rel,27,122,0.0,4.346640258109196e-06,2.173320129054598e-06
28,open_rel,28,121,0.0006119482765553541,0.00015386762335538087,0.0003829079499553675
29,open_rel,29,120,6.687493699178756e-05,0.010636985092487887,0.005351930014739837
30,open_rel,30,119,0.00011001184931759198,5.2142848462656886e-05,8.107734889012443e-05
31,open_rel,31,118,0.0007849120937254511,9.904491884344413e-06,0.00039740829280489776
32,open_rel,32,117,7.116114290381463e-05,1.1290861179396346e-07,3.5637025757804294e-05
33,open_rel,33,116,0.0,2.798751449650717e-07,1.3993757248253585e-07
34,open_rel,34,115,3.0900276934368286e-05,7.396911107506534e-07,1.581998402255947e-05
35,open_rel,35,114,1.6425312226953055e-05,0.0003978316760644183,0.00020712849414568566
36,open_rel,36,113,0.0003101455567965073,0.0029367686127959158,0.0016234570847962115
37,open_rel,37,112,0.0003187404859622537,1.4920769947604049e-05,0.0001668306279549289
38,open_rel,38,111,0.0006313097698586766,0.00012655788802073278,0.0003789338289397047
39,open_rel,39,110,3.010361354425271e-06,0.001989481175647301,0.0009962457685008632
40,open_rel,40,109,0.0,1.7549769890194715e-05,8.774884945097358e-06
41,open_rel,41,108,3.102493794450155e-05,4.7846227419916384e-05,3.9435582682208965e-05
42,open_rel,42,107,2.510766660053093e-05,0.0,1.2553833300265465e-05
43,open_rel,43,106,9.943244386836798e-06,4.590696659896087e-06,7.2669705233664425e-06
44,open_rel,44,105,0.0005779902915941334,0.0,0.0002889951457970667
45,open_rel,45,104,0.00011679409404156117,2.861108432403106e-05,7.270258918279611e-05
46,open_rel,46,103,0.0012456630054494956,2.019794963084371e-06,0.00062384140020629
47,open_rel,47,102,6.457594348461965e-06,0.0,3.2287971742309825e-06
48,open_rel,48,101,0.0,3.589850945126709e-06,1.7949254725633544e-06
49,open_rel,49,100,0.0003962388831057548,1.728667475636861e-06,0.00019898377529069583
50,open_rel,50,99,0.0003309750873455562,0.0,0.0001654875436727781
51,open_rel,51,98,4.894781598988039e-05,0.0003915262104333424,0.0002202370132116114
52,open_rel,52,97,0.0002546605247536425,0.0,0.00012733026237682124
53,open_rel,53,96,0.0,2.9187337006658213e-05,1.4593668503329107e-05
54,open_rel,54,95,0.0,6.376754528887676e-07,3.188377264443838e-07
55,open_rel,55,94,4.0883942257767527e-05,0.0026550807994228007,0.0013479823708402842
56,open_rel,56,93,0.0,0.0004874132435201063,0.00024370662176005314
