side,entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,exit_time,exit_price,exit_reason,pnl,month,dow
1,2025-10-14 16:34:00+00:00,4129.75,4114.75,4149.75,2025-10-14 16:49:00+00:00,0,0.949909508228302,0.949909508228302,2025-10-14 16:48:00+00:00,4149.75,target_hit,20.0,2025-10,Tuesday
1,2025-10-16 22:06:00+00:00,4333.5,4318.5,4353.5,2025-10-16 22:21:00+00:00,0,0.9788186550140381,0.9788186550140381,2025-10-16 22:09:00+00:00,4353.5,target_hit,20.0,2025-10,Friday
1,2025-10-16 22:15:00+00:00,4350.17,4335.17,4370.17,2025-10-16 22:30:00+00:00,0,0.9584357142448425,0.9584357142448425,2025-10-16 22:18:00+00:00,4370.17,target_hit,20.0,2025-10,Friday
1,2025-10-16 23:02:00+00:00,4343.01,4328.01,4363.01,2025-10-16 23:17:00+00:00,0,0.9758272171020508,0.9758272171020508,2025-10-16 23:08:00+00:00,4363.01,target_hit,20.0,2025-10,Friday
1,2025-10-16 23:37:00+00:00,4353.22,4338.22,4377.45,2025-10-16 23:52:00+00:00,1,0.972502589225769,0.972502589225769,2025-10-16 23:50:00+00:00,4377.45,target_hit,24.229999999999563,2025-10,Friday
1,2025-10-17 01:59:00+00:00,4309.55,4294.55,4334.32,2025-10-17 02:14:00+00:00,1,0.9910491704940796,0.9910491704940796,2025-10-17 02:10:00+00:00,4334.32,target_hit,24.769999999999527,2025-10,Friday
1,2025-10-17 02:24:00+00:00,4324.89,4309.89,4344.89,2025-10-17 02:39:00+00:00,0,0.9783726334571838,0.9783726334571838,2025-10-17 02:31:00+00:00,4344.89,target_hit,20.0,2025-10,Friday
1,2025-10-17 03:02:00+00:00,4340.25,4325.25,4360.25,2025-10-17 03:17:00+00:00,0,0.9827837944030762,0.9827837944030762,2025-10-17 03:15:00+00:00,4360.25,target_hit,20.0,2025-10,Friday
1,2025-10-17 17:56:00+00:00,4220.83,4205.83,4241.7,2025-10-17 18:16:00+00:00,6,0.9870296716690063,0.9870296716690063,2025-10-17 18:11:00+00:00,4241.7,target_hit,20.86999999999989,2025-10,Friday
1,2025-10-20 14:01:00+00:00,4296.05,4281.05,4334.55,2025-10-20 14:28:00+00:00,13,0.992542028427124,0.992542028427124,2025-10-20 14:20:00+00:00,4334.55,target_hit,38.5,2025-10,Monday
1,2025-10-21 14:50:00+00:00,4113.77,4098.77,4149.68,2025-10-21 15:21:00+00:00,14,0.9932635426521301,0.9932635426521301,2025-10-21 15:11:00+00:00,4149.68,target_hit,35.909999999999854,2025-10,Tuesday
1,2025-10-21 15:32:00+00:00,4127.27,4112.27,4148.76,2025-10-21 15:55:00+00:00,8,0.9907021522521973,0.9907021522521973,2025-10-21 15:55:00+00:00,4144.63,timeout,17.359999999999673,2025-10,Tuesday
1,2025-10-22 00:15:00+00:00,4038.21,4023.21,4090.77,2025-10-22 00:49:00+00:00,17,0.988854169845581,0.988854169845581,2025-10-22 00:48:00+00:00,4090.77,target_hit,52.559999999999945,2025-10,Wednesday
1,2025-10-22 00:56:00+00:00,4077.44,4062.44,4105.33,2025-10-22 01:17:00+00:00,7,0.9891772866249084,0.9891772866249084,2025-10-22 01:06:00+00:00,4105.33,target_hit,27.889999999999873,2025-10,Wednesday
1,2025-10-22 01:55:00+00:00,4091.73,4076.73,4118.03,2025-10-22 02:19:00+00:00,10,0.5809149146080017,0.5809149146080017,2025-10-22 02:13:00+00:00,4118.03,target_hit,26.299999999999727,2025-10,Wednesday
1,2025-10-22 03:23:00+00:00,4112.86,4097.86,4134.25,2025-10-22 03:43:00+00:00,2,0.9746522903442383,0.9746522903442383,2025-10-22 03:37:00+00:00,4134.25,target_hit,21.390000000000327,2025-10,Wednesday
1,2025-10-22 13:02:00+00:00,4049.16,4034.16,4069.16,2025-10-22 13:17:00+00:00,0,0.9784851670265198,0.9784851670265198,2025-10-22 13:17:00+00:00,4066.45,timeout,17.289999999999964,2025-10,Wednesday
1,2025-10-22 13:24:00+00:00,4058.57,4043.57,4080.53,2025-10-22 13:50:00+00:00,12,0.5958729982376099,0.5958729982376099,2025-10-22 13:39:00+00:00,4080.53,target_hit,21.960000000000036,2025-10,Wednesday
1,2025-10-22 16:27:00+00:00,4042.2,4027.2,4063.88,2025-10-22 16:44:00+00:00,2,0.9681743383407593,0.9681743383407593,2025-10-22 16:33:00+00:00,4063.88,target_hit,21.68000000000029,2025-10,Wednesday
1,2025-10-24 12:52:00+00:00,4078.86,4063.86,4104.4400000000005,2025-10-24 13:16:00+00:00,10,0.9883636236190796,0.9883636236190796,2025-10-24 13:07:00+00:00,4104.4400000000005,target_hit,25.580000000000382,2025-10,Friday
