side,entry_time,entry_price,stop,target,timeout,target_updates,s1_prob,s2_prob,tp,sl,horizon,exit_time,exit_price,exit_reason,pnl,month
-1,2025-10-09 16:35:00+00:00,3998.2,4023.2,3947.54,2025-10-09 17:21:00+00:00,2,0.9567004442214966,0.04329955577850342,45.0,25.0,45,2025-10-09 17:16:00+00:00,3947.54,target_hit,50.659999999999854,2025-10
-1,2025-10-29 18:38:00+00:00,3966.0,3991.0,3907.91,2025-10-29 19:25:00+00:00,2,0.861286997795105,0.13871300220489502,45.0,25.0,45,2025-10-29 19:25:00+00:00,3967.22,timeout,-1.2199999999998,2025-10
-1,2025-12-29 13:44:00+00:00,4431.29,4456.29,4384.63,2025-12-29 14:29:00+00:00,1,0.7418588995933533,0.25814110040664673,45.0,25.0,45,2025-12-29 14:29:00+00:00,4390.04,timeout,41.25,2025-12
-1,2026-01-21 14:11:00+00:00,4849.27,4874.27,4804.27,2026-01-21 14:56:00+00:00,0,0.7074742913246155,0.2925257086753845,45.0,25.0,45,2026-01-21 14:56:00+00:00,4853.59,timeout,-4.319999999999709,2026-01
-1,2026-01-21 15:21:00+00:00,4830.35,4855.35,4785.35,2026-01-21 16:06:00+00:00,0,0.6249479651451111,0.3750520348548889,45.0,25.0,45,2026-01-21 16:06:00+00:00,4849.96,timeout,-19.609999999999673,2026-01
-1,2026-01-29 01:03:00+00:00,5490.25,5515.25,5445.25,2026-01-29 01:48:00+00:00,0,0.5942381620407104,0.40576183795928955,45.0,25.0,45,2026-01-29 01:09:00+00:00,5445.25,target_hit,45.0,2026-01
-1,2026-01-29 03:05:00+00:00,5514.92,5539.92,5469.92,2026-01-29 03:50:00+00:00,0,0.7658451199531555,0.23415488004684448,45.0,25.0,45,2026-01-29 03:14:00+00:00,5539.92,stop_loss,-25.0,2026-01
-1,2026-01-29 14:37:00+00:00,5506.7,5531.7,5461.7,2026-01-29 15:22:00+00:00,0,0.5899813175201416,0.4100186824798584,45.0,25.0,45,2026-01-29 14:39:00+00:00,5531.7,stop_loss,-25.0,2026-01
-1,2026-02-01 23:05:00+00:00,4828.48,4853.48,4783.48,2026-02-01 23:50:00+00:00,0,0.7384303212165833,0.26156967878341675,45.0,25.0,45,2026-02-01 23:10:00+00:00,4783.48,target_hit,45.0,2026-02
-1,2026-02-01 23:48:00+00:00,4734.95,4759.95,4686.7,2026-02-02 00:33:00+00:00,1,0.701355516910553,0.298644483089447,45.0,25.0,45,2026-02-01 23:50:00+00:00,4759.95,stop_loss,-25.0,2026-02
-1,2026-02-02 00:00:00+00:00,4741.67,4766.67,4696.67,2026-02-02 00:45:00+00:00,0,0.6229585409164429,0.37704145908355713,45.0,25.0,45,2026-02-02 00:01:00+00:00,4766.67,stop_loss,-25.0,2026-02
-1,2026-02-02 00:57:00+00:00,4765.88,4790.88,4693.99,2026-02-02 01:51:00+00:00,3,0.6460705995559692,0.35392940044403076,45.0,25.0,45,2026-02-02 01:08:00+00:00,4693.99,target_hit,71.89000000000033,2026-02
-1,2026-02-02 01:26:00+00:00,4661.58,4686.58,4616.58,2026-02-02 02:11:00+00:00,0,0.5969102382659912,0.4030897617340088,45.0,25.0,45,2026-02-02 01:26:00+00:00,4686.58,stop_loss,-25.0,2026-02
